No.,Card name,Type,Rarity
001/070,Turtwig,Grass,C
002/070,Grotle,Grass,U
003/070,Torterra,Grass,U
004/070,Cherubi,Grass,C
005/070,Cherrim,Grass,U
006/070,Maractus,Grass,C
007/070,Foongus,Grass,C
008/070,Amoonguss,Grass,C
009/070,Chimchar,Fire,C
010/070,Monferno,Fire,U
011/070,Infernape,Fire,R
012/070,VictiniEX,Fire,R
013/070,Pansear,Fire,C
014/070,Simisear,Fire,U
015/070,Heatmor,Fire,U
016/070,ArticunoEX,Water,R
017/070,Lotad,Water,C
018/070,Lombre,Water,C
019/070,Ludicolo,Water,U
020/070,Manaphy,Water,R
021/070,Cubchoo,Water,C
022/070,Beartic,Water,U
023/070,Magnemite,Lightning,C
024/070,Magneton,Lightning,U
025/070,Magnezone,Lightning,R
026/070,Rotom,Lightning,C
027/070,Zubat,Psychic,C
028/070,Golbat,Psychic,U
029/070,Crobat,Psychic,R
030/070,Koffing,Psychic,C
031/070,Weezing,Psychic,R
032/070,Ralts,Psychic,C
033/070,Kirlia,Psychic,U
034/070,Gallade,Psychic,R
035/070,Giratina,Psychic,R
036/070,Trubbish,Psychic,C
037/070,Garbodor,Psychic,C
038/070,Elgyem,Psychic,C
039/070,Beheeyem,Psychic,C
040/070,Phanpy,Fighting,C
041/070,Donphan,Fighting,U
042/070,Riolu,Fighting,C
043/070,Lucario,Fighting,R
044/070,Purrloin,Darkness,C
045/070,Liepard,Darkness,C
046/070,Scraggy,Darkness,C
047/070,Scrafty,Darkness,C
048/070,Durant,Metal,C
049/070,CobalionEX,Metal,R
050/070,Druddigon,Dragon,C
051/070,Clefairy,Colorless,C
052/070,Clefable,Colorless,U
053/070,Doduo,Colorless,C
054/070,Dodrio,Colorless,C
055/070,Snorlax,Colorless,U
056/070,Togepi,Colorless,C
057/070,Togetic,Colorless,C
058/070,Togekiss,Colorless,R
059/070,LugiaEX,Colorless,R
060/070,Patrat,Colorless,C
061/070,Watchog,Colorless,C
062/070,Colress Machine,I,U
063/070,Hypnotoxic Laser,I,U
064/070,Colress,Su,U
065/070,Team Plasma Grunt,Su,U
066/070,Plasma Frigate,St,U
067/070,Plasma Energy,Colorless E,U
068/070,Scramble Switch,I,R
069/070,Dowsing Machine,I,R
070/070,Victory Piece,I,R
071/070,VictiniEX,Fire,SR
072/070,ArticunoEX,Water,SR
073/070,CobalionEX,Metal,SR
074/070,LugiaEX,Colorless,SR
075/070,Colress,Su,SR
076/070,Skyla,Su,SR
077/070,Charizard,Fire,UR
078/070,Blastoise,Water,UR
079/070,Random Receiver,I,UR
