No.,Card name,Type,Rarity
001/020,Snivy,Grass,C
002/020,Servine,Grass,C
003/020,Serperior,Grass,U
004/020,Growlithe,Fire,U
005/020,Torchic,Fire,C
006/020,Piplup,Water,U
007/020,Pikachu,Lightning,U
008/020,Ralts,Psychic,C
009/020,Kirlia,Psychic,C
010/020,Gardevoir,Psychic,U
011/020,MeloettaEX,Psychic,R
012/020,Stunfisk,Fighting,U
013/020,Purrloin,Darkness,U
014/020,Eevee,Colorless,U
015/020,Teddiursa,Colorless,C
016/020,Ursaring,Colorless,C
017/020,Audino,Colorless,C
018/020,Minccino,Colorless,C
019/020,Cinccino,Colorless,U
020/020,Elesa,Su,C
021/020,ShayminEX,Grass,SR
022/020,Reshiram,Fire,SR
023/020,Emolga,Lightning,SR
024/020,MewEX,Psychic,SR
025/020,MeloettaEX,Psychic,SR
