No.,Card name,Type,Rarity
001/088,Venonat,Grass,C
002/088,Venomoth,Grass,U
003/088,Yanma,Grass,C
004/088,Yanmega,Grass,U
005/088,Sewaddle,Grass,C
006/088,Swadloon,Grass,C
007/088,Leavanny,Grass,U
008/088,Karrablast,Grass,C
009/088,Fletchinder,Fire,C
010/088,Talonflame,Fire,U
011/088,Litleo,Fire,C
012/088,Pyroar,Fire,R
013/088,Krabby,Water,C
014/088,Kingler,Water,C
015/088,Totodile,Water,C
016/088,Croconaw,Water,C
017/088,Feraligatr,Water,R
018/088,Finneon,Water,C
019/088,Lumineon,Water,U
020/088,Frillish,Water,C
021/088,Jellicent,Water,U
022/088,Alomomola,Water,C
023/088,ManectricEX,Lightning,RR
024/088,MegaManectricEX,Lightning,RR
025/088,Pachirisu,Lightning,U
026/088,Joltik,Lightning,C
027/088,Galvantula,Lightning,U
028/088,Helioptile,Lightning,C
029/088,Heliolisk,Lightning,R
030/088,Zubat,Psychic,C
031/088,Golbat,Psychic,C
032/088,Crobat,Psychic,U
033/088,GengarEX,Psychic,RR
034/088,MegaGengarEX,Psychic,RR
035/088,Wobbuffet,Psychic,C
036/088,Gulpin,Psychic,C
037/088,Swalot,Psychic,U
038/088,Munna,Psychic,C
039/088,Musharna,Psychic,U
040/088,Litwick,Psychic,C
041/088,Lampent,Psychic,C
042/088,Chandelure,Psychic,R
043/088,Pumpkaboo,Psychic,C
044/088,Gourgeist,Psychic,R
045/088,Gligar,Fighting,C
046/088,Gliscor,Fighting,U
047/088,Roggenrola,Fighting,C
048/088,Boldore,Fighting,C
049/088,Gigalith,Fighting,R
050/088,Murkrow,Darkness,C
051/088,Honchkrow,Darkness,U
052/088,Poochyena,Darkness,C
053/088,Mightyena,Darkness,U
054/088,Spiritomb,Darkness,U
055/088,Purrloin,Darkness,C
056/088,Liepard,Darkness,U
057/088,MalamarEX,Darkness,RR
058/088,Heatran,Metal,R
059/088,Escavalier,Metal,U
060/088,FlorgesEX,Fairy,RR
061/088,Swirlix,Fairy,C
062/088,Slurpuff,Fairy,R
063/088,Deino,Dragon,C
064/088,Zweilous,Dragon,C
065/088,Hydreigon,Dragon,R
066/088,Spearow,Colorless,C
067/088,Fearow,Colorless,U
068/088,Chansey,Colorless,C
069/088,Blissey,Colorless,U
070/088,Girafarig,Colorless,C
071/088,Whismur,Colorless,C
072/088,Loudred,Colorless,C
073/088,Exploud,Colorless,U
074/088,Regigigas,Colorless,R
075/088,Bunnelby,Colorless,C
076/088,Diggersby,Colorless,U
077/088,Fletchling,Colorless,C
078/088,Target Whistle,I,U
079/088,Battle Compressor,I,U
080/088,Robo Substitute,I,U
081/088,Manectric Spirit Link,I,U
082/088,Jamming Net,I,R
083/088,Head Ringer,I,R
084/088,AZ,Su,U
085/088,Xerosic,Su,U
086/088,Lysandre's Trump Card,Su,U
087/088,Dimension Valley,St,U
088/088,Mystery Energy,Psychic E,U
089/088,ManectricEX,Lightning,SR
090/088,GengarEX,Psychic,SR
091/088,MalamarEX,Darkness,SR
092/088,FlorgesEX,Fairy,SR
093/088,AZ,Su,SR
094/088,Xerosic,Su,SR
095/088,Lysandre's Trump Card,Su,SR
096/088,MegaManectricEX,Lightning,UR
097/088,MegaGengarEX,Psychic,UR
