No.,Card name,Type,Rarity
001/070,Weedle,Grass,C
002/070,Kakuna,Grass,C
003/070,Beedrill,Grass,C
004/070,Lotad,Grass,C
005/070,Lombre,Grass,C
006/070,Ludicolo,Grass,R
007/070,Surskit,Grass,C
008/070,Masquerain,Grass,C
009/070,Horsea,Water,C
010/070,Seadra,Water,C
011/070,Staryu,Water,C
012/070,Mudkip,Water,C
013/070,Marshtomp,Water,C
014/070,Swampert,Water,U
015/070,Swampert,Water,R
016/070,Ludicolo,Water,U
017/070,WailordEX,Water,RR
018/070,Barboach,Water,C
019/070,Whiscash,Water,U
020/070,Whiscash,Water,U
021/070,Corphish,Water,C
022/070,Feebas,Water,C
023/070,Milotic,Water,R
024/070,Spheal,Water,C
025/070,Sealeo,Water,C
026/070,Walrein,Water,U
027/070,Clamperl,Water,C
028/070,Huntail,Water,R
029/070,Gorebyss,Water,U
030/070,Gorebyss,Water,U
031/070,KyogreEX,Water,RR
032/070,Primal KyogreEX,Water,RR
033/070,Manaphy,Water,R
034/070,Chinchou,Lightning,C
035/070,Lanturn,Lightning,U
036/070,Tynamo,Lightning,C
037/070,Eelektrik,Lightning,C
038/070,Eelektrik,Lightning,C
039/070,Eelektross,Lightning,R
040/070,Tentacool,Psychic,C
041/070,Tentacool,Psychic,C
042/070,Tentacruel,Psychic,C
043/070,Starmie,Psychic,U
044/070,SharpedoEX,Darkness,RR
045/070,Crawdaunt,Darkness,R
046/070,Mr. Mime,Fairy,C
047/070,Marill,Fairy,C
048/070,Azumarill,Fairy,U
049/070,Azumarill,Fairy,R
050/070,GardevoirEX,Fairy,RR
051/070,MegaGardevoirEX,Fairy,RR
052/070,Kingdra,Dragon,U
053/070,Kingdra,Dragon,R
054/070,Skitty,Colorless,C
055/070,Delcatty,Colorless,U
056/070,Spinda,Colorless,C
057/070,Bidoof,Colorless,C
058/070,Bidoof,Colorless,C
059/070,Bibarel,Colorless,C
060/070,Escape Rope,I,U
061/070,Fresh Water Set,I,U
062/070,Dive Ball,I,U
063/070,Exp. Share,I,U
064/070,Kyogre Spirit Link,I,U
065/070,Gardevoir Spirit Link,I,U
066/070,Archie's Ace in the Hole,Su,U
067/070,Professor Birch's Observations,Su,U
068/070,Rough Seas,St,U
069/070,Silent Lab,St,U
070/070,Wonder Energy,Fairy E,U
071/070,WailordEX,Water,SR
072/070,KyogreEX,Water,SR
073/070,Primal KyogreEX,Water,SR
074/070,SharpedoEX,Darkness,SR
075/070,GardevoirEX,Fairy,SR
076/070,MegaGardevoirEX,Fairy,SR
077/070,Archie's Ace in the Hole,Su,SR
078/070,Professor Birch's Observations,Su,SR
079/070,Enhanced Hammer,I,UR
080/070,Dive Ball,I,UR
