No.,Card name,Type,Rarity
001/034,Team Magma's Numel,Fire,C
002/034,Team Magma's Camerupt,Fire,R
003/034,Team Aqua's Spheal,Water,C
004/034,Team Aqua's Sealeo,Water,C
005/034,Team Aqua's Walrein,Water,R
006/034,Team Aqua's KyogreEX,Water,RR
007/034,Team Aqua's Grimer,Psychic,C
008/034,Team Aqua's Muk,Psychic,R
009/034,Team Aqua's Seviper,Psychic,C
010/034,Team Magma's Baltoy,Psychic,C
011/034,Team Magma's Claydol,Psychic,R
012/034,Team Magma's Aron,Fighting,C
013/034,Team Magma's Lairon,Fighting,C
014/034,Team Magma's Aggron,Fighting,R
015/034,Team Magma's GroudonEX,Fighting,RR
016/034,Team Aqua's Poochyena,Darkness,C
017/034,Team Magma's Poochyena,Darkness,C
018/034,Team Aqua's Mightyena,Darkness,C
019/034,Team Magma's Mightyena,Darkness,C
020/034,Team Aqua's Carvanha,Darkness,C
021/034,Team Aqua's Sharpedo,Darkness,R
022/034,Team Magma's Zangoose,Colorless,C
023/034,Team Aqua's Great Ball,I,U
024/034,Team Magma's Great Ball,I,U
025/034,Aqua Diffuser,I,U
026/034,Magma Pointer,I,U
027/034,Team Aqua Admin,Su,U
028/034,Team Aqua Grunt,Su,U
029/034,Team Magma Admin,Su,U
030/034,Team Magma Grunt,Su,U
031/034,Team Aqua's Secret Base,St,U
032/034,Team Magma's Secret Base,St,U
033/034,Double Aqua Energy,Water E,U
034/034,Double Magma Energy,Fighting E,U
