No.,Card name,Type,Rarity
001/078,Exeggcute,Grass,C
002/078,Exeggutor,Grass,C
003/078,Wurmple,Grass,C
004/078,Silcoon,Grass,C
005/078,Beautifly,Grass,R
006/078,Cascoon,Grass,C
007/078,Dustox,Grass,C
008/078,Dustox,Grass,C
009/078,Nincada,Grass,C
010/078,Ninjask,Grass,C
011/078,Shedinja,Grass,U
012/078,Tropius,Grass,C
013/078,Fletchinder,Fire,C
014/078,Talonflame,Fire,U
015/078,Articuno,Water,U
016/078,Articuno,Water,U
017/078,Wingull,Water,C
018/078,Pelipper,Water,C
019/078,Voltorb,Lightning,C
020/078,Electrode,Lightning,C
021/078,Zapdos,Lightning,U
022/078,ThundurusEX,Lightning,RR
023/078,Natu,Psychic,C
024/078,Natu,Psychic,C
025/078,Xatu,Psychic,C
026/078,Shuppet,Psychic,C
027/078,Banette,Psychic,U
028/078,Banette,Psychic,U
029/078,Deoxys,Psychic,R
030/078,GalladeEX,Psychic,RR
031/078,MegaGalladeEX,Psychic,RR
032/078,Gligar,Fighting,C
033/078,Gliscor,Fighting,C
034/078,Absol,Darkness,R
035/078,Jirachi,Metal,R
036/078,Togepi,Fairy,C
037/078,Togetic,Fairy,C
038/078,Togekiss,Fairy,U
039/078,Togekiss,Fairy,R
040/078,Dratini,Dragon,C
041/078,Dragonair,Dragon,C
042/078,Dragonite,Dragon,U
043/078,Dragonite,Dragon,R
044/078,Altaria,Dragon,C
045/078,Bagon,Dragon,C
046/078,Shelgon,Dragon,U
047/078,Salamence,Dragon,R
048/078,LatiosEX,Dragon,RR
049/078,MegaLatiosEX,Dragon,RR
050/078,HydreigonEX,Dragon,RR
051/078,Reshiram,Dragon,R
052/078,Spearow,Colorless,C
053/078,Fearow,Colorless,C
054/078,Dunsparce,Colorless,C
055/078,Skarmory,Colorless,C
056/078,Taillow,Colorless,C
057/078,Swellow,Colorless,U
058/078,Swellow,Colorless,R
059/078,Swablu,Colorless,C
060/078,Altaria,Colorless,U
061/078,RayquazaEX,Colorless,RR
062/078,MegaRayquazaEX,Colorless,RR
063/078,ShayminEX,Colorless,RR
064/078,Pidove,Colorless,C
065/078,Tranquill,Colorless,C
066/078,Unfezant,Colorless,U
067/078,Unfezant,Colorless,U
068/078,Fletchling,Colorless,C
069/078,Revive,I,U
070/078,Trainers' Mail,I,U
071/078,Mega Turbo,I,U
072/078,Wide Lens,I,U
073/078,Gallade Spirit Link,I,U
074/078,Latios Spirit Link,I,U
075/078,Winona,Su,U
076/078,Wally,Su,U
077/078,Sky Field,St,U
078/078,Double Dragon Energy,Dragon E,U
079/078,ThundurusEX,Lightning,SR
080/078,GalladeEX,Psychic,SR
081/078,MegaGalladeEX,Psychic,SR
082/078,LatiosEX,Dragon,SR
083/078,MegaLatiosEX,Dragon,SR
084/078,HydreigonEX,Dragon,SR
085/078,RayquazaEX,Colorless,SR
086/078,MegaRayquazaEX,Colorless,SR
087/078,ShayminEX,Colorless,SR
088/078,Winona,Su,SR
089/078,Wally,Su,SR
090/078,Energy Switch,I,UR
091/078,VS Seeker,I,UR
