No.,Card name,Type,Rarity
001/027,Chespin,Grass,C
002/027,Reshiram,Fire,R
003/027,Fennekin,Fire,C
004/027,Braixen,Fire,U
005/027,Palkia,Water,R
006/027,Froakie,Water,C
007/027,Frogadier,Water,U
008/027,PikachuEX,Lightning,RR
009/027,Zekrom,Lightning,R
010/027,Dedenne,Lightning,C
011/027,Wobbuffet,Psychic,C
012/027,HoopaEX,Psychic,RR
013/027,Hippopotas,Fighting,C
014/027,Pancham,Fighting,C
015/027,Hawlucha,Fighting,C
016/027,Inkay,Darkness,C
017/027,Dialga,Metal,R
018/027,Latias,Dragon,R
019/027,Latios,Dragon,R
020/027,Black Kyurem,Dragon,R
021/027,White Kyurem,Dragon,R
022/027,Meowth,Colorless,C
023/027,Regigigas,Colorless,R
024/027,Arceus,Colorless,R
025/027,Rufflet,Colorless,C
026/027,Braviary,Colorless,U
027/027,Noibat,Colorless,C
