No.,Card name,Type,Rarity
001/059,Pinsir,Grass,U
002/059,Cacnea,Grass,C
003/059,Pansage,Grass,C
004/059,Simisage,Grass,C
005/059,Chespin,Grass,C
006/059,Scatterbug,Grass,C
007/059,Spewpa,Grass,C
008/059,Vivillon,Grass,R
009/059,Cyndaquil,Fire,C
010/059,Quilava,Fire,C
011/059,Typhlosion,Fire,R
012/059,Remoraid,Water,C
013/059,Octillery,Water,R
014/059,GlalieEX,Water,RR
015/059,MegaGlalieEX,Water,RR
016/059,Panpour,Water,C
017/059,Simipour,Water,C
018/059,Vanillite,Water,C
019/059,Vanillish,Water,C
020/059,Vanilluxe,Water,U
021/059,Magnemite,Lightning,C
022/059,Gastly,Psychic,C
023/059,Haunter,Psychic,U
024/059,Gengar,Psychic,R
025/059,MewtwoEX,Psychic,RR
026/059,MegaMewtwoEX,Psychic,RR
027/059,Woobat,Psychic,C
028/059,Swoobat,Psychic,C
029/059,Elgyem,Psychic,C
030/059,Beheeyem,Psychic,U
031/059,Sandshrew,Fighting,C
032/059,Sandslash,Fighting,U
033/059,Meloetta,Fighting,R
034/059,Cacturne,Darkness,U
035/059,Zorua,Darkness,C
036/059,Zoroark,Darkness,R
037/059,ZoroarkBREAK,Darkness,RR
038/059,Snubbull,Fairy,C
039/059,Granbull,Fairy,U
040/059,Flabébé,Fairy,C
041/059,Floette,Fairy,C
042/059,Florges,Fairy,U
043/059,FlorgesBREAK,Fairy,RR
044/059,Xerneas,Fairy,R
045/059,Axew,Dragon,C
046/059,Fraxure,Dragon,U
047/059,Haxorus,Dragon,R
048/059,Doduo,Colorless,C
049/059,Hoothoot,Colorless,C
050/059,Noctowl,Colorless,U
051/059,Teddiursa,Colorless,C
052/059,Ursaring,Colorless,U
053/059,Smeargle,Colorless,U
054/059,Float Stone,I,U
055/059,Glalie Spirit Link,I,U
056/059,Mewtwo Spirit Link,I,U
057/059,Brigette,Su,U
058/059,Parallel City,St,U
059/059,Rainbow Energy,Colorless E,U
060/059,GlalieEX,Water,SR
061/059,MegaGlalieEX,Water,SR
062/059,MewtwoEX,Psychic,SR
063/059,MegaMewtwoEX,Psychic,SR
064/059,Brigette,Su,SR
065/059,MewtwoEX,Psychic,UR
