No.,Card name,Type,Rarity
001/080,Chikorita,Grass,C
002/080,Bayleef,Grass,C
003/080,Meganium,Grass,R
004/080,Seedot,Grass,C
005/080,Kricketot,Grass,C
006/080,Kricketune,Grass,C
007/080,Petilil,Grass,C
008/080,Lilligant,Grass,U
009/080,Durant,Grass,C
010/080,Numel,Fire,C
011/080,Camerupt,Fire,U
012/080,Heatmor,Fire,C
013/080,Slowpoke,Water,C
014/080,Slowbro,Water,C
015/080,Slowking,Water,R
016/080,Shellder,Water,C
017/080,Cloyster,Water,U
018/080,GyaradosEX,Water,RR
019/080,MegaGyaradosEX,Water,RR
020/080,Suicune,Water,R
021/080,ManaphyEX,Water,RR
022/080,Tympole,Water,C
023/080,Palpitoad,Water,C
024/080,Seismitoad,Water,U
025/080,Ducklett,Water,C
026/080,Swanna,Water,C
027/080,Froakie,Water,C
028/080,Frogadier,Water,C
029/080,Greninja,Water,R
030/080,GreninjaBREAK,Water,RR
031/080,Blitzle,Lightning,C
032/080,Zebstrika,Lightning,U
033/080,Drowzee,Psychic,C
034/080,Hypno,Psychic,U
035/080,EspeonEX,Psychic,RR
036/080,Skorupi,Psychic,C
037/080,Drapion,Psychic,U
038/080,Sigilyph,Psychic,U
039/080,Trubbish,Psychic,C
040/080,Garbodor,Psychic,R
041/080,Honedge,Psychic,C
042/080,Doublade,Psychic,C
043/080,Aegislash,Psychic,R
044/080,Skrelp,Psychic,C
045/080,Phantump,Psychic,C
046/080,Trevenant,Psychic,U
047/080,TrevenantBREAK,Psychic,RR
048/080,Sudowoodo,Fighting,U
049/080,Gible,Fighting,C
050/080,Gabite,Fighting,C
051/080,Garchomp,Fighting,R
052/080,Pancham,Fighting,C
053/080,Nuzleaf,Darkness,C
054/080,Shiftry,Darkness,U
055/080,DarkraiEX,Darkness,RR
056/080,Pangoro,Darkness,U
057/080,ScizorEX,Metal,RR
058/080,MegaScizorEX,Metal,RR
059/080,Ferroseed,Metal,C
060/080,Ferrothorn,Metal,U
061/080,Clefairy,Fairy,C
062/080,Clefable,Fairy,U
063/080,Dragalge,Dragon,R
064/080,Rattata,Colorless,C
065/080,Raticate,Colorless,C
066/080,RaticateBREAK,Colorless,RR
067/080,Stantler,Colorless,C
068/080,Ho-OhEX,Colorless,RR
069/080,Glameow,Colorless,C
070/080,Purugly,Colorless,C
071/080,Puzzle of Time,I,U
072/080,Max Elixir,I,U
073/080,Bursting Balloon,I,U
074/080,Fighting Fury Belt,I,U
075/080,Gyarados Spirit Link,I,U
076/080,Scizor Spirit Link,I,U
077/080,Delinquent,Su,U
078/080,Psychic's Third Eye,Su,U
079/080,Reverse Valley,St,U
080/080,Splash Energy,Water E,U
081/080,GyaradosEX,Water,SR
082/080,MegaGyaradosEX,Water,SR
083/080,ManaphyEX,Water,SR
084/080,EspeonEX,Psychic,SR
085/080,DarkraiEX,Darkness,SR
086/080,ScizorEX,Metal,SR
087/080,MegaScizorEX,Metal,SR
088/080,Ho-OhEX,Colorless,SR
089/080,GyaradosEX,Water,UR
