No.,Card name,Type,Rarity
001/032,Chikorita,Grass,C
002/032,Shroomish,Grass,C
003/032,Charmander,Fire,C
004/032,Charmeleon,Fire,C
005/032,Charizard,Fire,U
006/032,FlareonEX,Fire,RR
007/032,FlareonEX,Fire,RR
008/032,Snorunt,Water,C
009/032,Froslass,Water,U
010/032,Pikachu,Lightning,RR
011/032,Raichu,Lightning,C
012/032,Dedenne,Lightning,U
013/032,Wobbuffet,Psychic,C
014/032,Gulpin,Psychic,C
015/032,Jirachi,Psychic,U
016/032,Espurr,Psychic,C
017/032,Meowstic,Psychic,U
018/032,Yveltal,Darkness,U
019/032,GardevoirEX,Fairy,RR
020/032,MegaGardevoirEX,Fairy,RR
021/032,Flabébé,Fairy,C
022/032,Floette,Fairy,U
023/032,Swirlix,Fairy,U
024/032,Slurpuff,Fairy,U
025/032,SylveonEX,Fairy,RR
026/032,SylveonEX,Fairy,RR
027/032,Diancie,Fairy,U
028/032,Swablu,Colorless,C
029/032,Altaria,Colorless,U
030/032,Fletchling,Colorless,C
031/032,Floral Crown,I,C
032/032,Wally,Su,U
