No.,Card name,Type
001/036,Celebi,Grass
002/036,Celebi,Grass
003/036,Shaymin,Grass
004/036,Shaymin,Grass
005/036,Moltres,Fire
006/036,Victini,Fire
007/036,Victini,Fire
008/036,Volcanion,Fire
009/036,Volcanion,Fire
010/036,Suicune,Water
011/036,Manaphy,Water
012/036,Manaphy,Water
013/036,Keldeo,Water
014/036,Keldeo,Water
015/036,White Kyurem,Water
016/036,Mew,Psychic
017/036,Mew,Psychic
018/036,Meloetta,Psychic
019/036,Meloetta,Psychic
020/036,HoopaEX,Psychic
021/036,Zygarde,Fighting
022/036,ZygardeEX,Fighting
023/036,Darkrai,Darkness
024/036,Darkrai,Darkness
025/036,Yveltal,Darkness
026/036,Jirachi,Metal
027/036,Jirachi,Metal
028/036,Genesect,Metal
029/036,Genesect,Metal
030/036,Magearna,Metal
031/036,Magearna,Metal
032/036,Xerneas,Fairy
033/036,LatiosEX,Dragon
034/036,RayquazaEX,Dragon
035/036,Arceus,Colorless
036/036,Arceus,Colorless
037/036,YveltalEX,Darkness
038/036,XerneasEX,Fairy
