No.,Card name,Type,Rarity
001/087,VenusaurEX,Grass,RR
002/087,MegaVenusaurEX,Grass,RR
003/087,Caterpie,Grass,C
004/087,Metapod,Grass,C
005/087,Weedle,Grass,C
006/087,Kakuna,Grass,C
007/087,Beedrill,Grass,U
008/087,Tangela,Grass,C
009/087,Charmander,Fire,C
010/087,Charmeleon,Fire,U
011/087,Charizard,Fire,R
012/087,CharizardEX,Fire,RR
013/087,MegaCharizardEX,Fire,RR
014/087,Vulpix,Fire,C
015/087,Ninetales,Fire,R
016/087,NinetalesBREAK,Fire,RR
017/087,Growlithe,Fire,C
018/087,Arcanine,Fire,U
019/087,Ponyta,Fire,C
020/087,Magmar,Fire,C
021/087,BlastoiseEX,Water,RR
022/087,MegaBlastoiseEX,Water,RR
023/087,Poliwag,Water,C
024/087,Poliwhirl,Water,C
025/087,Poliwrath,Water,R
026/087,Seel,Water,C
027/087,Dewgong,Water,U
028/087,Staryu,Water,C
029/087,Starmie,Water,U
030/087,StarmieBREAK,Water,RR
031/087,Magikarp,Water,C
032/087,Gyarados,Water,R
033/087,Pikachu,Lightning,C
034/087,Raichu,Lightning,R
035/087,Magnemite,Lightning,C
036/087,Magneton,Lightning,R
037/087,Voltorb,Lightning,C
038/087,Electrode,Lightning,U
039/087,Electabuzz,Lightning,C
040/087,Zapdos,Lightning,R
041/087,Nidoran♂,Psychic,C
042/087,Nidorino,Psychic,U
043/087,Nidoking,Psychic,R
044/087,NidokingBREAK,Psychic,RR
045/087,Gastly,Psychic,C
046/087,Haunter,Psychic,U
047/087,Drowzee,Psychic,C
048/087,Koffing,Psychic,C
049/087,Mewtwo,Psychic,R
050/087,MewtwoEX,Psychic,RR
051/087,Mew,Psychic,R
052/087,Sandshrew,Fighting,C
053/087,Diglett,Fighting,C
054/087,Dugtrio,Fighting,U
055/087,Machop,Fighting,C
056/087,Machoke,Fighting,U
057/087,Machamp,Fighting,R
058/087,MachampBREAK,Fighting,RR
059/087,Onix,Fighting,C
060/087,Hitmonchan,Fighting,R
061/087,Clefairy,Fairy,R
062/087,PidgeotEX,Colorless,RR
063/087,MegaPidgeotEX,Colorless,RR
064/087,Rattata,Colorless,C
065/087,Raticate,Colorless,U
066/087,Farfetch'd,Colorless,U
067/087,Doduo,Colorless,C
068/087,Chansey,Colorless,R
069/087,Porygon,Colorless,C
070/087,DragoniteEX,Colorless,RR
071/087,Super Potion,I,U
072/087,Energy Retrieval,I,U
073/087,Potion,I,U
074/087,Revive,I,U
075/087,Devolution Spray,I,U
076/087,Full Heal,I,U
077/087,Switch,I,U
078/087,Pokédex,I,U
079/087,Maintenance,I,U
080/087,Blastoise Spirit Link,I,U
081/087,Pidgeot Spirit Link,I,U
082/087,Venusaur Spirit Link,I,U
083/087,Charizard Spirit Link,I,U
084/087,Professor Oak's Hint,Su,U
085/087,Misty's Determination,Su,U
086/087,Brock's Grit,Su,U
087/087,Double Colorless Energy,Colorless E,U
088/087,VenusaurEX,Grass,SR
089/087,MegaVenusaurEX,Grass,SR
090/087,CharizardEX,Fire,SR
091/087,MegaCharizardEX,Fire,SR
092/087,BlastoiseEX,Water,SR
093/087,MegaBlastoiseEX,Water,SR
094/087,PikachuEX,Lightning,SR
095/087,MewtwoEX,Psychic,SR
096/087,PidgeotEX,Colorless,SR
097/087,MegaPidgeotEX,Colorless,SR
098/087,DragoniteEX,Colorless,SR
099/087,Misty's Determination,Su,SR
100/087,Brock's Grit,Su,SR
101/087,Exeggutor,Grass,U
102/087,Imakuni?'s Doduo,Colorless,U
103/087,Here Comes Team Rocket!,Su,U
