No.,Mark,Card name,Type,Rarity
001/060,A,Caterpie,Grass,C
002/060,A,Metapod,Grass,C
003/060,A,Butterfree,Grass,U
004/060,A,Paras,Grass,C
005/060,A,Parasect,Grass,C
006/060,A,Bounsweet,Grass,C
007/060,A,Steenee,Grass,U
008/060,A,Tsareena,Grass,R
009/060,A,Growlithe,Fire,C
010/060,A,Arcanine,Fire,R
011/060,A,Torkoal,Fire,C
012/060,A,Psyduck,Water,C
013/060,A,Golduck,Water,U
014/060,A,Shellder,Water,C
015/060,A,Cloyster,Water,C
016/060,A,LaprasGX,Water,RR
017/060,A,Wishiwashi,Water,C
018/060,A,Dewpider,Water,C
019/060,A,Araquanid,Water,U
020/060,A,Pyukumuku,Water,C
021/060,A,Zubat,Psychic,C
022/060,A,Golbat,Psychic,U
023/060,A,Crobat,Psychic,R
024/060,A,EspeonGX,Psychic,RR
025/060,A,Mareanie,Psychic,C
026/060,A,Toxapex,Psychic,R
027/060,A,Cosmog,Psychic,C
028/060,A,Cosmoem,Psychic,U
029/060,A,Makuhita,Fighting,C
030/060,A,Hariyama,Fighting,U
031/060,A,Passimian,Fighting,C
032/060,A,Alolan Meowth,Darkness,C
033/060,A,Alolan Persian,Darkness,U
034/060,A,Sandile,Darkness,C
035/060,A,Krokorok,Darkness,U
036/060,A,Krookodile,Darkness,R
037/060,A,Alolan Diglett,Metal,C
038/060,A,Alolan Dugtrio,Metal,R
039/060,A,Skarmory,Metal,C
040/060,A,SolgaleoGX,Metal,RR
041/060,A,Cutiefly,Fairy,C
042/060,A,Ribombee,Fairy,R
043/060,A,Kangaskhan,Colorless,R
044/060,A,Eevee,Colorless,C
045/060,A,Spinda,Colorless,C
046/060,A,Lillipup,Colorless,C
047/060,A,Herdier,Colorless,C
048/060,A,Stoutland,Colorless,U
049/060,A,Yungoos,Colorless,C
050/060,A,GumshoosGX,Colorless,RR
051/060,A,Stufful,Colorless,C
052/060,A,Bewear,Colorless,U
053/060,A,Crushing Hammer,I,U
054/060,A,Timer Ball,I,U
055/060,A,Repel,I,U
056/060,A,Rotom Dex,I,U
057/060,A,Exp. Share,I,U
058/060,A,Ilima,Su,U
059/060,A,Professor Kukui,Su,U
060/060,A,Double Colorless Energy,Colorless E,U
061/060,A,LaprasGX,Water,SR
062/060,A,EspeonGX,Psychic,SR
063/060,A,SolgaleoGX,Metal,SR
064/060,A,GumshoosGX,Colorless,SR
065/060,A,Ilima,Su,SR
066/060,A,Professor Kukui,Su,SR
067/060,A,LaprasGX,Water,HR
068/060,A,EspeonGX,Psychic,HR
069/060,A,SolgaleoGX,Metal,HR
070/060,A,GumshoosGX,Colorless,HR
071/060,A,Ultra Ball,I,UR
072/060,A,Rotom Dex,I,UR
073/060,—,Metal Energy,Metal E,UR
