No.,Mark,Card name,Type,Rarity
001/050,A,Phantump,Grass,C
002/050,A,Trevenant,Grass,U
003/050,A,Litwick,Fire,C
004/050,A,Lampent,Fire,C
005/050,A,Chandelure,Fire,R
006/050,A,Salandit,Fire,C
007/050,A,Salazzle,Fire,U
008/050,A,Tentacool,Water,C
009/050,A,Tentacruel,Water,U
010/050,A,Wailmer,Water,C
011/050,A,Wailord,Water,U
012/050,A,Alomomola,Water,U
013/050,A,Wishiwashi,Water,C
014/050,A,WishiwashiGX,Water,RR
015/050,A,Alolan Geodude,Lightning,C
016/050,A,Alolan Graveler,Lightning,C
017/050,A,Alolan Golem,Lightning,R
018/050,A,Trubbish,Psychic,C
019/050,A,Garbodor,Psychic,U
020/050,A,Mimikyu,Psychic,R
021/050,A,Dhelmise,Psychic,R
022/050,A,Tapu LeleGX,Psychic,RR
023/050,A,Gligar,Fighting,C
024/050,A,Gliscor,Fighting,U
025/050,A,Pancham,Fighting,C
026/050,A,Rockruff,Fighting,C
027/050,A,LycanrocGX,Fighting,RR
028/050,A,Minior,Fighting,R
029/050,A,Murkrow,Darkness,C
030/050,A,Honchkrow,Darkness,U
031/050,A,Sableye,Darkness,U
032/050,A,Pangoro,Darkness,U
033/050,A,Beldum,Metal,C
034/050,A,Metang,Metal,C
035/050,A,MetagrossGX,Metal,RR
036/050,A,Cottonee,Fairy,C
037/050,A,Whimsicott,Fairy,U
038/050,A,Goomy,Dragon,C
039/050,A,Sliggoo,Dragon,C
040/050,A,Goodra,Dragon,R
041/050,A,Castform,Colorless,C
042/050,A,Patrat,Colorless,C
043/050,A,Watchog,Colorless,C
044/050,A,Fletchling,Colorless,C
045/050,A,Fletchinder,Colorless,C
046/050,A,Talonflame,Colorless,U
047/050,A,Aqua Patch,I,U
048/050,A,Rescue Stretcher,I,U
049/050,A,Mallow,Su,U
050/050,A,Brooklet Hill,St,U
051/050,A,WishiwashiGX,Water,SR
052/050,A,Tapu LeleGX,Psychic,SR
053/050,A,LycanrocGX,Fighting,SR
054/050,A,MetagrossGX,Metal,SR
055/050,A,Mallow,Su,SR
056/050,A,WishiwashiGX,Water,HR
057/050,A,Tapu LeleGX,Psychic,HR
058/050,A,LycanrocGX,Fighting,HR
059/050,A,MetagrossGX,Metal,HR
060/050,A,Aqua Patch,I,UR
061/050,A,Enhanced Hammer,I,UR
062/050,—,Fighting Energy,Fighting E,UR
