No.,Mark,Card name,Type,Rarity
001/051,A,Oddish,Grass,C
002/051,A,Gloom,Grass,C
003/051,A,Vileplume,Grass,R
004/051,A,Heracross,Grass,U
005/051,A,Pansage,Grass,C
006/051,A,Simisage,Grass,C
007/051,A,Dewpider,Grass,C
008/051,A,Araquanid,Grass,U
009/051,A,Charmander,Fire,C
010/051,A,Charmeleon,Fire,C
011/051,A,CharizardGX,Fire,RR
012/051,A,Ho-OhGX,Fire,RR
013/051,A,Pansear,Fire,C
014/051,A,Simisear,Fire,C
015/051,A,Heatmor,Fire,C
016/051,A,Horsea,Water,C
017/051,A,Seadra,Water,C
018/051,A,Kingdra,Water,R
019/051,A,Marill,Water,C
020/051,A,Azumarill,Water,U
021/051,A,Wobbuffet,Psychic,U
022/051,A,Venipede,Psychic,C
023/051,A,Whirlipede,Psychic,C
024/051,A,Scolipede,Psychic,U
025/051,A,Sandygast,Psychic,C
026/051,A,Palossand,Psychic,R
027/051,A,Riolu,Fighting,C
028/051,A,Lucario,Fighting,R
029/051,A,Crabrawler,Fighting,C
030/051,A,Crabominable,Fighting,U
031/051,A,Passimian,Fighting,U
032/051,A,Alolan Grimer,Darkness,C
033/051,A,Alolan MukGX,Darkness,RR
034/051,A,Darkrai,Darkness,R
035/051,A,Inkay,Darkness,C
036/051,A,Malamar,Darkness,U
037/051,A,Diancie,Fairy,R
038/051,A,Cutiefly,Fairy,C
039/051,A,Ribombee,Fairy,U
040/051,A,NoivernGX,Dragon,RR
041/051,A,Meowth,Colorless,C
042/051,A,Persian,Colorless,U
043/051,A,Hoothoot,Colorless,C
044/051,A,Noctowl,Colorless,U
045/051,A,Bouffalant,Colorless,C
046/051,A,Noibat,Colorless,C
047/051,A,Rotom Dex Poké Finder Mode,I,U
048/051,A,Bodybuilding Dumbbells,I,U
049/051,A,Kiawe,Su,U
050/051,A,Plumeria,Su,U
051/051,A,Mount Lanakila,St,U
052/051,A,CharizardGX,Fire,SR
053/051,A,Ho-OhGX,Fire,SR
054/051,A,Alolan MukGX,Darkness,SR
055/051,A,NoivernGX,Dragon,SR
056/051,A,Kiawe,Su,SR
057/051,A,Plumeria,Su,SR
058/051,A,CharizardGX,Fire,HR
059/051,A,Ho-OhGX,Fire,HR
060/051,A,Alolan MukGX,Darkness,HR
061/051,A,NoivernGX,Dragon,HR
062/051,A,Escape Rope,I,UR
063/051,A,Bodybuilding Dumbbells,I,UR
064/051,—,Fire Energy,Fire E,UR
