No.,Mark,Card name,Type,Rarity
001/051,A,Caterpie,Grass,C
002/051,A,Metapod,Grass,C
003/051,A,Butterfree,Grass,U
004/051,A,Tangela,Grass,C
005/051,A,Tangrowth,Grass,U
006/051,A,Wimpod,Grass,C
007/051,A,GolisopodGX,Grass,RR
008/051,A,Magikarp,Water,C
009/051,A,Gyarados,Water,R
010/051,A,Panpour,Water,C
011/051,A,Simipour,Water,C
012/051,A,Bruxish,Water,U
013/051,A,Pikachu,Lightning,C
014/051,A,Raichu,Lightning,R
015/051,A,Tynamo,Lightning,C
016/051,A,Eelektrik,Lightning,C
017/051,A,Eelektross,Lightning,U
018/051,A,Seviper,Psychic,U
019/051,A,Duskull,Psychic,C
020/051,A,Dusclops,Psychic,C
021/051,A,Dusknoir,Psychic,R
022/051,A,Croagunk,Psychic,C
023/051,A,Toxicroak,Psychic,U
024/051,A,Espurr,Psychic,C
025/051,A,Meowstic,Psychic,U
026/051,A,NecrozmaGX,Psychic,RR
027/051,A,Rhyhorn,Fighting,C
028/051,A,Rhydon,Fighting,C
029/051,A,Rhyperior,Fighting,R
030/051,A,Sawk,Fighting,C
031/051,A,Mudbray,Fighting,C
032/051,A,Mudsdale,Fighting,U
033/051,A,MarshadowGX,Fighting,RR
034/051,A,Alolan Rattata,Darkness,C
035/051,A,Alolan Raticate,Darkness,U
036/051,A,Ralts,Fairy,C
037/051,A,Kirlia,Fairy,C
038/051,A,GardevoirGX,Fairy,RR
039/051,A,Morelull,Fairy,C
040/051,A,Shiinotic,Fairy,U
041/051,A,Zygarde,Dragon,R
042/051,A,Porygon,Colorless,C
043/051,A,Porygon2,Colorless,C
044/051,A,Porygon-Z,Colorless,R
045/051,A,Stufful,Colorless,C
046/051,A,Bewear,Colorless,U
047/051,A,Tormenting Spray,I,U
048/051,A,Super Scoop Up,I,U
049/051,A,Guzma,Su,U
050/051,A,Wicke,Su,U
051/051,A,Po Town,St,U
052/051,A,GolisopodGX,Grass,SR
053/051,A,NecrozmaGX,Psychic,SR
054/051,A,MarshadowGX,Fighting,SR
055/051,A,GardevoirGX,Fairy,SR
056/051,A,Guzma,Su,SR
057/051,A,Wicke,Su,SR
058/051,A,GolisopodGX,Grass,HR
059/051,A,NecrozmaGX,Psychic,HR
060/051,A,MarshadowGX,Fighting,HR
061/051,A,GardevoirGX,Fairy,HR
062/051,A,Super Scoop Up,I,UR
063/051,A,Rescue Stretcher,I,UR
064/051,—,Fairy Energy,Fairy E,UR
