No.,Mark,Card name,Type,Rarity
001/072,A,Bulbasaur,Grass,C
002/072,A,Ivysaur,Grass,C
003/072,A,Venusaur,Grass,U
004/072,A,Shining Celebi,Grass,Shining
005/072,A,Shroomish,Grass,C
006/072,A,Breloom,Grass,U
007/072,A,Carnivine,Grass,U
008/072,A,Shaymin,Grass,R
009/072,A,Virizion,Grass,R
010/072,A,Shining Genesect,Grass,Shining
011/072,A,EnteiGX,Fire,RR
012/072,A,Torkoal,Fire,U
013/072,A,Larvesta,Fire,C
014/072,A,Volcarona,Fire,U
015/072,A,Reshiram,Fire,R
016/072,A,Litten,Fire,C
017/072,A,Torracat,Fire,C
018/072,A,Incineroar,Fire,U
019/072,A,Totodile,Water,C
020/072,A,Croconaw,Water,C
021/072,A,Feraligatr,Water,U
022/072,A,Qwilfish,Water,C
023/072,A,Buizel,Water,C
024/072,A,Floatzel,Water,U
025/072,A,Palkia,Water,R
026/072,A,Manaphy,Water,R
027/072,A,Keldeo,Water,R
028/072,A,Shining Volcanion,Water,Shining
029/072,A,Pikachu,Lightning,C
030/072,A,RaichuGX,Lightning,RR
031/072,A,Voltorb,Lightning,C
032/072,A,Electrode,Lightning,U
033/072,A,Raikou,Lightning,R
034/072,A,Plusle,Lightning,C
035/072,A,Minun,Lightning,C
036/072,A,Zekrom,Lightning,R
037/072,A,Ekans,Psychic,C
038/072,A,Arbok,Psychic,U
039/072,A,Jynx,Psychic,U
040/072,A,MewtwoGX,Psychic,RR
041/072,A,Shining Mew,Psychic,Shining
042/072,A,Latios,Psychic,R
043/072,A,Shining Jirachi,Psychic,Shining
044/072,A,Golett,Psychic,C
045/072,A,Golurk,Psychic,U
046/072,A,Marshadow,Psychic,R
047/072,A,Stunfisk,Fighting,U
048/072,A,Spiritomb,Darkness,U
049/072,A,Purrloin,Darkness,C
050/072,A,Liepard,Darkness,U
051/072,A,Scraggy,Darkness,C
052/072,A,Scrafty,Darkness,U
053/072,A,Zorua,Darkness,C
054/072,A,ZoroarkGX,Darkness,RR
055/072,A,Yveltal,Darkness,R
056/072,A,Hoopa,Darkness,R
057/072,A,Shining Rayquaza,Dragon,Shining
058/072,A,Shining Lugia,Colorless,Shining
059/072,A,Shining Arceus,Colorless,Shining
060/072,A,Energy Retrieval,I,U
061/072,A,Great Ball,I,U
062/072,A,Super Scoop Up,I,U
063/072,A,Damage Mover,I,U
064/072,A,Ultra Ball,I,U
065/072,A,Switch,I,U
066/072,A,Pokémon Catcher,I,U
067/072,A,Hau,Su,U
068/072,A,Pokémon Breeder,Su,U
069/072,A,Sophocles,Su,U
070/072,A,Lillie,Su,U
071/072,A,Double Colorless Energy,Colorless E,U
072/072,A,Warp Energy,Colorless E,U
073/072,A,EnteiGX,Fire,SR
074/072,A,RaichuGX,Lightning,SR
075/072,A,MewtwoGX,Psychic,SR
076/072,A,ZoroarkGX,Darkness,SR
077/072,A,Pokémon Breeder,Su,SR
078/072,A,EnteiGX,Fire,HR
079/072,A,RaichuGX,Lightning,HR
080/072,A,MewtwoGX,Psychic,HR
081/072,A,ZoroarkGX,Darkness,HR
082/072,A,MewtwoGX,Psychic,Shining
