No.,Mark,Card name,Type,Rarity
001/050,A,Weedle,Grass,C
002/050,A,Kakuna,Grass,C
003/050,A,Beedrill,Grass,U
004/050,A,Exeggcute,Grass,C
005/050,A,Shelmet,Grass,C
006/050,A,Accelgor,Grass,C
007/050,A,Magikarp,Water,C
008/050,A,GyaradosGX,Water,RR
009/050,A,Swinub,Water,C
010/050,A,Piloswine,Water,C
011/050,A,Mamoswine,Water,U
012/050,A,Feebas,Water,C
013/050,A,Milotic,Water,R
014/050,A,Regice,Water,R
015/050,A,Pikachu,Lightning,C
016/050,A,Alolan Raichu,Lightning,R
017/050,A,Misdreavus,Psychic,C
018/050,A,Mismagius,Psychic,U
019/050,A,Spoink,Psychic,C
020/050,A,Grumpig,Psychic,C
021/050,A,Oranguru,Psychic,U
022/050,A,NihilegoGX,Psychic,RR
023/050,A,Mankey,Fighting,C
024/050,A,Primeape,Fighting,U
025/050,A,Regirock,Fighting,U
026/050,A,Stufful,Fighting,C
027/050,A,Bewear,Fighting,R
028/050,A,Houndour,Darkness,C
029/050,A,Houndoom,Darkness,U
030/050,A,Deino,Darkness,C
031/050,A,Zweilous,Darkness,U
032/050,A,Hydreigon,Darkness,R
033/050,A,GuzzlordGX,Darkness,RR
034/050,A,Jigglypuff,Fairy,C
035/050,A,Wigglytuff,Fairy,U
036/050,A,Xerneas,Fairy,R
037/050,A,Alolan ExeggutorGX,Dragon,RR
038/050,A,Jangmo-o,Dragon,C
039/050,A,Hakamo-o,Dragon,U
040/050,A,Kommo-o,Dragon,R
041/050,A,Miltank,Colorless,C
042/050,A,Swablu,Colorless,C
043/050,A,Altaria,Colorless,U
044/050,A,Bunnelby,Colorless,C
045/050,A,Diggersby,Colorless,C
046/050,A,Dashing Pouch,I,U
047/050,A,Lusamine,Su,U
048/050,A,Sea of Nothingness,St,U
049/050,A,Devoured Field,St,U
050/050,A,Counter Energy,Colorless E,U
051/050,A,GyaradosGX,Water,SR
052/050,A,NihilegoGX,Psychic,SR
053/050,A,GuzzlordGX,Darkness,SR
054/050,A,Alolan ExeggutorGX,Dragon,SR
055/050,A,Lusamine,Su,SR
056/050,A,GyaradosGX,Water,HR
057/050,A,NihilegoGX,Psychic,HR
058/050,A,GuzzlordGX,Darkness,HR
059/050,A,Alolan ExeggutorGX,Dragon,HR
060/050,A,Wishful Baton,I,UR
061/050,A,Counter Energy,Colorless E,UR
062/050,—,Water Energy,Water E,UR
