No.,Mark,Card name,Type,Rarity
001/050,A,Cacnea,Grass,C
002/050,A,Cacturne,Grass,U
003/050,A,Karrablast,Grass,C
004/050,A,Skiddo,Grass,C
005/050,A,Gogoat,Grass,R
006/050,A,Alolan Marowak,Fire,R
007/050,A,Numel,Fire,C
008/050,A,Camerupt,Fire,U
009/050,A,Staryu,Water,C
010/050,A,Starmie,Water,U
011/050,A,Remoraid,Water,C
012/050,A,Octillery,Water,U
013/050,A,Corphish,Water,C
014/050,A,Crawdaunt,Water,U
015/050,A,Shellos,Water,C
016/050,A,Alolan Geodude,Lightning,C
017/050,A,Alolan Graveler,Lightning,U
018/050,A,Alolan GolemGX,Lightning,RR
019/050,A,Emolga,Lightning,C
020/050,A,Gastly,Psychic,C
021/050,A,Haunter,Psychic,C
022/050,A,Gengar,Psychic,R
023/050,A,Chimecho,Psychic,C
024/050,A,Pumpkaboo,Psychic,C
025/050,A,Gourgeist,Psychic,U
026/050,A,Salandit,Psychic,C
027/050,A,Salazzle,Psychic,R
028/050,A,Cubone,Fighting,C
029/050,A,Gastrodon,Fighting,C
030/050,A,BuzzwoleGX,Fighting,RR
031/050,A,Mawile,Metal,C
032/050,A,Aron,Metal,C
033/050,A,Lairon,Metal,U
034/050,A,Aggron,Metal,R
035/050,A,Registeel,Metal,U
036/050,A,Escavalier,Metal,U
037/050,A,KartanaGX,Metal,RR
038/050,A,Starly,Colorless,C
039/050,A,Staravia,Colorless,C
040/050,A,Staraptor,Colorless,U
041/050,A,Regigigas,Colorless,R
042/050,A,Minccino,Colorless,C
043/050,A,Cinccino,Colorless,C
044/050,A,Type: Null,Colorless,R
045/050,A,SilvallyGX,Colorless,RR
046/050,A,Counter Catcher,I,U
047/050,A,Peeking Red Card,I,U
048/050,A,Psychic Memory,I,U
049/050,A,Fighting Memory,I,U
050/050,A,Gladion,Su,U
051/050,A,Alolan GolemGX,Lightning,SR
052/050,A,BuzzwoleGX,Fighting,SR
053/050,A,KartanaGX,Metal,SR
054/050,A,SilvallyGX,Colorless,SR
055/050,A,Gladion,Su,SR
056/050,A,Alolan GolemGX,Lightning,HR
057/050,A,BuzzwoleGX,Fighting,HR
058/050,A,KartanaGX,Metal,HR
059/050,A,SilvallyGX,Colorless,HR
060/050,A,Counter Catcher,I,UR
061/050,A,Warp Energy,Colorless E,UR
062/050,—,Metal Energy,Metal E,UR
