No.,Mark,Card name,Type,Rarity
001/114,A,Exeggcute,Grass,—
002/114,A,Pinsir,Grass,—
003/114,A,Grubbin,Grass,—
004/114,A,Dewpider,Grass,—
005/114,A,Araquanid,Grass,—
006/114,A,Fomantis,Grass,—
007/114,A,Lurantis,Grass,—
008/114,A,Bounsweet,Grass,—
009/114,A,Steenee,Grass,—
010/114,A,Tsareena,Grass,—
011/114,A,Tapu Bulu,Grass,—
012/114,A,PheromosaGX,Grass,RR
013/114,A,Ho-OhGX,Fire,RR
014/114,A,Victini,Fire,—
015/114,A,Litwick,Fire,—
016/114,A,Lampent,Fire,—
017/114,A,Chandelure,Fire,—
018/114,A,Salandit,Fire,—
019/114,A,Salazzle,Fire,—
020/114,A,Alolan Sandshrew,Water,—
021/114,A,Alolan Sandslash,Water,—
022/114,A,Alolan Vulpix,Water,—
023/114,A,Alolan Ninetales,Water,—
024/114,A,Regice,Water,—
025/114,A,Pyukumuku,Water,—
026/114,A,Tapu Fini,Water,—
027/114,A,Tapu FiniGX,Water,RR
028/114,A,Pikachu,Lightning,—
029/114,A,Raichu,Lightning,—
030/114,A,Charjabug,Lightning,—
031/114,A,Vikavolt,Lightning,—
032/114,A,Tapu KokoGX,Lightning,RR
033/114,A,XurkitreeGX,Lightning,RR
034/114,A,Alolan Grimer,Psychic,—
035/114,A,Alolan Muk,Psychic,—
036/114,A,MewtwoGX,Psychic,RR
037/114,A,Wobbuffet,Psychic,—
038/114,A,Seviper,Psychic,—
039/114,A,Trubbish,Psychic,—
040/114,A,Garbodor,Psychic,—
041/114,A,Oricorio,Psychic,—
042/114,A,Oricorio,Psychic,—
043/114,A,Mimikyu,Psychic,—
044/114,A,Dhelmise,Psychic,—
045/114,A,Tapu LeleGX,Psychic,RR
046/114,A,Cosmog,Psychic,—
047/114,A,Cosmoem,Psychic,—
048/114,A,Lunala,Psychic,—
049/114,A,LunalaGX,Psychic,RR
050/114,A,NecrozmaGX,Psychic,RR
051/114,A,Sudowoodo,Fighting,—
052/114,A,Lunatone,Fighting,—
053/114,A,Solrock,Fighting,—
054/114,A,Regirock,Fighting,—
055/114,A,Rockruff,Fighting,—
056/114,A,LycanrocGX,Fighting,RR
057/114,A,LycanrocGX,Fighting,RR
058/114,A,Passimian,Fighting,—
059/114,A,Sandygast,Fighting,—
060/114,A,Palossand,Fighting,—
061/114,A,Murkrow,Darkness,—
062/114,A,Honchkrow,Darkness,—
063/114,A,Sableye,Darkness,—
064/114,A,DarkraiGX,Darkness,RR
065/114,A,GuzzlordGX,Darkness,RR
066/114,A,Alolan Diglett,Metal,—
067/114,A,Alolan Dugtrio,Metal,—
068/114,A,Registeel,Metal,—
069/114,A,Solgaleo,Metal,—
070/114,A,SolgaleoGX,Metal,RR
071/114,A,CelesteelaGX,Metal,RR
072/114,A,Magearna,Metal,—
073/114,A,SylveonGX,Fairy,RR
074/114,A,Diancie,Fairy,—
075/114,A,Morelull,Fairy,—
076/114,A,Shiinotic,Fairy,—
077/114,A,Tapu Lele,Fairy,—
078/114,A,Alolan Exeggutor,Dragon,—
079/114,A,Drampa,Dragon,—
080/114,A,Chansey,Colorless,—
081/114,A,Blissey,Colorless,—
082/114,A,Kangaskhan,Colorless,—
083/114,A,Eevee,Colorless,—
084/114,A,Rayquaza,Colorless,—
085/114,A,Type: Null,Colorless,—
086/114,A,SilvallyGX,Colorless,RR
087/114,A,DrampaGX,Colorless,RR
088/114,A,Aqua Patch,I,—
089/114,A,Escape Rope,I,—
090/114,A,Enhanced Hammer,I,—
091/114,A,Timer Ball,I,—
092/114,A,Nest Ball,I,—
093/114,A,Field Blower,I,—
094/114,A,Rare Candy,I,—
095/114,A,Multi Switch,I,—
096/114,A,Max Potion,I,—
097/114,A,Rescue Stretcher,I,—
098/114,A,Rotom Dex,I,—
099/114,A,Electric Memory,I,—
100/114,A,Ancient Crystal,I,—
101/114,A,Choice Band,I,—
102/114,A,Fire Memory,I,—
103/114,A,Acerola,Su,—
104/114,A,Kiawe,Su,—
105/114,A,Guzma,Su,—
106/114,A,Lana,Su,—
107/114,A,Mallow,Su,—
108/114,A,Lillie,Su,—
109/114,A,Lusamine,Su,—
110/114,A,Aether Paradise Conservation Area,St,—
111/114,A,Altar of the Moone,St,—
112/114,A,Brooklet Hill,St,—
113/114,A,Altar of the Sunne,St,—
114/114,A,Double Colorless Energy,Colorless E,—
115/114,A,PheromosaGX,Grass,SR
116/114,A,XurkitreeGX,Lightning,SR
117/114,A,CelesteelaGX,Metal,SR
118/114,A,Lana,Su,SR
119/114,A,Lillie,Su,SR
120/114,A,Lusamine,Su,SR
121/114,A,PheromosaGX,Grass,HR
122/114,A,XurkitreeGX,Lightning,HR
123/114,A,CelesteelaGX,Metal,HR
124/114,A,LunalaGX,Psychic,UR
125/114,A,SolgaleoGX,Metal,UR
