No.,Mark,Card name,Type,Rarity
001/066,B,Alolan Sandshrew,Water,C
002/066,B,Alolan Sandslash,Water,U
003/066,B,Piplup,Water,C
004/066,B,Piplup,Water,C
005/066,B,Prinplup,Water,C
006/066,B,Empoleon,Water,R
007/066,B,Buizel,Water,C
008/066,B,Floatzel,Water,C
009/066,B,Snover,Water,C
010/066,B,Abomasnow,Water,U
011/066,B,GlaceonGX,Water,RR
012/066,B,Wash Rotom,Water,U
013/066,B,Frost Rotom,Water,U
014/066,B,Manaphy,Water,C
015/066,B,Electabuzz,Lightning,C
016/066,B,Electivire,Lightning,U
017/066,B,Shinx,Lightning,C
018/066,B,Shinx,Lightning,C
019/066,B,Luxio,Lightning,C
020/066,B,Luxray,Lightning,R
021/066,B,Pachirisu,Lightning,C
022/066,B,Rotom,Lightning,U
023/066,B,Drifloon,Psychic,C
024/066,B,Drifblim,Psychic,C
025/066,B,Spiritomb,Psychic,C
026/066,B,Skorupi,Psychic,C
027/066,B,Drapion,Psychic,U
028/066,B,Croagunk,Psychic,C
029/066,B,Toxicroak,Psychic,U
030/066,B,Giratina Prism Star,Psychic,PR
031/066,B,Cresselia,Psychic,R
032/066,B,Lunala Prism Star,Psychic,PR
033/066,B,Dawn Wings NecrozmaGX,Psychic,RR
034/066,B,Cranidos,Fighting,U
035/066,B,Rampardos,Fighting,R
036/066,B,Riolu,Fighting,C
037/066,B,Lucario,Fighting,R
038/066,B,Hippopotas,Fighting,C
039/066,B,Hippowdon,Fighting,U
040/066,B,Passimian,Fighting,C
041/066,B,Gible,Dragon,C
042/066,B,Gible,Dragon,C
043/066,B,Gabite,Dragon,C
044/066,B,Garchomp,Dragon,R
045/066,B,PalkiaGX,Dragon,RR
046/066,B,Eevee,Colorless,C
047/066,B,Buneary,Colorless,C
048/066,B,Lopunny,Colorless,C
049/066,B,Shaymin,Colorless,U
050/066,B,Yungoos,Colorless,C
051/066,B,Gumshoos,Colorless,C
052/066,B,Drampa,Colorless,R
053/066,B,Order Pad,I,C
054/066,A,Crushing Hammer,I,U
055/066,B,Unidentified Fossil,I,C
056/066,A,Ultra Ball,I,U
057/066,B,Looker Whistle,I,U
058/066,A,Rare Candy,I,U
059/066,A,Rescue Stretcher,I,U
060/066,B,Escape Board,I,U
061/066,B,Cynthia,Su,R
062/066,B,Volkner,Su,U
063/066,B,Looker,Su,C
064/066,A,Sophocles,Su,U
065/066,B,Super Boost Energy Prism Star,Colorless E,PR
066/066,B,Unit Energy LightningPsychicMetal,Colorless E,U
067/066,B,GlaceonGX,Water,SR
068/066,B,Dawn Wings NecrozmaGX,Psychic,SR
069/066,B,PalkiaGX,Dragon,SR
070/066,B,Cynthia,Su,SR
071/066,B,Volkner,Su,SR
072/066,B,Looker,Su,SR
073/066,B,GlaceonGX,Water,HR
074/066,B,Dawn Wings NecrozmaGX,Psychic,HR
075/066,B,PalkiaGX,Dragon,HR
076/066,A,Crushing Hammer,I,UR
077/066,B,Escape Board,I,UR
078/066,B,Unit Energy LightningPsychicMetal,Colorless E,UR
