No.,Mark,Card name,Type,Rarity
001/094,B,Exeggcute,Grass,C
002/094,B,Alolan Exeggutor,Grass,R
003/094,B,Scatterbug,Grass,C
004/094,B,Scatterbug,Grass,C
005/094,B,Spewpa,Grass,C
006/094,B,Vivillon,Grass,U
007/094,B,Skiddo,Grass,C
008/094,B,Gogoat,Grass,C
009/094,B,Pheromosa,Grass,R
010/094,B,Alolan Marowak,Fire,U
011/094,B,Fennekin,Fire,C
012/094,B,Fennekin,Fire,C
013/094,B,Braixen,Fire,C
014/094,B,Delphox,Fire,R
015/094,B,Litleo,Fire,C
016/094,B,Pyroar,Fire,R
017/094,B,Froakie,Water,C
018/094,B,Froakie,Water,C
019/094,B,Frogadier,Water,C
020/094,B,GreninjaGX,Water,RR
021/094,B,Clauncher,Water,C
022/094,B,Clawitzer,Water,U
023/094,B,Amaura,Water,U
024/094,B,Aurorus,Water,R
025/094,B,Bergmite,Water,C
026/094,B,Avalugg,Water,U
027/094,B,Volcanion Prism Star,Water,PR
028/094,B,Helioptile,Lightning,C
029/094,B,Heliolisk,Lightning,C
030/094,B,Espurr,Psychic,C
031/094,B,Meowstic,Psychic,U
032/094,B,Honedge,Psychic,C
033/094,B,Honedge,Psychic,C
034/094,B,Doublade,Psychic,C
035/094,B,Aegislash,Psychic,U
036/094,B,Inkay,Psychic,C
037/094,B,Malamar,Psychic,U
038/094,B,Skrelp,Psychic,C
039/094,B,Dragalge,Psychic,U
040/094,B,Hoopa,Psychic,C
041/094,B,Cubone,Fighting,C
042/094,B,Pancham,Fighting,C
043/094,B,Binacle,Fighting,C
044/094,B,Barbaracle,Fighting,U
045/094,B,Tyrunt,Fighting,U
046/094,B,Tyrantrum,Fighting,R
047/094,B,Hawlucha,Fighting,C
048/094,B,Zygarde,Fighting,C
049/094,B,Zygarde,Fighting,U
050/094,B,ZygardeGX,Fighting,RR
051/094,B,Diancie Prism Star,Fighting,PR
052/094,B,Rockruff,Fighting,C
053/094,B,Lycanroc,Fighting,R
054/094,B,Pangoro,Darkness,U
055/094,B,YveltalGX,Darkness,RR
056/094,B,Guzzlord,Darkness,R
057/094,B,Flabébé,Fairy,C
058/094,B,Flabébé,Fairy,C
059/094,B,Floette,Fairy,C
060/094,B,Florges,Fairy,U
061/094,B,Sylveon,Fairy,U
062/094,B,Dedenne,Fairy,C
063/094,B,Klefki,Fairy,C
064/094,B,XerneasGX,Fairy,RR
065/094,B,Goomy,Dragon,C
066/094,B,Goomy,Dragon,C
067/094,B,Sliggoo,Dragon,C
068/094,B,Goodra,Dragon,R
069/094,B,Ultra NecrozmaGX,Dragon,RR
070/094,B,Eevee,Colorless,C
071/094,B,Bunnelby,Colorless,C
072/094,B,Diggersby,Colorless,C
073/094,B,Furfrou,Colorless,C
074/094,B,Noibat,Colorless,C
075/094,B,Noivern,Colorless,U
076/094,B,Eneporter,I,U
077/094,B,Fossil Excavation Map,I,U
078/094,B,Unidentified Fossil,I,C
079/094,A,Ultra Ball,I,U
080/094,A,Rare Candy,I,U
081/094,A,Switch,I,U
082/094,A,Pokémon Catcher,I,U
083/094,B,Mysterious Treasure,I,U
084/094,A,Choice Band,I,U
085/094,B,Lady,Su,U
086/094,B,Diantha,Su,R
087/094,B,Judge,Su,U
088/094,A,Hau,Su,U
089/094,B,Lysandre Prism Star,Su,PR
090/094,B,Bonnie,Su,U
091/094,A,Lillie,Su,U
092/094,B,Lysandre Labs,St,U
093/094,A,Double Colorless Energy,Colorless E,U
094/094,B,Unit Energy FightingDarknessFairy,Colorless E,U
095/094,B,GreninjaGX,Water,SR
096/094,B,ZygardeGX,Fighting,SR
097/094,B,YveltalGX,Darkness,SR
098/094,B,XerneasGX,Fairy,SR
099/094,B,Ultra NecrozmaGX,Dragon,SR
100/094,B,Lady,Su,SR
101/094,B,Diantha,Su,SR
102/094,B,Bonnie,Su,SR
103/094,B,GreninjaGX,Water,HR
104/094,B,ZygardeGX,Fighting,HR
105/094,B,YveltalGX,Darkness,HR
106/094,B,XerneasGX,Fairy,HR
107/094,B,Ultra NecrozmaGX,Dragon,HR
108/094,B,Eneporter,I,UR
109/094,B,Mysterious Treasure,I,UR
110/094,B,Unit Energy FightingDarknessFairy,Colorless E,UR
