No.,Mark,Card name,Type,Rarity
001/066,B,Bellsprout,Grass,C
002/066,B,Weepinbell,Grass,U
003/066,B,Victreebel,Grass,R
004/066,B,Scyther,Grass,C
005/066,B,Spinarak,Grass,C
006/066,B,Ariados,Grass,R
007/066,B,Cacnea,Grass,C
008/066,B,Cacturne,Grass,U
009/066,B,Slugma,Fire,C
010/066,B,Magcargo,Fire,U
011/066,B,Torchic,Fire,C
012/066,B,Combusken,Fire,U
013/066,B,Blaziken,Fire,R
014/066,B,ArticunoGX,Water,RR
015/066,B,Totodile,Water,C
016/066,B,Croconaw,Water,U
017/066,B,Feraligatr,Water,R
018/066,B,Lotad,Water,C
019/066,B,Lombre,Water,U
020/066,B,Ludicolo,Water,R
021/066,B,Voltorb,Lightning,C
022/066,B,ElectrodeGX,Lightning,RR
023/066,B,Chinchou,Lightning,C
024/066,B,Lanturn,Lightning,C
025/066,B,Mr. MimeGX,Psychic,RR
026/066,B,Gulpin,Psychic,C
027/066,B,Swalot,Psychic,C
028/066,B,Lunatone,Psychic,R
029/066,B,Solrock,Psychic,C
030/066,B,Shuppet,Psychic,C
031/066,B,BanetteGX,Psychic,RR
032/066,B,Onix,Fighting,C
033/066,B,Phanpy,Fighting,C
034/066,B,Donphan,Fighting,C
035/066,B,Larvitar,Fighting,C
036/066,B,Pupitar,Fighting,U
037/066,B,Sneasel,Darkness,C
038/066,B,Tyranitar,Darkness,R
039/066,B,Sableye,Darkness,U
040/066,B,Steelix,Metal,R
041/066,B,ScizorGX,Metal,RR
042/066,B,Mawile,Metal,C
043/066,B,Bagon,Dragon,C
044/066,B,Shelgon,Dragon,U
045/066,B,SalamenceGX,Dragon,RR
046/066,B,Kangaskhan,Colorless,C
047/066,B,Dunsparce,Colorless,C
048/066,B,Ho-Oh,Colorless,U
049/066,B,Slakoth,Colorless,C
050/066,B,Vigoroth,Colorless,U
051/066,B,Slaking,Colorless,R
052/066,B,Energy Recycle System,I,C
053/066,A,Energy Switch,I,U
054/066,A,Super Scoop Up,I,U
055/066,A,Rare Candy,I,U
056/066,B,Life Herb,I,U
057/066,B,Friend Ball,I,C
058/066,B,PokéNav,I,U
059/066,A,Switch,I,U
060/066,B,Lure Ball,I,U
061/066,B,Underground Expedition,Su,U
062/066,B,TV Reporter,Su,C
063/066,B,Apricorn Maker,Su,U
064/066,B,Bill's Maintenance,Su,C
065/066,B,Copycat,Su,U
066/066,A,Rainbow Energy,Colorless E,U
067/066,B,ArticunoGX,Water,SR
068/066,B,ElectrodeGX,Lightning,SR
069/066,B,Mr. MimeGX,Psychic,SR
070/066,B,BanetteGX,Psychic,SR
071/066,B,ScizorGX,Metal,SR
072/066,B,SalamenceGX,Dragon,SR
073/066,B,Underground Expedition,Su,SR
074/066,B,TV Reporter,Su,SR
075/066,B,Apricorn Maker,Su,SR
076/066,B,Bill's Maintenance,Su,SR
077/066,B,Copycat,Su,SR
078/066,B,ArticunoGX,Water,HR
079/066,B,ElectrodeGX,Lightning,HR
080/066,B,Mr. MimeGX,Psychic,HR
081/066,B,BanetteGX,Psychic,HR
082/066,B,ScizorGX,Metal,HR
083/066,B,SalamenceGX,Dragon,HR
084/066,B,Life Herb,I,UR
085/066,B,PokéNav,I,UR
086/066,A,Rainbow Energy,Colorless E,UR
