No.,Mark,Card name,Type,Rarity
001/050,B,Tangela,Grass,C
002/050,B,Tangrowth,Grass,U
003/050,B,Treecko,Grass,C
004/050,B,Grovyle,Grass,U
005/050,B,SceptileGX,Grass,RR
006/050,B,Wurmple,Grass,C
007/050,B,Silcoon,Grass,C
008/050,B,Beautifly,Grass,U
009/050,B,Nincada,Grass,C
010/050,B,Ninjask,Grass,C
011/050,B,Combee,Grass,C
012/050,B,Vespiquen,Grass,C
013/050,B,Shaymin,Grass,R
014/050,B,Alolan Vulpix,Water,C
015/050,B,Shedinja,Psychic,U
016/050,B,Sableye,Psychic,C
017/050,B,Giratina,Psychic,R
018/050,B,SigilyphGX,Psychic,RR
019/050,B,Yamask,Psychic,C
020/050,B,Cofagrigus,Psychic,U
021/050,B,Litwick,Psychic,C
022/050,B,Lampent,Psychic,C
023/050,B,Chandelure,Psychic,R
024/050,B,Meloetta,Psychic,U
025/050,B,Alolan NinetalesGX,Fairy,RR
026/050,B,Jigglypuff,Fairy,C
027/050,B,Wigglytuff,Fairy,U
028/050,B,Ralts,Fairy,C
029/050,B,Kirlia,Fairy,C
030/050,B,Gardevoir,Fairy,R
031/050,B,Dedenne,Fairy,C
032/050,B,Carbink,Fairy,C
033/050,B,Xerneas Prism Star,Fairy,PR
034/050,B,Cutiefly,Fairy,C
035/050,B,Ribombee,Fairy,U
036/050,B,Morelull,Fairy,C
037/050,B,Shiinotic,Fairy,C
038/050,B,MimikyuGX,Fairy,RR
039/050,B,Tapu Lele,Fairy,R
040/050,B,Tapu Fini,Fairy,R
041/050,B,Kecleon,Colorless,C
042/050,B,Net Ball,I,U
043/050,B,Adventure Bag,I,C
044/050,B,Spell Tag,I,U
045/050,B,Fairy Charm Psychic,I,U
046/050,B,Fairy Charm Fighting,I,U
047/050,B,Fairy Charm Dragon,I,U
048/050,B,Morty,Su,U
049/050,B,Mina,Su,U
050/050,B,Life Forest Prism Star,St,PR
051/050,B,SceptileGX,Grass,SR
052/050,B,SigilyphGX,Psychic,SR
053/050,B,Alolan NinetalesGX,Fairy,SR
054/050,B,MimikyuGX,Fairy,SR
055/050,B,Morty,Su,SR
056/050,B,Mina,Su,SR
057/050,B,SceptileGX,Grass,HR
058/050,B,SigilyphGX,Psychic,HR
059/050,B,Alolan NinetalesGX,Fairy,HR
060/050,B,MimikyuGX,Fairy,HR
061/050,B,Net Ball,I,UR
062/050,B,Adventure Bag,I,UR
063/050,B,Spell Tag,I,UR
