No.,Mark,Card name,Type,Rarity
001/055,C,Venonat,Grass,C
002/055,C,VenomothGX,Grass,RR
003/055,C,Bellsprout,Grass,C
004/055,C,Weepinbell,Grass,C
005/055,C,Victreebel,Grass,U
006/055,C,Grubbin,Grass,C
007/055,C,Tentacool,Water,C
008/055,C,Tentacruel,Water,C
009/055,C,Goldeen,Water,C
010/055,C,Seaking,Water,U
011/055,C,Kyurem,Water,R
012/055,C,Froakie,Water,C
013/055,C,Frogadier,Water,C
014/055,C,Pikachu,Lightning,C
015/055,C,Raichu,Lightning,U
016/055,C,DedenneGX,Lightning,RR
017/055,C,Charjabug,Lightning,C
018/055,C,Vikavolt,Lightning,R
019/055,C,Zeraora,Lightning,R
020/055,C,Marshadow,Psychic,R
021/055,C,Wooper,Fighting,C
022/055,C,Quagsire,Fighting,U
023/055,C,Gligar,Fighting,C
024/055,C,Gliscor,Fighting,C
025/055,C,Greninja & ZoroarkTag Team GX,Darkness,RR
026/055,C,Carvanha,Darkness,C
027/055,C,Sharpedo,Darkness,U
028/055,C,Greninja,Darkness,R
029/055,C,Inkay,Darkness,C
030/055,C,Malamar,Darkness,R
031/055,C,Gardevoir & SylveonTag Team GX,Fairy,RR
032/055,C,Clefairy,Fairy,C
033/055,C,Clefable,Fairy,U
034/055,C,Togepi,Fairy,C
035/055,C,Togetic,Fairy,C
036/055,C,Togekiss,Fairy,R
037/055,C,Spritzee,Fairy,C
038/055,C,Aromatisse,Fairy,U
039/055,C,Rattata,Colorless,C
040/055,C,Raticate,Colorless,C
041/055,C,Lickitung,Colorless,C
042/055,C,Lickilicky,Colorless,U
043/055,C,Electromagnetic Radar,I,U
044/055,C,Surprise Box,I,C
045/055,C,Pokégear 3.0,I,U
046/055,C,Stealthy Hood,I,U
047/055,C,Fairy Charm Lightning,I,U
048/055,C,Fairy Charm Ability,I,U
049/055,C,Janine,Su,U
050/055,C,Koga's Trap,Su,U
051/055,C,Lt. Surge's Strategy,Su,U
052/055,B,Electropower,I,TR
053/055,A,Enhanced Hammer,I,TR
054/055,A,Max Potion,I,TR
055/055,A,Guzma,Su,TR
056/055,C,VenomothGX,Grass,SR
057/055,C,DedenneGX,Lightning,SR
058/055,C,Greninja & ZoroarkTag Team GX,Darkness,SR
059/055,C,Greninja & ZoroarkTag Team GX,Darkness,SR
060/055,C,Gardevoir & SylveonTag Team GX,Fairy,SR
061/055,C,Gardevoir & SylveonTag Team GX,Fairy,SR
062/055,C,Janine,Su,SR
063/055,C,Koga's Trap,Su,SR
064/055,C,VenomothGX,Grass,HR
065/055,C,DedenneGX,Lightning,HR
066/055,C,Greninja & ZoroarkTag Team GX,Darkness,HR
067/055,C,Gardevoir & SylveonTag Team GX,Fairy,HR
068/055,C,Electromagnetic Radar,I,UR
069/055,C,Pokégear 3.0,I,UR
070/055,A,Aether Paradise Conservation Area,St,UR
