No.,Mark,Card name,Type,Rarity
001/054,C,Pheromosa & BuzzwoleTag Team GX,Grass,RR
002/054,C,Caterpie,Grass,C
003/054,C,Metapod,Grass,C
004/054,C,Butterfree,Grass,U
005/054,C,Tangela,Grass,C
006/054,C,Tangrowth,Grass,U
007/054,C,Kartana,Grass,R
008/054,C,Squirtle,Water,C
009/054,C,Wartortle,Water,C
010/054,C,BlastoiseGX,Water,RR
011/054,C,Slowpoke,Water,C
012/054,C,Slowbro,Water,R
013/054,C,Pyukumuku,Water,C
014/054,C,Ekans,Psychic,C
015/054,C,Arbok,Psychic,U
016/054,C,Zubat,Psychic,C
017/054,C,Golbat,Psychic,C
018/054,C,Crobat,Psychic,R
019/054,C,Drowzee,Psychic,C
020/054,C,Hypno,Psychic,U
021/054,C,Sandshrew,Fighting,C
022/054,C,Sandslash,Fighting,U
023/054,C,Geodude,Fighting,C
024/054,C,Graveler,Fighting,C
025/054,C,Golem,Fighting,R
026/054,C,Hitmontop,Fighting,C
027/054,C,Riolu,Fighting,C
028/054,C,Stakataka,Fighting,R
029/054,C,Lucario & MelmetalTag Team GX,Metal,RR
030/054,C,Alolan Diglett,Metal,C
031/054,C,Alolan Dugtrio,Metal,U
032/054,C,Aron,Metal,C
033/054,C,Lairon,Metal,C
034/054,C,Aggron,Metal,U
035/054,C,Lucario,Metal,R
036/054,C,Genesect,Metal,U
037/054,C,Meltan,Metal,C
038/054,C,Melmetal,Metal,R
039/054,C,Spearow,Colorless,C
040/054,C,Fearow,Colorless,C
041/054,C,Glameow,Colorless,C
042/054,C,Purugly,Colorless,U
043/054,C,CelesteelaGX,Colorless,RR
044/054,C,Devolution Spray Z,I,U
045/054,C,Beast Bringer,I,U
046/054,C,Metal Core Barrier,I,U
047/054,C,Ultra Forest Kartenvoy,Su,U
048/054,C,Green's Exploration,Su,U
049/054,C,Molayne,Su,U
050/054,C,Power Plant,St,U
051/054,A,Ultra Ball,I,TR
052/054,B,Beast Ring,I,TR
053/054,B,Metal Frying Pan,I,TR
054/054,A,Acerola,Su,TR
055/054,C,Pheromosa & BuzzwoleTag Team GX,Grass,SR
056/054,C,Pheromosa & BuzzwoleTag Team GX,Grass,SR
057/054,C,BlastoiseGX,Water,SR
058/054,C,Lucario & MelmetalTag Team GX,Metal,SR
059/054,C,Lucario & MelmetalTag Team GX,Metal,SR
060/054,C,CelesteelaGX,Colorless,SR
061/054,C,Green's Exploration,Su,SR
062/054,C,Molayne,Su,SR
063/054,C,Pheromosa & BuzzwoleTag Team GX,Grass,HR
064/054,C,BlastoiseGX,Water,HR
065/054,C,Lucario & MelmetalTag Team GX,Metal,HR
066/054,C,CelesteelaGX,Colorless,HR
067/054,C,Beast Bringer,I,UR
068/054,C,Metal Core Barrier,I,UR
069/054,B,Mt. Coronet,St,UR
