No.,Mark,Card name,Type,Rarity
001/094,C,Yanma,Grass,C
002/094,C,Yanmega,Grass,C
003/094,C,Celebi,Grass,R
004/094,C,Shroomish,Grass,C
005/094,C,Sewaddle,Grass,C
006/094,C,Sewaddle,Grass,C
007/094,C,Swadloon,Grass,C
008/094,C,Leavanny,Grass,U
009/094,C,Foongus,Grass,C
010/094,C,Amoonguss,Grass,U
011/094,C,Slowpoke & PsyduckTag Team GX,Water,RR
012/094,C,Lapras,Water,U
013/094,C,Finneon,Water,C
014/094,C,Lumineon,Water,C
015/094,C,Basculin,Water,C
016/094,C,Tirtouga,Water,C
017/094,C,Carracosta,Water,U
018/094,C,Dewpider,Water,C
019/094,C,Araquanid,Water,U
020/094,C,Wimpod,Water,C
021/094,C,Golisopod,Water,R
022/094,C,Joltik,Lightning,C
023/094,C,Galvantula,Lightning,U
024/094,C,Tynamo,Lightning,C
025/094,C,Tynamo,Lightning,C
026/094,C,Eelektrik,Lightning,C
027/094,C,Eelektross,Lightning,R
028/094,C,Tapu Koko,Lightning,R
029/094,C,Mewtwo & MewTag Team GX,Psychic,RR
030/094,C,Exeggcute,Psychic,C
031/094,C,Exeggutor,Psychic,U
032/094,C,Jynx,Psychic,U
033/094,C,Wynaut,Psychic,C
034/094,C,LatiosGX,Psychic,RR
035/094,C,Skorupi,Psychic,C
036/094,C,Elgyem,Psychic,C
037/094,C,Beheeyem,Psychic,U
038/094,C,Honedge,Psychic,C
039/094,C,Honedge,Psychic,C
040/094,C,Doublade,Psychic,C
041/094,C,Aegislash,Psychic,R
042/094,C,Necrozma,Psychic,R
043/094,C,Onix,Fighting,C
044/094,C,Steelix,Fighting,U
045/094,C,AerodactylGX,Fighting,RR
046/094,C,Heracross,Fighting,U
047/094,C,Breloom,Fighting,U
048/094,C,Relicanth,Fighting,U
049/094,C,Drilbur,Fighting,C
050/094,C,Excadrill,Fighting,U
051/094,C,Archen,Fighting,C
052/094,C,Archeops,Fighting,U
053/094,C,Terrakion,Fighting,R
054/094,C,Mega Sableye & TyranitarTag Team GX,Darkness,RR
055/094,C,Sableye,Darkness,U
056/094,C,Drapion,Darkness,U
057/094,C,Purrloin,Darkness,C
058/094,C,Liepard,Darkness,U
059/094,C,Scraggy,Darkness,C
060/094,C,Scrafty,Darkness,U
061/094,C,Yveltal,Darkness,R
062/094,C,Cottonee,Fairy,C
063/094,C,Whimsicott,Fairy,U
064/094,C,Dedenne,Fairy,C
065/094,C,Dratini,Dragon,C
066/094,C,Dratini,Dragon,C
067/094,C,Dragonair,Dragon,C
068/094,C,Dragonite,Dragon,R
069/094,C,DragoniteGX,Dragon,RR
070/094,C,Noibat,Dragon,C
071/094,C,Noivern,Dragon,U
072/094,C,Tauros,Colorless,C
073/094,C,Slakoth,Colorless,C
074/094,C,Slakoth,Colorless,C
075/094,C,Vigoroth,Colorless,C
076/094,C,Slaking,Colorless,R
077/094,C,Yungoos,Colorless,C
078/094,C,Gumshoos,Colorless,U
079/094,C,Oranguru,Colorless,C
080/094,C,Komala,Colorless,U
081/094,C,Great Potion,I,U
082/094,C,Stadium Nav,I,U
083/094,B,Unidentified Fossil,I,C
084/094,C,Giant Bomb,I,U
085/094,C,Misty's Favor,Su,U
086/094,C,Channeler,Su,U
087/094,C,Blue's Tactics,Su,U
088/094,C,Slumbering Forest,St,U
089/094,C,Pokémon Research Lab,St,U
090/094,C,Weakness Guard Energy,Colorless E,U
091/094,B,Pal Pad,I,TR
092/094,C,Pokégear 3.0,I,TR
093/094,B,Mysterious Treasure,I,TR
094/094,B,Sightseer,Su,TR
095/094,C,Slowpoke & PsyduckTag Team GX,Water,SR
096/094,C,Slowpoke & PsyduckTag Team GX,Water,SR
097/094,C,Mewtwo & MewTag Team GX,Psychic,SR
098/094,C,Mewtwo & MewTag Team GX,Psychic,SR
099/094,C,LatiosGX,Psychic,SR
100/094,C,AerodactylGX,Fighting,SR
101/094,C,Mega Sableye & TyranitarTag Team GX,Darkness,SR
102/094,C,Mega Sableye & TyranitarTag Team GX,Darkness,SR
103/094,C,DragoniteGX,Dragon,SR
104/094,C,Misty's Favor,Su,SR
105/094,C,Channeler,Su,SR
106/094,C,Blue's Tactics,Su,SR
107/094,C,Slowpoke & PsyduckTag Team GX,Water,HR
108/094,C,Mewtwo & MewTag Team GX,Psychic,HR
109/094,C,LatiosGX,Psychic,HR
110/094,C,AerodactylGX,Fighting,HR
111/094,C,Mega Sableye & TyranitarTag Team GX,Darkness,HR
112/094,C,DragoniteGX,Dragon,HR
113/094,C,Cherish Ball,I,UR
114/094,C,Giant Bomb,I,UR
115/094,C,Weakness Guard Energy,Colorless E,UR
