No.,Mark,Card name,Type,Rarity
001/064,C,Venusaur & SnivyTag Team GX,Grass,RR
002/064,C,Tangela,Grass,C
003/064,C,Tangrowth,Grass,U
004/064,C,Heracross,Grass,C
005/064,C,Tropius,Grass,C
006/064,C,Deerling,Grass,C
007/064,C,Sawsbuck,Grass,R
008/064,C,Charizard & BraixenTag Team GX,Fire,RR
009/064,C,Ponyta,Fire,C
010/064,C,Rapidash,Fire,C
011/064,C,Entei,Fire,U
012/064,C,Victini,Fire,R
013/064,C,Tepig,Fire,C
014/064,C,Pignite,Fire,C
015/064,C,Emboar,Fire,U
016/064,C,Blastoise & PiplupTag Team GX,Water,RR
017/064,C,Psyduck,Water,C
018/064,C,Golduck,Water,C
019/064,C,Wailmer,Water,C
020/064,C,Wailord,Water,U
021/064,C,Kyogre,Water,R
022/064,C,Phione,Water,U
023/064,C,Duskull,Psychic,C
024/064,C,Dusclops,Psychic,C
025/064,C,Dusknoir,Psychic,R
026/064,C,Rotom,Psychic,C
027/064,C,Phantump,Psychic,C
028/064,C,Trevenant,Psychic,U
029/064,C,Dhelmise,Psychic,C
030/064,C,Marshadow,Psychic,U
031/064,C,Blacephalon,Psychic,R
032/064,C,Groudon,Fighting,R
033/064,C,Throh,Fighting,U
034/064,C,Pancham,Fighting,C
035/064,C,Pangoro,Fighting,C
036/064,C,Crabrawler,Fighting,C
037/064,C,Crabominable,Fighting,U
038/064,C,Passimian,Fighting,C
039/064,C,Alolan Meowth,Darkness,C
040/064,C,Alolan PersianGX,Darkness,RR
041/064,C,Alolan Grimer,Darkness,C
042/064,C,Alolan Muk,Darkness,U
043/064,C,Absol,Darkness,C
044/064,C,Pawniard,Darkness,C
045/064,C,Bisharp,Darkness,C
046/064,C,Guzzlord,Darkness,R
047/064,C,Zangoose,Colorless,U
048/064,C,Stufful,Colorless,C
049/064,C,Bewear,Colorless,U
050/064,A,Energy Retrieval,I,U
051/064,A,Energy Switch,I,U
052/064,C,Great Catcher,I,U
053/064,A,Switch,I,U
054/064,C,Pokémon Communication,I,U
055/064,C,Janine,Su,U
056/064,C,Professor Oak's Setup,Su,U
057/064,B,Judge,Su,U
058/064,C,Roller Skater,Su,C
059/064,C,Weakness Guard Energy,Colorless E,U
060/064,C,Draw Energy,Colorless E,C
061/064,B,Acro Bike,I,TR
062/064,B,Escape Board,I,TR
063/064,B,Lady,Su,TR
064/064,C,Welder,Su,TR
065/064,C,Venusaur & SnivyTag Team GX,Grass,SR
066/064,C,Venusaur & SnivyTag Team GX,Grass,SR
067/064,C,Charizard & BraixenTag Team GX,Fire,SR
068/064,C,Charizard & BraixenTag Team GX,Fire,SR
069/064,C,Blastoise & PiplupTag Team GX,Water,SR
070/064,C,Blastoise & PiplupTag Team GX,Water,SR
071/064,C,Alolan PersianGX,Darkness,SR
072/064,C,Professor Oak's Setup,Su,SR
073/064,C,Roller Skater,Su,SR
074/064,C,Venusaur & SnivyTag Team GX,Grass,HR
075/064,C,Charizard & BraixenTag Team GX,Fire,HR
076/064,C,Blastoise & PiplupTag Team GX,Water,HR
077/064,C,Alolan PersianGX,Darkness,HR
078/064,C,Great Catcher,I,UR
079/064,C,Martial Arts Dojo,St,UR
080/064,C,Draw Energy,Colorless E,UR
