No.,Mark,Card name,Type,Rarity
001/095,C,Sunkern,Grass,C
002/095,C,Sunflora,Grass,U
003/095,C,Lileep,Grass,C
004/095,C,Cradily,Grass,U
005/095,C,Kricketot,Grass,C
006/095,C,Kricketune,Grass,U
007/095,C,Rowlet,Grass,C
008/095,C,Rowlet,Grass,C
009/095,C,Dartrix,Grass,C
010/095,C,Decidueye,Grass,R
011/095,C,Buzzwole,Grass,R
012/095,C,Larvesta,Fire,C
013/095,C,VolcaronaGX,Fire,RR
014/095,C,Litleo,Fire,C
015/095,C,Pyroar,Fire,U
016/095,C,Alolan Vulpix,Water,C
017/095,C,Snorunt,Water,C
018/095,C,Glalie,Water,U
019/095,C,Spheal,Water,C
020/095,C,Spheal,Water,C
021/095,C,Sealeo,Water,C
022/095,C,Walrein,Water,U
023/095,C,Ducklett,Water,C
024/095,C,Swanna,Water,U
025/095,C,Black Kyurem,Water,R
026/095,C,Chinchou,Lightning,C
027/095,C,Lanturn,Lightning,U
028/095,C,Togedemaru,Lightning,C
029/095,C,Woobat,Psychic,C
030/095,C,Swoobat,Psychic,U
031/095,C,Golett,Psychic,C
032/095,C,Golurk,Psychic,U
033/095,C,Skrelp,Psychic,C
034/095,C,Dragalge,Psychic,U
035/095,C,OricorioGX,Psychic,RR
036/095,C,Cosmog,Psychic,C
037/095,C,Cosmog,Psychic,C
038/095,C,Cosmoem,Psychic,C
039/095,C,Lunala,Psychic,R
040/095,C,Nosepass,Fighting,C
041/095,C,Trapinch,Fighting,C
042/095,C,Trapinch,Fighting,C
043/095,C,Vibrava,Fighting,U
044/095,C,FlygonGX,Fighting,RR
045/095,C,Anorith,Fighting,C
046/095,C,Armaldo,Fighting,U
047/095,C,Rockruff,Fighting,C
048/095,C,Lycanroc,Fighting,R
049/095,C,Sandygast,Fighting,C
050/095,C,Palossand,Fighting,U
051/095,C,Alolan Sandshrew,Metal,C
052/095,C,Alolan Sandslash,Metal,U
053/095,C,Mawile,Metal,U
054/095,C,Probopass,Metal,U
055/095,C,Solgaleo,Metal,R
056/095,C,Alolan Ninetales,Fairy,R
057/095,C,Azurill,Fairy,C
058/095,C,Flabébé,Fairy,C
059/095,C,Flabébé,Fairy,C
060/095,C,Floette,Fairy,C
061/095,C,Florges,Fairy,R
062/095,C,Swirlix,Fairy,C
063/095,C,Slurpuff,Fairy,U
064/095,C,Sylveon,Fairy,U
065/095,C,Arceus & Dialga & PalkiaTag Team GX,Dragon,RR
066/095,C,Naganadel & GuzzlordTag Team GX,Dragon,RR
067/095,C,Drampa,Dragon,U
068/095,C,Jangmo-o,Dragon,C
069/095,C,Jangmo-o,Dragon,C
070/095,C,Hakamo-o,Dragon,C
071/095,C,Kommo-o,Dragon,R
072/095,C,Ultra Necrozma,Dragon,R
073/095,C,Mega Lopunny & JigglypuffTag Team GX,Colorless,RR
074/095,C,Eevee,Colorless,C
075/095,C,Aipom,Colorless,C
076/095,C,Ambipom,Colorless,U
077/095,C,Teddiursa,Colorless,C
078/095,C,Ursaring,Colorless,U
079/095,C,Rufflet,Colorless,C
080/095,C,Braviary,Colorless,U
081/095,C,Helioptile,Colorless,C
082/095,C,Heliolisk,Colorless,U
083/095,C,Tag Call,I,U
084/095,B,Unidentified Fossil,I,C
085/095,C,Island Challenge Amulet,I,U
086/095,C,Beastite,I,U
087/095,C,Guzma & Hala,Su,U
088/095,C,Cynthia & Caitlin,Su,U
089/095,C,Mallow & Lana,Su,U
090/095,C,Red & Blue,Su,U
091/095,C,Chaotic Swell,St,U
092/095,C,Cherish Ball,I,TR
093/095,B,Adventure Bag,I,TR
094/095,C,Pokémon Communication,I,TR
095/095,B,Professor Elm's Lecture,Su,TR
096/095,C,VolcaronaGX,Fire,SR
097/095,C,OricorioGX,Psychic,SR
098/095,C,FlygonGX,Fighting,SR
099/095,C,Arceus & Dialga & PalkiaTag Team GX,Dragon,SR
100/095,C,Arceus & Dialga & PalkiaTag Team GX,Dragon,SR
101/095,C,Naganadel & GuzzlordTag Team GX,Dragon,SR
102/095,C,Naganadel & GuzzlordTag Team GX,Dragon,SR
103/095,C,Mega Lopunny & JigglypuffTag Team GX,Colorless,SR
104/095,C,Mega Lopunny & JigglypuffTag Team GX,Colorless,SR
105/095,C,Guzma & Hala,Su,SR
106/095,C,Cynthia & Caitlin,Su,SR
107/095,C,Mallow & Lana,Su,SR
108/095,C,Red & Blue,Su,SR
109/095,C,VolcaronaGX,Fire,HR
110/095,C,OricorioGX,Psychic,HR
111/095,C,FlygonGX,Fighting,HR
112/095,C,Arceus & Dialga & PalkiaTag Team GX,Dragon,HR
113/095,C,Naganadel & GuzzlordTag Team GX,Dragon,HR
114/095,C,Mega Lopunny & JigglypuffTag Team GX,Colorless,HR
115/095,C,Tag Call,I,UR
116/095,C,Island Challenge Amulet,I,UR
117/095,C,Giant Hearth,St,UR
