No.,Mark,Card name,Type,Rarity
001/173,C,Pheromosa & BuzzwoleTag Team GX,Grass,RR
002/173,C,Paras,Grass,—
003/173,C,Parasect,Grass,—
004/173,B,Hoppip,Grass,—
005/173,B,Skiploom,Grass,—
006/173,B,Jumpluff,Grass,—
007/173,B,Shuckle,Grass,—
008/173,B,Treecko,Grass,—
009/173,B,Grovyle,Grass,—
010/173,B,SceptileGX,Grass,RR
011/173,B,Shaymin Prism Star,Grass,PR
012/173,C,Bounsweet,Grass,—
013/173,C,Steenee,Grass,—
014/173,C,Tsareena,Grass,—
015/173,C,Kartana,Grass,—
016/173,C,Reshiram & CharizardTag Team GX,Fire,RR
017/173,C,Vulpix,Fire,—
018/173,C,Ninetales,Fire,—
019/173,C,Flareon,Fire,—
020/173,C,Victini,Fire,—
021/173,B,Victini Prism Star,Fire,PR
022/173,C,Volcanion,Fire,—
023/173,C,Litten,Fire,—
024/173,C,Torracat,Fire,—
025/173,C,Incineroar,Fire,—
026/173,C,Salandit,Fire,—
027/173,C,Salazzle,Fire,—
028/173,B,BlacephalonGX,Fire,RR
029/173,C,Squirtle,Water,—
030/173,C,Wartortle,Water,—
031/173,C,Blastoise,Water,—
032/173,B,Alolan Vulpix,Water,—
033/173,C,Vaporeon,Water,—
034/173,C,Articuno,Water,—
035/173,B,White Kyurem,Water,—
036/173,C,KeldeoGX,Water,RR
037/173,B,Volcanion Prism Star,Water,PR
038/173,B,Wishiwashi,Water,—
039/173,C,WishiwashiGX,Water,RR
040/173,C,Tapu Fini,Water,—
041/173,C,Pikachu & ZekromTag Team GX,Lightning,RR
042/173,C,Jolteon,Lightning,—
043/173,B,Zapdos,Lightning,—
044/173,B,Raikou,Lightning,—
045/173,B,Blitzle,Lightning,—
046/173,B,Zebstrika,Lightning,—
047/173,C,Stunfisk,Lightning,—
048/173,C,DedenneGX,Lightning,RR
049/173,B,Tapu Koko Prism Star,Lightning,PR
050/173,C,Zeraora,Lightning,—
051/173,B,ZeraoraGX,Lightning,RR
052/173,C,Mewtwo & MewTag Team GX,Psychic,RR
053/173,C,Trevenant & DusknoirTag Team GX,Psychic,RR
054/173,C,Mewtwo,Psychic,—
055/173,C,Mew,Psychic,—
056/173,B,Natu,Psychic,—
057/173,B,Giratina,Psychic,—
058/173,B,Giratina Prism Star,Psychic,PR
059/173,C,Espurr,Psychic,—
060/173,C,Meowstic,Psychic,—
061/173,B,Inkay,Psychic,—
062/173,B,Malamar,Psychic,—
063/173,C,Mimikyu,Psychic,—
064/173,C,Marshadow,Psychic,—
065/173,B,Poipole,Psychic,—
066/173,B,Naganadel,Psychic,—
067/173,C,Marshadow & MachampTag Team GX,Fighting,RR
068/173,C,Tyrogue,Fighting,—
069/173,C,Landorus,Fighting,—
070/173,B,Diancie Prism Star,Fighting,PR
071/173,C,Stakataka,Fighting,—
072/173,C,Greninja & ZoroarkTag Team GX,Darkness,RR
073/173,C,Sneasel,Darkness,—
074/173,B,Weavile,Darkness,—
075/173,B,Absol,Darkness,—
076/173,C,Spiritomb,Darkness,—
077/173,B,Darkrai Prism Star,Darkness,PR
078/173,B,Zorua,Darkness,—
079/173,B,Zoroark,Darkness,—
080/173,B,Yveltal,Darkness,—
081/173,C,Hoopa,Darkness,—
082/173,B,IncineroarGX,Darkness,RR
083/173,C,Lucario & MelmetalTag Team GX,Metal,RR
084/173,C,Alolan Diglett,Metal,—
085/173,C,Alolan Dugtrio,Metal,—
086/173,B,Magnemite,Metal,—
087/173,B,Magneton,Metal,—
088/173,B,Magnezone,Metal,—
089/173,C,MawileGX,Metal,RR
090/173,B,Jirachi,Metal,—
091/173,B,Jirachi Prism Star,Metal,PR
092/173,C,Meltan,Metal,—
093/173,C,Melmetal,Metal,—
094/173,C,Togepi & Cleffa & IgglybuffTag Team GX,Fairy,RR
095/173,B,Alolan NinetalesGX,Fairy,RR
096/173,C,Cleffa,Fairy,—
097/173,C,Cottonee,Fairy,—
098/173,C,Whimsicott,Fairy,—
099/173,C,Garchomp & GiratinaTag Team GX,Dragon,RR
100/173,B,RayquazaGX,Dragon,RR
101/173,B,Ultra NecrozmaGX,Dragon,RR
102/173,C,Moltres & Zapdos & ArticunoTag Team GX,Colorless,RR
103/173,C,Pidgey,Colorless,—
104/173,C,Pidgeotto,Colorless,—
105/173,C,Meowth,Colorless,—
106/173,C,Persian,Colorless,—
107/173,C,Kangaskhan,Colorless,—
108/173,B,Ditto Prism Star,Colorless,PR
109/173,C,Eevee,Colorless,—
110/173,C,Porygon,Colorless,—
111/173,C,Porygon2,Colorless,—
112/173,C,Porygon-Z,Colorless,—
113/173,C,Glameow,Colorless,—
114/173,C,Munchlax,Colorless,—
115/173,C,Audino,Colorless,—
116/173,B,Pikipek,Colorless,—
117/173,B,Trumbeak,Colorless,—
118/173,B,Electropower,I,—
119/173,B,Electropower,I,—
120/173,B,Custom Catcher,I,—
121/173,B,Acro Bike,I,—
122/173,B,Acro Bike,I,—
123/173,C,Electromagnetic Radar,I,—
124/173,C,Electromagnetic Radar,I,—
125/173,B,Net Ball,I,—
126/173,B,Beast Ring,I,—
127/173,C,Cherish Ball,I,—
128/173,B,Adventure Bag,I,—
129/173,C,Pokégear 3.0,I,—
130/173,C,Pokégear 3.0,I,—
131/173,C,Pokémon Communication,I,—
132/173,C,Pokémon Communication,I,—
133/173,C,Fire Crystal,I,—
134/173,B,Mysterious Treasure,I,—
135/173,B,Mysterious Treasure,I,—
136/173,C,Reset Stamp,I,—
137/173,C,Reset Stamp,I,—
138/173,B,Lost Blender,I,—
139/173,B,Counter Gain,I,—
140/173,C,Karate Belt,I,—
141/173,B,Spell Tag,I,—
142/173,C,Metal Core Barrier,I,—
143/173,C,U-Turn Board,I,—
144/173,B,Cyrus Prism Star,Su,PR
145/173,B,Professor Elm's Lecture,Su,—
146/173,C,Erika's Hospitality,Su,—
147/173,C,Misty & Lorelei,Su,—
148/173,B,Diantha,Su,—
149/173,B,Sightseer,Su,—
150/173,B,Faba,Su,—
151/173,C,Giovanni's Exile,Su,—
152/173,C,Bellelba & Brycen-Man,Su,—
153/173,B,Volkner,Su,—
154/173,C,Green's Exploration,Su,—
155/173,B,Morty,Su,—
156/173,B,Mina,Su,—
157/173,C,Welder,Su,—
158/173,B,Lisia,Su,—
159/173,C,Red's Challenge,Su,—
160/173,B,Shrine of Punishment,St,—
161/173,C,Martial Arts Dojo,St,—
162/173,C,Giant Hearth,St,—
163/173,B,Thunder Mountain Prism Star,St,PR
164/173,B,Mt. Coronet,St,—
165/173,C,Viridian Forest,St,—
166/173,B,Heat Factory Prism Star,St,PR
167/173,B,Black Market Prism Star,St,PR
168/173,B,Life Forest Prism Star,St,PR
169/173,B,Wondrous Labyrinth Prism Star,St,PR
170/173,B,Super Boost Energy Prism Star,Colorless E,PR
171/173,C,Triple Acceleration Energy,Colorless E,—
172/173,B,Beast Energy Prism Star,Colorless E,PR
173/173,C,Recycle Energy,Colorless E,—
174/173,C,WishiwashiGX,Water,SR
175/173,C,DedenneGX,Lightning,SR
176/173,C,Espeon & DeoxysTag Team GX,Psychic,SR
177/173,C,Espeon & DeoxysTag Team GX,Psychic,SR
178/173,C,Trevenant & DusknoirTag Team GX,Psychic,SR
179/173,C,Trevenant & DusknoirTag Team GX,Psychic,SR
180/173,C,JirachiGX,Psychic,SR
181/173,C,Umbreon & DarkraiTag Team GX,Darkness,SR
182/173,C,Umbreon & DarkraiTag Team GX,Darkness,SR
183/173,C,WeavileGX,Darkness,SR
184/173,C,MelmetalGX,Metal,SR
185/173,C,Togepi & Cleffa & IgglybuffTag Team GX,Fairy,SR
