No.,Mark,Card name,Type,Rarity
001/060,D,Blipbug,Grass,C
002/060,D,Dottler,Grass,C
003/060,D,Orbeetle,Grass,U
004/060,D,Gossifleur,Grass,C
005/060,D,Eldegoss,Grass,C
006/060,D,TorkoalV,Fire,RR
007/060,D,Scorbunny,Fire,C
008/060,D,Raboot,Fire,U
009/060,D,Cinderace,Fire,R
010/060,D,Goldeen,Water,C
011/060,D,Seaking,Water,C
012/060,D,Qwilfish,Water,C
013/060,D,Chewtle,Water,C
014/060,D,Drednaw,Water,U
015/060,D,Snom,Water,C
016/060,D,Frosmoth,Water,R
017/060,D,Chinchou,Lightning,C
018/060,D,Lanturn,Lightning,U
019/060,D,MorpekoV,Lightning,RR
020/060,D,MorpekoVMAX,Lightning,RRR
021/060,D,Galarian Ponyta,Psychic,C
022/060,D,Galarian Rapidash,Psychic,U
023/060,D,Munna,Psychic,C
024/060,D,Musharna,Psychic,U
025/060,D,IndeedeeV,Psychic,RR
026/060,D,Hitmonlee,Fighting,C
027/060,D,Hitmonchan,Fighting,C
028/060,D,Rhyhorn,Fighting,C
029/060,D,Rhydon,Fighting,U
030/060,D,Rhyperior,Fighting,R
031/060,D,Silicobra,Fighting,C
032/060,D,Sandaconda,Fighting,U
033/060,D,Galarian Zigzagoon,Darkness,C
034/060,D,Galarian Linoone,Darkness,U
035/060,D,Galarian Obstagoon,Darkness,R
036/060,D,SableyeV,Darkness,RR
037/060,D,Skorupi,Darkness,C
038/060,D,Drapion,Darkness,U
039/060,D,Mawile,Metal,C
040/060,D,Pawniard,Metal,C
041/060,D,Bisharp,Metal,C
042/060,D,Cufant,Metal,C
043/060,D,Copperajah,Metal,R
044/060,D,ZamazentaV,Metal,RR
045/060,D,SnorlaxV,Colorless,RR
046/060,D,SnorlaxVMAX,Colorless,RRR
047/060,D,Hoothoot,Colorless,C
048/060,D,Noctowl,Colorless,U
049/060,D,Oranguru,Colorless,R
050/060,D,Wooloo,Colorless,C
051/060,D,Dubwool,Colorless,C
052/060,D,Quick Ball,I,U
053/060,D,Rare Candy,I,U
054/060,D,Metal Saucer,I,U
055/060,D,Sitrus Berry,I,U
056/060,D,Vitality Band,I,U
057/060,D,Lucky Egg,I,U
058/060,D,Team Yell Grunt,Su,U
059/060,D,Marnie,Su,R
060/060,D,Aurora Energy,Rainbow E,U
061/060,D,TorkoalV,Fire,SR
062/060,D,MorpekoV,Lightning,SR
063/060,D,IndeedeeV,Psychic,SR
064/060,D,SableyeV,Darkness,SR
065/060,D,ZamazentaV,Metal,SR
066/060,D,SnorlaxV,Colorless,SR
067/060,D,Team Yell Grunt,Su,SR
068/060,D,Marnie,Su,SR
069/060,D,MorpekoVMAX,Lightning,HR
070/060,D,SnorlaxVMAX,Colorless,HR
071/060,D,Team Yell Grunt,Su,HR
072/060,D,Marnie,Su,HR
073/060,D,ZamazentaV,Metal,UR
074/060,D,Quick Ball,I,UR
075/060,D,Metal Saucer,I,UR
