No.,Mark,Card name,Type,Rarity
001/060,D,Roselia,Grass,C
002/060,D,Roserade,Grass,U
003/060,D,Maractus,Grass,C
004/060,D,DhelmiseV,Grass,RR
005/060,D,Grookey,Grass,C
006/060,D,Thwackey,Grass,U
007/060,D,Rillaboom,Grass,R
008/060,D,Salandit,Fire,C
009/060,D,Salazzle,Fire,C
010/060,D,Sizzlipede,Fire,C
011/060,D,Centiskorch,Fire,U
012/060,D,Krabby,Water,C
013/060,D,Kingler,Water,C
014/060,D,LaprasV,Water,RR
015/060,D,LaprasVMAX,Water,RRR
016/060,D,Mantine,Water,C
017/060,D,Sobble,Water,C
018/060,D,Drizzile,Water,U
019/060,D,Inteleon,Water,R
020/060,D,Yamper,Lightning,C
021/060,D,Boltund,Lightning,R
022/060,D,Pincurchin,Lightning,C
023/060,D,Gastly,Psychic,C
024/060,D,Haunter,Psychic,U
025/060,D,Gengar,Psychic,R
026/060,D,WobbuffetV,Psychic,RR
027/060,D,Sinistea,Psychic,C
028/060,D,Polteageist,Psychic,U
029/060,D,Sudowoodo,Fighting,C
030/060,D,Baltoy,Fighting,C
031/060,D,Claydol,Fighting,U
032/060,D,Clobbopus,Fighting,C
033/060,D,Grapploct,Fighting,U
034/060,D,StonjournerV,Fighting,RR
035/060,D,StonjournerVMAX,Fighting,RRR
036/060,D,Croagunk,Darkness,C
037/060,D,Toxicroak,Darkness,R
038/060,D,Nickit,Darkness,C
039/060,D,Thievul,Darkness,U
040/060,D,Galarian Meowth,Metal,C
041/060,D,Galarian Perrserker,Metal,R
042/060,D,Ferroseed,Metal,C
043/060,D,Ferrothorn,Metal,C
044/060,D,Galarian Stunfisk,Metal,C
045/060,D,Corviknight,Metal,U
046/060,D,ZacianV,Metal,RR
047/060,D,Minccino,Colorless,C
048/060,D,Cinccino,Colorless,U
049/060,D,Rookidee,Colorless,C
050/060,D,Corvisquire,Colorless,C
051/060,D,CramorantV,Colorless,RR
052/060,D,Evolution Incense,I,U
053/060,D,Hyper Potion,I,U
054/060,D,Ordinary Rod,I,U
055/060,D,Rotom Bike,I,U
056/060,D,Big Charm,I,U
057/060,D,Air Balloon,I,U
058/060,D,Lum Berry,I,U
059/060,D,Professor's Research [Professor Magnolia],Su,R
060/060,D,Bede,Su,U
061/060,D,DhelmiseV,Grass,SR
062/060,D,LaprasV,Water,SR
063/060,D,WobbuffetV,Psychic,SR
064/060,D,StonjournerV,Fighting,SR
065/060,D,ZacianV,Metal,SR
066/060,D,CramorantV,Colorless,SR
067/060,D,Professor's Research [Professor Magnolia],Su,SR
068/060,D,Bede,Su,SR
069/060,D,LaprasVMAX,Water,HR
070/060,D,StonjournerVMAX,Fighting,HR
071/060,D,Professor's Research [Professor Magnolia],Su,HR
072/060,D,Bede,Su,HR
073/060,D,ZacianV,Metal,UR
074/060,D,Ordinary Rod,I,UR
075/060,D,Air Balloon,I,UR
