No.,Mark,Card name,Type,Rarity
001/070,D,Caterpie,Grass,C
002/070,D,Metapod,Grass,C
003/070,D,Butterfree,Grass,U
004/070,D,Shuckle,Grass,U
005/070,D,Snover,Grass,C
006/070,D,Abomasnow,Grass,U
007/070,D,Grubbin,Grass,C
008/070,D,RillaboomV,Grass,RR
009/070,D,RillaboomVMAX,Grass,RRR
010/070,D,Applin,Grass,C
011/070,D,Appletun,Grass,R
012/070,D,Vulpix,Fire,C
013/070,D,Ninetales,Fire,U
014/070,D,Growlithe,Fire,C
015/070,D,Arcanine,Fire,U
016/070,D,CinderaceV,Fire,RR
017/070,D,CinderaceVMAX,Fire,RRR
018/070,D,Galarian Mr. Mime,Water,C
019/070,D,Galarian Mr. Rime,Water,U
020/070,D,Magikarp,Water,C
021/070,D,Gyarados,Water,R
022/070,D,InteleonV,Water,RR
023/070,D,InteleonVMAX,Water,RRR
024/070,D,Cramorant,Water,U
025/070,D,Arrokuda,Water,C
026/070,D,Barraskewda,Water,U
027/070,D,Helioptile,Lightning,C
028/070,D,Heliolisk,Lightning,C
029/070,D,Charjabug,Lightning,C
030/070,D,Vikavolt,Lightning,R
031/070,D,BoltundV,Lightning,RR
032/070,D,Toxel,Lightning,C
033/070,D,Toxtricity,Lightning,U
034/070,D,Natu,Psychic,C
035/070,D,Xatu,Psychic,U
036/070,D,Galarian Corsola,Psychic,C
037/070,D,Galarian Cursola,Psychic,R
038/070,D,Indeedee,Psychic,C
039/070,D,Dreepy,Psychic,C
040/070,D,Drakloak,Psychic,C
041/070,D,Dragapult,Psychic,R
042/070,D,Galarian Farfetch'd,Fighting,C
043/070,D,Galarian Sirfetch'd,Fighting,R
044/070,D,Binacle,Fighting,C
045/070,D,Barbaracle,Fighting,U
046/070,D,SandacondaV,Fighting,RR
047/070,D,Falinks,Fighting,C
048/070,D,Stunky,Darkness,C
049/070,D,Skuntank,Darkness,U
050/070,D,Impidimp,Darkness,C
051/070,D,Morgrem,Darkness,C
052/070,D,Grimmsnarl,Darkness,R
053/070,D,Bronzor,Metal,C
054/070,D,Bronzong,Metal,U
055/070,D,Honedge,Metal,C
056/070,D,Doublade,Metal,C
057/070,D,Aegislash,Metal,U
058/070,D,Duraludon,Metal,R
059/070,D,Bunnelby,Colorless,C
060/070,D,Diggersby,Colorless,U
061/070,D,Hawlucha,Colorless,C
062/070,D,DubwoolV,Colorless,RR
063/070,D,Capacious Bucket,I,U
064/070,D,Burning Scarf,I,U
065/070,D,Sonia,Su,U
066/070,D,Skyla,Su,U
067/070,D,Milo,Su,U
068/070,D,Turffield Stadium,St,U
069/070,D,Training Court,St,U
070/070,D,Twin Energy,Colorless E,U
071/070,D,RillaboomV,Grass,SR
072/070,D,CinderaceV,Fire,SR
073/070,D,InteleonV,Water,SR
074/070,D,BoltundV,Lightning,SR
075/070,D,SandacondaV,Fighting,SR
076/070,D,DubwoolV,Colorless,SR
077/070,D,Sonia,Su,SR
078/070,D,Milo,Su,SR
079/070,D,RillaboomVMAX,Grass,HR
080/070,D,CinderaceVMAX,Fire,HR
081/070,D,InteleonVMAX,Water,HR
082/070,D,Sonia,Su,HR
083/070,D,Milo,Su,HR
084/070,D,Frosmoth,Water,UR
085/070,D,Big Charm,I,UR
086/070,D,Twin Energy,Colorless E,UR
