No.,Mark,Card name,Type,Rarity
001/076,D,Weedle,Grass,C
002/076,D,Kakuna,Grass,C
003/076,D,Beedrill,Grass,U
004/076,D,Exeggcute,Grass,C
005/076,D,Exeggutor,Grass,U
006/076,D,Yanma,Grass,C
007/076,D,Yanmega,Grass,U
008/076,D,Pineco,Grass,C
009/076,D,Celebi,Grass,A
010/076,D,Shaymin,Grass,R
011/076,D,Genesect,Grass,R
012/076,D,Dhelmise,Grass,C
013/076,D,ZarudeV,Grass,RR
014/076,D,AmpharosV,Lightning,RR
015/076,D,Raikou,Lightning,A
016/076,D,Electrike,Lightning,C
017/076,D,Manectric,Lightning,U
018/076,D,Joltik,Lightning,C
019/076,D,Galvantula,Lightning,U
020/076,D,Zekrom,Lightning,R
021/076,D,Zeraora,Lightning,R
022/076,D,Pincurchin,Lightning,U
023/076,D,Clefairy,Psychic,C
024/076,D,Clefable,Psychic,U
025/076,D,Girafarig,Psychic,U
026/076,D,Shuppet,Psychic,C
027/076,D,Banette,Psychic,U
028/076,D,Dedenne,Psychic,C
029/076,D,Xerneas,Psychic,R
030/076,D,Diancie,Psychic,R
031/076,D,AlcremieV,Psychic,RR
032/076,D,AlcremieVMAX,Psychic,RRR
033/076,D,Zacian,Psychic,A
034/076,D,Wooper,Fighting,C
035/076,D,Quagsire,Fighting,U
036/076,D,Shuckle,Fighting,C
037/076,D,Regirock,Fighting,R
038/076,D,Riolu,Fighting,C
039/076,D,Zygarde,Fighting,R
040/076,D,Rockruff,Fighting,C
041/076,D,Lycanroc,Fighting,U
042/076,D,CoalossalV,Fighting,RR
043/076,D,CoalossalVMAX,Fighting,RRR
044/076,D,Zamazenta,Fighting,A
045/076,D,Forretress,Metal,U
046/076,D,SteelixV,Metal,RR
047/076,D,Beldum,Metal,C
048/076,D,Metang,Metal,C
049/076,D,Metagross,Metal,U
050/076,D,Jirachi,Metal,A
051/076,D,Lucario,Metal,U
052/076,D,Dialga,Metal,R
053/076,D,Galarian Stunfisk,Metal,U
054/076,D,Magearna,Metal,R
055/076,D,Lugia,Colorless,R
056/076,D,Rayquaza,Colorless,A
057/076,D,Chatot,Colorless,C
058/076,D,TogekissV,Colorless,RR
059/076,D,TogekissVMAX,Colorless,RRR
060/076,D,Tornadus,Colorless,R
061/076,D,Pikipek,Colorless,C
062/076,D,Trumbeak,Colorless,C
063/076,D,Toucannon,Colorless,U
064/076,D,Great Ball,I,U
065/076,D,Switch,I,U
066/076,D,Pokémon Catcher,I,U
067/076,D,Moomoo Cheese,I,U
068/076,D,Hero's Medal,I,U
069/076,D,Rocky Helmet,I,U
070/076,D,Beauty,Su,U
071/076,D,Allister,Su,U
072/076,D,Opal,Su,U
073/076,D,Marnie,Su,U
074/076,D,Aromatic Grass Energy,Grass E,U
075/076,D,Stone Fighting Energy,Fighting E,U
076/076,D,Twin Energy,Colorless E,U
077/076,D,ZarudeV,Grass,SR
078/076,D,AmpharosV,Lightning,SR
079/076,D,AlcremieV,Psychic,SR
080/076,D,CoalossalV,Fighting,SR
081/076,D,SteelixV,Metal,SR
082/076,D,TogekissV,Colorless,SR
083/076,D,Beauty,Su,SR
084/076,D,Allister,Su,SR
085/076,D,Opal,Su,SR
086/076,D,AlcremieVMAX,Psychic,HR
087/076,D,CoalossalVMAX,Fighting,HR
088/076,D,TogekissVMAX,Colorless,HR
089/076,D,Beauty,Su,HR
090/076,D,Allister,Su,HR
091/076,D,Opal,Su,HR
092/076,D,Oranguru,Colorless,UR
093/076,D,Hero's Medal,I,UR
094/076,D,Cape of Toughness,I,UR
