No.,Mark,Card name,Type,Rarity
001/070,E,Weedle,Grass,C
002/070,E,Kakuna,Grass,U
003/070,E,Beedrill,Grass,R
004/070,E,Heracross,Grass,C
005/070,E,Petilil,Grass,C
006/070,E,Lilligant,Grass,U
007/070,E,BlazikenV,Fire,RR
008/070,E,BlazikenVMAX,Fire,RRR
009/070,E,Larvesta,Fire,C
010/070,E,Volcarona,Fire,C
011/070,E,Tentacool,Water,C
012/070,E,Tentacruel,Water,U
013/070,E,Delibird,Water,C
014/070,E,Carvanha,Water,C
015/070,E,Sharpedo,Water,U
016/070,E,Sobble,Water,C
017/070,E,Drizzile,Water,U
018/070,E,Inteleon,Water,R
019/070,E,Rapid Strike Urshifu,Water,R
020/070,E,Chinchou,Lightning,C
021/070,E,Lanturn,Lightning,C
022/070,E,Thundurus,Lightning,R
023/070,E,DracozoltV,Lightning,RR
024/070,E,DracozoltVMAX,Lightning,RRR
025/070,E,Galarian ArticunoV,Psychic,RR
026/070,E,Woobat,Psychic,C
027/070,E,Swoobat,Psychic,U
028/070,E,Swirlix,Psychic,C
029/070,E,Slurpuff,Psychic,U
030/070,E,Hatenna,Psychic,C
031/070,E,Hattrem,Psychic,U
032/070,E,Hatterene,Psychic,R
033/070,E,Diglett,Fighting,C
034/070,E,Dugtrio,Fighting,U
035/070,E,Galarian Farfetch'd,Fighting,C
036/070,E,Galarian Sirfetch'd,Fighting,U
037/070,E,Galarian ZapdosV,Fighting,RR
038/070,E,Roggenrola,Fighting,C
039/070,E,Boldore,Fighting,C
040/070,E,Gigalith,Fighting,U
041/070,E,Galarian Yamask,Fighting,C
042/070,E,Galarian Runerigus,Fighting,R
043/070,E,Passimian,Fighting,C
044/070,E,Kubfu,Fighting,C
045/070,E,Galarian MoltresV,Darkness,RR
046/070,E,Galarian SlowkingV,Darkness,RR
047/070,E,Galarian SlowkingVMAX,Darkness,RRR
048/070,E,Seviper,Darkness,C
049/070,E,Spiritomb,Darkness,U
050/070,E,Venipede,Darkness,C
051/070,E,Whirlipede,Darkness,C
052/070,E,Scolipede,Darkness,U
053/070,E,Scraggy,Darkness,C
054/070,E,Scrafty,Darkness,U
055/070,E,Single Strike Urshifu,Darkness,R
056/070,E,Zangoose,Colorless,C
057/070,E,Shaymin,Colorless,R
058/070,E,Lillipup,Colorless,C
059/070,E,Herdier,Colorless,C
060/070,E,Stoutland,Colorless,U
061/070,E,Rufflet,Colorless,C
062/070,E,Braviary,Colorless,C
063/070,E,Welcoming Lantern,I,U
064/070,E,Echoing Horn,I,U
065/070,E,Galarian Chestplate,I,U
066/070,E,Karen's Conviction,Su,U
067/070,E,Klara,Su,U
068/070,E,Avery,Su,U
069/070,E,Brawly,Su,U
070/070,E,Dyna Tree Hill,St,U
071/070,E,BlazikenV,Fire,SR
072/070,E,DracozoltV,Lightning,SR
073/070,E,Galarian ArticunoV,Psychic,SR
074/070,E,Galarian ArticunoV,Psychic,SR
075/070,E,Galarian ZapdosV,Fighting,SR
076/070,E,Galarian ZapdosV,Fighting,SR
077/070,E,Galarian MoltresV,Darkness,SR
078/070,E,Galarian MoltresV,Darkness,SR
079/070,E,Galarian SlowkingV,Darkness,SR
080/070,E,Galarian SlowkingV,Darkness,SR
081/070,E,Karen's Conviction,Su,SR
082/070,E,Klara,Su,SR
083/070,E,Avery,Su,SR
084/070,E,Brawly,Su,SR
085/070,E,BlazikenVMAX,Fire,HR
086/070,E,BlazikenVMAX,Fire,HR
087/070,E,DracozoltVMAX,Lightning,HR
088/070,E,Galarian SlowkingVMAX,Darkness,HR
089/070,E,Karen's Conviction,Su,HR
090/070,E,Klara,Su,HR
091/070,E,Avery,Su,HR
092/070,E,Brawly,Su,HR
093/070,D,Snorlax,Colorless,UR
094/070,E,Fan of Waves,I,UR
095/070,E,Urn of Vitality,I,UR
096/070,—,Fighting Energy,Fighting E,UR
