No.,Mark,Card name,Type,Rarity
001/028,E,Pikachu,Lightning,—
002/028,E,Mew,Psychic,—
003/028,D,Professor's Research,Su,—
004/028,E,Ho-Oh,Fire,—
005/028,E,Lugia,Colorless,—
006/028,E,Groudon,Fighting,—
007/028,E,Kyogre,Water,—
008/028,E,Dialga,Metal,—
009/028,E,Palkia,Water,—
010/028,E,Reshiram,Fire,—
011/028,E,Zekrom,Lightning,—
012/028,E,Xerneas,Psychic,—
013/028,E,Yveltal,Darkness,—
014/028,E,Cosmog,Psychic,—
015/028,E,Cosmoem,Psychic,—
016/028,E,Solgaleo,Metal,—
017/028,E,Lunala,Psychic,—
018/028,E,ZacianV,Psychic,RR
019/028,E,ZamazentaV,Fighting,RR
020/028,E,PikachuV,Lightning,RR
021/028,E,Surfing PikachuV,Lightning,RR
022/028,E,Surfing PikachuVMAX,Lightning,RRR
023/028,E,Flying PikachuV,Lightning,RR
024/028,E,Flying PikachuVMAX,Lightning,RRR
025/028,E,PikachuV-UNION,Lightning,RRR
026/028,E,PikachuV-UNION,Lightning,RRR
027/028,E,PikachuV-UNION,Lightning,RRR
028/028,E,PikachuV-UNION,Lightning,RRR
029/028,D,Professor's Research,Su,SR
030/028,E,Mew,Psychic,UR
—,—,Grass Energy,Grass E,—
—,—,Fire Energy,Fire E,—
—,—,Water Energy,Water E,—
—,—,Lightning Energy,Lightning E,—
—,—,Psychic Energy,Psychic E,—
—,—,Fighting Energy,Fighting E,—
—,—,Darkness Energy,Darkness E,—
—,—,Metal Energy,Metal E,—
