No.,Mark,Card name,Type,Rarity
001/067,F,Oddish,Grass,C
002/067,F,Gloom,Grass,C
003/067,F,Vileplume,Grass,R
004/067,F,Scyther,Grass,C
005/067,F,Heracross,Grass,C
006/067,F,Roselia,Grass,C
007/067,F,Roserade,Grass,U
008/067,F,Combee,Grass,C
009/067,F,Vespiquen,Grass,U
010/067,F,VirizionV,Grass,RR
011/067,F,Radiant Heatran,Fire,K
012/067,F,Litwick,Fire,C
013/067,F,Lampent,Fire,C
014/067,F,Chandelure,Fire,R
015/067,F,Litleo,Fire,C
016/067,F,Pyroar,Fire,R
017/067,F,StarmieV,Water,RR
018/067,F,Swinub,Water,C
019/067,F,Piloswine,Water,C
020/067,F,Mamoswine,Water,U
021/067,F,Barboach,Water,C
022/067,F,Whiscash,Water,U
023/067,F,Hisuian Basculin,Water,C
024/067,F,Hisuian Basculegion,Water,U
025/067,F,Keldeo,Water,R
026/067,F,Radiant Greninja,Water,K
027/067,F,Jynx,Psychic,C
028/067,F,Hisuian TyphlosionV,Psychic,RR
029/067,F,Hisuian TyphlosionVSTAR,Psychic,RRR
030/067,F,Misdreavus,Psychic,C
031/067,F,Mismagius,Psychic,U
032/067,F,Ralts,Psychic,C
033/067,F,Kirlia,Psychic,C
034/067,F,Gallade,Psychic,R
035/067,F,Diancie,Psychic,R
036/067,F,Wyrdeer,Psychic,R
037/067,F,Rhyhorn,Fighting,C
038/067,F,Rhydon,Fighting,C
039/067,F,Rhyperior,Fighting,U
040/067,F,Relicanth,Fighting,U
041/067,F,Hippopotas,Fighting,C
042/067,F,Hippowdon,Fighting,U
043/067,F,Radiant Hawlucha,Fighting,K
044/067,F,Hisuian DecidueyeV,Fighting,RR
045/067,F,Hisuian DecidueyeVSTAR,Fighting,RRR
046/067,F,Kleavor,Fighting,R
047/067,F,Hisuian Qwilfish,Darkness,C
048/067,F,Hisuian Overqwil,Darkness,U
049/067,F,Poochyena,Darkness,C
050/067,F,Mightyena,Darkness,U
051/067,F,Absol,Darkness,R
052/067,F,Hisuian SamurottV,Darkness,RR
053/067,F,Hisuian SamurottVSTAR,Darkness,RRR
054/067,F,GarchompV,Dragon,RR
055/067,F,Hoothoot,Colorless,C
056/067,F,Noctowl,Colorless,U
057/067,F,Stantler,Colorless,C
058/067,F,Miltank,Colorless,R
059/067,F,Glameow,Colorless,C
060/067,F,Purugly,Colorless,U
061/067,F,Wait and See Turbo,I,U
062/067,F,Sweet Honey,I,U
063/067,F,Canceling Cologne,I,U
064/067,F,Cyllene,Su,U
065/067,F,Roxanne,Su,U
066/067,F,Kamado,Su,U
067/067,F,Jubilife Village,St,U
068/067,F,Roserade,Grass,CHR
069/067,F,Chandelure,Fire,CHR
070/067,F,Wyrdeer,Psychic,CHR
071/067,F,Kleavor,Fighting,CHR
072/067,F,Mightyena,Darkness,CHR
073/067,F,Hoothoot,Colorless,CHR
074/067,F,VirizionV,Grass,SR
075/067,F,StarmieV,Water,SR
076/067,F,Hisuian TyphlosionV,Psychic,SR
077/067,F,Hisuian DecidueyeV,Fighting,SR
078/067,F,Hisuian SamurottV,Darkness,SR
079/067,F,GarchompV,Dragon,SR
080/067,F,Cyllene,Su,SR
081/067,F,Roxanne,Su,SR
082/067,F,Kamado,Su,SR
083/067,F,StarmieV,Water,CSR
084/067,F,GarchompV,Dragon,CSR
085/067,F,Hisuian TyphlosionVSTAR,Psychic,HR
086/067,F,Hisuian DecidueyeVSTAR,Fighting,HR
087/067,F,Hisuian SamurottVSTAR,Darkness,HR
088/067,F,Cyllene,Su,HR
089/067,F,Roxanne,Su,HR
090/067,F,Kamado,Su,HR
091/067,F,Hisuian SamurottVSTAR,Darkness,UR
092/067,F,Choice Belt,I,UR
093/067,F,Jubilife Village,St,UR
