No.,Mark,Card name,Type,Rarity
001/067,F,Yanma,Grass,C
002/067,F,Yanmega,Grass,U
003/067,F,Leafeon,Grass,U
004/067,F,Shaymin,Grass,U
005/067,F,Petilil,Grass,C
006/067,F,Hisuian Lilligant,Grass,R
007/067,F,Hisuian LilligantV,Grass,RR
008/067,F,Hisuian LilligantVSTAR,Grass,RRR
009/067,F,Cyndaquil,Fire,C
010/067,F,Quilava,Fire,C
011/067,F,Poliwag,Water,C
012/067,F,Poliwhirl,Water,C
013/067,F,Politoed,Water,U
014/067,F,Mantine,Water,C
015/067,F,Oshawott,Water,C
016/067,F,Dewott,Water,C
017/067,F,Ducklett,Water,C
018/067,F,Swanna,Water,C
019/067,F,Electrike,Lightning,C
020/067,F,Manectric,Lightning,U
021/067,F,LuxrayV,Lightning,RR
022/067,F,Regieleki,Lightning,U
023/067,F,Hisuian Typhlosion,Psychic,R
024/067,F,Mawile,Psychic,C
025/067,F,JirachiV,Psychic,RR
026/067,F,Drifloon,Psychic,C
027/067,F,Drifblim,Psychic,C
028/067,F,Cresselia,Psychic,R
029/067,F,Hisuian Growlithe,Fighting,C
030/067,F,Hisuian Arcanine,Fighting,U
031/067,F,Poliwrath,Fighting,U
032/067,F,MachampV,Fighting,RR
033/067,F,MachampVMAX,Fighting,RRR
034/067,F,Sudowoodo,Fighting,C
035/067,F,Cranidos,Fighting,U
036/067,F,Rampardos,Fighting,R
037/067,F,Mienfoo,Fighting,C
038/067,F,Mienshao,Fighting,C
039/067,F,Spinarak,Darkness,C
040/067,F,Ariados,Darkness,U
041/067,F,Hisuian Samurott,Darkness,R
042/067,F,Nickit,Darkness,C
043/067,F,Thievul,Darkness,U
044/067,F,Magnemite,Metal,C
045/067,F,Magneton,Metal,C
046/067,F,Magnezone,Metal,R
047/067,F,Registeel,Metal,U
048/067,F,Origin Forme DialgaV,Metal,RR
049/067,F,Origin Forme DialgaVSTAR,Metal,RRR
050/067,F,Pawniard,Metal,C
051/067,F,Bisharp,Metal,U
052/067,F,Eevee,Colorless,C
053/067,F,Chatot,Colorless,C
054/067,F,Regigigas,Colorless,R
055/067,F,Rufflet,Colorless,C
056/067,F,Hisuian Braviary,Colorless,U
057/067,F,Skwovet,Colorless,C
058/067,F,Greedent,Colorless,U
059/067,F,WyrdeerV,Colorless,RR
060/067,F,Switch Cart,I,U
061/067,F,Trekking Shoes,I,U
062/067,F,Unidentified Fossil,I,C
063/067,F,Feather Ball,I,U
064/067,F,Adaman,Su,R
065/067,F,Gardenia's Vigor,Su,U
066/067,F,Zisu,Su,U
067/067,F,Gapejaw Bog,St,U
068/067,F,Hisuian LilligantV,Grass,SR
069/067,F,Hisuian LilligantV,Grass,SR
070/067,F,LuxrayV,Lightning,SR
071/067,F,JirachiV,Psychic,SR
072/067,F,MachampV,Fighting,SR
073/067,F,MachampV,Fighting,SR
074/067,F,Origin Forme DialgaV,Metal,SR
075/067,F,Origin Forme DialgaV,Metal,SR
076/067,F,WyrdeerV,Colorless,SR
077/067,F,Adaman,Su,SR
078/067,F,Gardenia's Vigor,Su,SR
079/067,F,Zisu,Su,SR
080/067,F,Hisuian LilligantVSTAR,Grass,HR
081/067,F,MachampVMAX,Fighting,HR
082/067,F,Origin Forme DialgaVSTAR,Metal,HR
083/067,F,Adaman,Su,HR
084/067,F,Gardenia's Vigor,Su,HR
085/067,F,Zisu,Su,HR
086/067,F,Origin Forme DialgaVSTAR,Metal,UR
087/067,F,Trekking Shoes,I,UR
088/067,E,Path to the Peak,St,UR
