No.,Mark,Card name,Type,Rarity
001/067,F,BeedrillV,Grass,RR
002/067,F,Hisuian Voltorb,Grass,C
003/067,F,Hisuian Electrode,Grass,C
004/067,F,Kricketot,Grass,C
005/067,F,Kricketune,Grass,U
006/067,F,Rowlet,Grass,C
007/067,F,Dartrix,Grass,C
008/067,F,Blipbug,Grass,C
009/067,F,Dottler,Grass,C
010/067,F,Orbeetle,Grass,R
011/067,F,Ponyta,Fire,C
012/067,F,Rapidash,Fire,C
013/067,F,Torkoal,Fire,C
014/067,F,HeatranV,Fire,RR
015/067,F,HeatranVMAX,Fire,RRR
016/067,F,Psyduck,Water,C
017/067,F,Golduck,Water,U
018/067,F,Luvdisc,Water,C
019/067,F,Regice,Water,U
020/067,F,Shellos,Water,C
021/067,F,Glaceon,Water,U
022/067,F,Origin Forme PalkiaV,Water,RR
023/067,F,Origin Forme PalkiaVSTAR,Water,RRR
024/067,F,Bergmite,Water,C
025/067,F,Hisuian Avalugg,Water,U
026/067,F,Togepi,Psychic,C
027/067,F,Togetic,Psychic,U
028/067,F,Togekiss,Psychic,R
029/067,F,Uxie,Psychic,C
030/067,F,Mesprit,Psychic,R
031/067,F,Azelf,Psychic,C
032/067,F,Inkay,Psychic,C
033/067,F,Malamar,Psychic,U
034/067,F,Makuhita,Fighting,C
035/067,F,Hariyama,Fighting,U
036/067,F,Regirock,Fighting,U
037/067,F,Gastrodon,Fighting,C
038/067,F,Carbink,Fighting,C
039/067,F,Hisuian Decidueye,Fighting,R
040/067,F,KleavorV,Fighting,RR
041/067,F,KleavorVSTAR,Fighting,RRR
042/067,F,Hisuian Sneasel,Darkness,C
043/067,F,Hisuian Sneasler,Darkness,R
044/067,F,Hisuian SneaslerV,Darkness,RR
045/067,F,Darkrai,Darkness,R
046/067,F,Shieldon,Metal,U
047/067,F,Bastiodon,Metal,R
048/067,F,Bronzor,Metal,C
049/067,F,Bronzong,Metal,U
050/067,F,Magearna,Metal,U
051/067,F,Regidrago,Dragon,U
052/067,F,Lickitung,Colorless,C
053/067,F,Lickilicky,Colorless,U
054/067,F,Eevee,Colorless,C
055/067,F,Teddiursa,Colorless,C
056/067,F,Ursaring,Colorless,C
057/067,F,Ursaluna,Colorless,U
058/067,F,OranguruV,Colorless,RR
059/067,F,Komala,Colorless,C
060/067,F,Energy Loto,I,U
061/067,F,Unidentified Fossil,I,C
062/067,F,Hisuian Heavy Ball,I,U
063/067,F,Supereffective Glasses,I,U
064/067,F,Irida,Su,R
065/067,F,Grant,Su,U
066/067,F,Choy,Su,U
067/067,F,Temple of Sinnoh,St,U
068/067,F,BeedrillV,Grass,SR
069/067,F,BeedrillV,Grass,SR
070/067,F,Origin Forme PalkiaV,Water,SR
071/067,F,Origin Forme PalkiaV,Water,SR
072/067,F,HeatranV,Fire,SR
073/067,F,KleavorV,Fighting,SR
074/067,F,Hisuian SneaslerV,Darkness,SR
075/067,F,Hisuian SneaslerV,Darkness,SR
076/067,F,OranguruV,Colorless,SR
077/067,F,Irida,Su,SR
078/067,F,Grant,Su,SR
079/067,F,Choy,Su,SR
080/067,F,HeatranVMAX,Fire,HR
081/067,F,Origin Forme PalkiaVSTAR,Water,HR
082/067,F,KleavorVSTAR,Fighting,HR
083/067,F,Irida,Su,HR
084/067,F,Grant,Su,HR
085/067,F,Choy,Su,HR
086/067,F,Origin Forme PalkiaVSTAR,Water,UR
087/067,F,Temple of Sinnoh,St,UR
088/067,F,Double Turbo Energy,Colorless E,UR
