No.,Mark,Card name,Type,Rarity
001/078,G,Cacnea,Grass,C
002/078,G,Cacturne,Grass,U
003/078,G,Skiddo,Grass,C
004/078,G,Gogoat,Grass,C
005/078,G,Smoliv,Grass,C
006/078,G,Smoliv,Grass,C
007/078,G,Dolliv,Grass,C
008/078,G,Arboliva,Grass,R
009/078,G,Torkoal,Fire,U
010/078,G,Charcadet,Fire,C
011/078,G,Charcadet,Fire,C
012/078,G,Armarouge,Fire,R
013/078,G,Magikarp,Water,C
014/078,G,Gyaradosex,Water,RR
015/078,G,Buizel,Water,C
016/078,G,Floatzel,Water,U
017/078,G,Bruxish,Water,C
018/078,G,Wiglett,Water,C
019/078,G,Wiglett,Water,C
020/078,G,Wugtrio,Water,U
021/078,G,Dondozo,Water,R
022/078,G,Tatsugiri,Water,U
023/078,G,Wattrel,Lightning,C
024/078,G,Wattrel,Lightning,C
025/078,G,Kilowattrel,Lightning,U
026/078,G,Ralts,Psychic,C
027/078,G,Kirlia,Psychic,C
028/078,G,Gardevoirex,Psychic,RR
029/078,G,Drifloon,Psychic,C
030/078,G,Drifblim,Psychic,U
031/078,G,Dedenne,Psychic,C
032/078,G,Fidough,Psychic,C
033/078,G,Fidough,Psychic,C
034/078,G,Dachsbun,Psychic,U
035/078,G,Flittle,Psychic,C
036/078,G,Flittle,Psychic,C
037/078,G,Espathra,Psychic,U
038/078,G,Meditite,Fighting,C
039/078,G,Medicham,Fighting,U
040/078,G,Riolu,Fighting,C
041/078,G,Lucario,Fighting,U
042/078,G,Sandile,Fighting,C
043/078,G,Krokorok,Fighting,C
044/078,G,Krookodile,Fighting,U
045/078,G,Hawlucha,Fighting,R
046/078,G,Silicobra,Fighting,C
047/078,G,Sandaconda,Fighting,U
048/078,G,Klawf,Fighting,R
049/078,G,Great Tuskex,Fighting,RR
050/078,G,Koraidonex,Fighting,RR
051/078,G,Grimer,Darkness,C
052/078,G,Muk,Darkness,U
053/078,G,Seviper,Darkness,C
054/078,G,Croagunk,Darkness,C
055/078,G,Toxicroakex,Darkness,RR
056/078,G,Pawniard,Darkness,C
057/078,G,Bisharp,Darkness,C
058/078,G,Kingambit,Darkness,R
059/078,G,Varoom,Metal,C
060/078,G,Varoom,Metal,C
061/078,G,Revavroom,Metal,R
062/078,G,Zangoose,Colorless,U
063/078,G,Starly,Colorless,C
064/078,G,Staravia,Colorless,C
065/078,G,Staraptor,Colorless,U
066/078,G,Lechonk,Colorless,C
067/078,G,Lechonk,Colorless,C
068/078,G,Oinkologneex,Colorless,RR
069/078,G,Pal Pad,I,U
070/078,G,Nest Ball,I,U
071/078,G,Rock Chestplate,PT,U
072/078,G,Exp. Share,PT,U
073/078,G,Defiance Band,PT,U
074/078,G,Jacq,Su,U
075/078,G,Team Star Grunt,Su,U
076/078,G,Professor's Research [Professor Sada],Su,R
077/078,G,Penny,Su,U
078/078,G,Beach Court,St,U
079/078,G,Dolliv,Grass,AR
080/078,G,Armarouge,Fire,AR
081/078,G,Wiglett,Water,AR
082/078,G,Dondozo,Water,AR
083/078,G,Ralts,Psychic,AR
084/078,G,Kirlia,Psychic,AR
085/078,G,Fidough,Psychic,AR
086/078,G,Riolu,Fighting,AR
087/078,G,Sandile,Fighting,AR
088/078,G,Klawf,Fighting,AR
089/078,G,Kingambit,Darkness,AR
090/078,G,Starly,Colorless,AR
091/078,G,Gyaradosex,Water,SR
092/078,G,Gardevoirex,Psychic,SR
093/078,G,Great Tuskex,Fighting,SR
094/078,G,Koraidonex,Fighting,SR
095/078,G,Toxicroakex,Darkness,SR
096/078,G,Oinkologneex,Colorless,SR
097/078,G,Jacq,Su,SR
098/078,G,Team Star Grunt,Su,SR
099/078,G,Professor's Research [Professor Sada],Su,SR
100/078,G,Penny,Su,SR
101/078,G,Gardevoirex,Psychic,SAR
102/078,G,Great Tuskex,Fighting,SAR
103/078,G,Koraidonex,Fighting,SAR
104/078,G,Jacq,Su,SAR
105/078,G,Penny,Su,SAR
106/078,G,Koraidonex,Fighting,UR
107/078,G,Nest Ball,I,UR
108/078,—,Basic Fighting Energy,Fighting E,UR
