No.,Mark,Card name,Type,Rarity
001/073,G,Tropius,Grass,C
002/073,G,Foongus,Grass,C
003/073,G,Amoonguss,Grass,U
004/073,G,Sprigatito,Grass,C
005/073,G,Sprigatito,Grass,C
006/073,G,Floragato,Grass,C
007/073,G,Meowscaradaex,Grass,RR
008/073,G,Nymble,Grass,C
009/073,G,Nymble,Grass,C
010/073,G,Lokix,Grass,R
011/073,G,Paldean Tauros,Fire,U
012/073,G,Larvesta,Fire,C
013/073,G,Volcarona,Fire,C
014/073,G,Litleo,Fire,C
015/073,G,Pyroar,Fire,U
016/073,G,Oricorio,Fire,R
017/073,G,Fuecoco,Fire,C
018/073,G,Fuecoco,Fire,C
019/073,G,Crocalor,Fire,C
020/073,G,Skeledirgeex,Fire,RR
021/073,G,Paldean Tauros,Water,U
022/073,G,Magikarp,Water,C
023/073,G,Gyarados,Water,R
024/073,G,Delibird,Water,C
025/073,G,Buizel,Water,C
026/073,G,Floatzel,Water,U
027/073,G,Quaxly,Water,C
028/073,G,Quaxly,Water,C
029/073,G,Quaxwell,Water,C
030/073,G,Quaquavalex,Water,RR
031/073,G,Wattrel,Lightning,C
032/073,G,Wattrel,Lightning,C
033/073,G,Kilowattrel,Lightning,U
034/073,G,Misdreavus,Psychic,C
035/073,G,Mismagius,Psychic,U
036/073,G,Spoink,Psychic,C
037/073,G,Grumpig,Psychic,U
038/073,G,Dedenneex,Psychic,RR
039/073,G,Oranguru,Psychic,U
040/073,G,Tinkatink,Psychic,C
041/073,G,Tinkatink,Psychic,C
042/073,G,Tinkatuff,Psychic,C
043/073,G,Tinkaton,Psychic,R
044/073,G,Diglett,Fighting,C
045/073,G,Dugtrio,Fighting,U
046/073,G,Paldean Tauros,Fighting,U
047/073,G,Makuhita,Fighting,C
048/073,G,Hariyama,Fighting,R
049/073,G,Rockruff,Fighting,C
050/073,G,Lycanrocex,Fighting,RR
051/073,G,Falinks,Fighting,C
052/073,G,Paldean Wooper,Darkness,C
053/073,G,Paldean Wooper,Darkness,C
054/073,G,Paldean Clodsireex,Darkness,RR
055/073,G,Sableye,Darkness,R
056/073,G,Seviper,Darkness,U
057/073,G,Deino,Darkness,C
058/073,G,Zweilous,Darkness,C
059/073,G,Hydreigon,Darkness,R
060/073,G,Salandit,Darkness,C
061/073,G,Salazzle,Darkness,U
062/073,G,Yungoos,Colorless,C
063/073,G,Gumshoos,Colorless,U
064/073,G,Superior Energy Retrieval,I,U
065/073,G,Great Ball,I,U
066/073,G,Dendra,Su,U
067/073,G,Clavell,Su,U
068/073,G,Falkner,Su,U
069/073,G,Boss's Orders [Ghetsis],Su,R
070/073,G,Artazon,St,U
071/073,G,Practice Studio,St,U
072/073,G,Jet Energy,Colorless E,U
073/073,G,Luminous Energy,Rainbow E,U
074/073,G,Tropius,Grass,AR
075/073,G,Sprigatito,Grass,AR
076/073,G,Floragato,Grass,AR
077/073,G,Pyroar,Fire,AR
078/073,G,Fuecoco,Fire,AR
079/073,G,Crocalor,Fire,AR
080/073,G,Magikarp,Water,AR
081/073,G,Quaxly,Water,AR
082/073,G,Quaxwell,Water,AR
083/073,G,Mismagius,Psychic,AR
084/073,G,Paldean Tauros,Fighting,AR
085/073,G,Paldean Wooper,Darkness,AR
086/073,G,Meowscaradaex,Grass,SR
087/073,G,Skeledirgeex,Fire,SR
088/073,G,Quaquavalex,Water,SR
089/073,G,Dedenneex,Psychic,SR
090/073,G,Lycanrocex,Fighting,SR
091/073,G,Paldean Clodsireex,Darkness,SR
092/073,G,Dendra,Su,SR
093/073,G,Clavell,Su,SR
094/073,G,Falkner,Su,SR
095/073,G,Boss's Orders [Ghetsis],Su,SR
096/073,G,Meowscaradaex,Grass,SAR
097/073,G,Skeledirgeex,Fire,SAR
098/073,G,Quaquavalex,Water,SAR
099/073,G,Dendra,Su,SAR
100/073,G,Boss's Orders [Ghetsis],Su,SAR
101/073,G,Meowscaradaex,Grass,UR
102/073,G,Skeledirgeex,Fire,UR
103/073,G,Quaquavalex,Water,UR
