No.,Mark,Card name,Type,Rarity
001/066,G,Surskit,Grass,C
002/066,G,Masquerain,Grass,U
003/066,G,Blipbug,Grass,C
004/066,G,Dottler,Grass,C
005/066,G,Orbeetle,Grass,U
006/066,G,Toedscool,Grass,C
007/066,G,Toedscool,Grass,C
008/066,G,Toedscruel,Grass,U
009/066,G,Wo-Chien,Grass,R
010/066,G,Pansear,Fire,C
011/066,G,Simisear,Fire,U
012/066,G,Iron Moth,Fire,R
013/066,G,Feebas,Water,C
014/066,G,Milotic,Water,R
015/066,G,Panpour,Water,C
016/066,G,Simipour,Water,U
017/066,G,Vanillite,Water,C
018/066,G,Vanillish,Water,C
019/066,G,Vanilluxe,Water,U
020/066,G,Iron Bundle,Water,U
021/066,G,Chien-Pao,Water,R
022/066,G,Elekid,Lightning,C
023/066,G,Blitzle,Lightning,C
024/066,G,Zebstrika,Lightning,U
025/066,G,Oricorio,Lightning,C
026/066,G,Toxel,Lightning,C
027/066,G,Iron Handsex,Lightning,RR
028/066,G,Chimecho,Psychic,C
029/066,G,Pumpkaboo,Psychic,C
030/066,G,Gourgeist,Psychic,U
031/066,G,Flittle,Psychic,C
032/066,G,Flittle,Psychic,C
033/066,G,Espathra,Psychic,R
034/066,G,Tinkatink,Psychic,C
035/066,G,Tinkatink,Psychic,C
036/066,G,Tinkatuff,Psychic,C
037/066,G,Tinkaton,Psychic,U
038/066,G,Iron Valiantex,Psychic,RR
039/066,G,Onix,Fighting,C
040/066,G,Toxtricityex,Fighting,RR
041/066,G,Steelix,Metal,R
042/066,G,Durant,Metal,U
043/066,G,Honedge,Metal,C
044/066,G,Doublade,Metal,C
045/066,G,Aegislashex,Metal,RR
046/066,G,Altariaex,Dragon,RR
047/066,G,Tatsugiri,Dragon,U
048/066,G,Porygon,Colorless,C
049/066,G,Porygon2,Colorless,C
050/066,G,Porygon-Z,Colorless,R
051/066,G,Aipom,Colorless,C
052/066,G,Ambipom,Colorless,U
053/066,G,Miltank,Colorless,C
054/066,G,Swablu,Colorless,C
055/066,G,Tandemaus,Colorless,C
056/066,G,Tandemaus,Colorless,C
057/066,G,Mausholdex,Colorless,RR
058/066,G,Iron Jugulis,Colorless,R
059/066,G,Counter Catcher,I,U
060/066,G,Techno Radar,I,U
061/066,G,Cursed Duster,PT,U
062/066,G,Future Booster Energy Capsule,PT,U
063/066,G,Technical Machine: Evolution,PT,U
064/066,G,Roark,Su,U
065/066,G,Professor Turo's Scenario,Su,U
066/066,G,Tulip,Su,U
067/066,G,Dottler,Grass,AR
068/066,G,Toedscruel,Grass,AR
069/066,G,Iron Moth,Fire,AR
070/066,G,Vanillish,Water,AR
071/066,G,Iron Bundle,Water,AR
072/066,G,Blitzle,Lightning,AR
073/066,G,Espathra,Psychic,AR
074/066,G,Steelix,Metal,AR
075/066,G,Aipom,Colorless,AR
076/066,G,Swablu,Colorless,AR
077/066,G,Porygon-Z,Colorless,AR
078/066,G,Iron Jugulis,Colorless,AR
079/066,G,Iron Handsex,Lightning,SR
080/066,G,Iron Valiantex,Psychic,SR
081/066,G,Toxtricityex,Fighting,SR
082/066,G,Aegislashex,Metal,SR
083/066,G,Altariaex,Dragon,SR
084/066,G,Mausholdex,Colorless,SR
085/066,G,Roark,Su,SR
086/066,G,Professor Turo's Scenario,Su,SR
087/066,G,Tulip,Su,SR
088/066,G,Iron Handsex,Lightning,SAR
089/066,G,Iron Valiantex,Psychic,SAR
090/066,G,Altariaex,Dragon,SAR
091/066,G,Professor Turo's Scenario,Su,SAR
092/066,G,Tulip,Su,SAR
093/066,G,Iron Valiantex,Psychic,UR
094/066,G,Counter Catcher,I,UR
095/066,—,Basic Metal Energy,Metal E,UR
