No.,Mark,Card name,Type,Rarity
001/190,G,Oddish,Grass,—
002/190,G,Gloom,Grass,—
003/190,G,Vileplume,Grass,—
004/190,G,Scyther,Grass,—
005/190,G,Hoppip,Grass,—
006/190,G,Skiploom,Grass,—
007/190,G,Jumpluff,Grass,—
008/190,G,Pineco,Grass,—
009/190,G,Forretressex,Grass,RR
010/190,G,Snover,Grass,—
011/190,G,Abomasnow,Grass,—
012/190,G,Sprigatito,Grass,—
013/190,G,Floragato,Grass,—
014/190,G,Meowscaradaex,Grass,RR
015/190,G,Smoliv,Grass,—
016/190,G,Dolliv,Grass,—
017/190,G,Arboliva,Grass,—
018/190,G,Toedscool,Grass,—
019/190,G,Toedscruelex,Grass,RR
020/190,G,Capsakid,Grass,—
021/190,G,Scovillain,Grass,—
022/190,G,Rellor,Grass,—
023/190,G,Espathraex,Grass,RR
024/190,G,Wo-Chienex,Grass,RR
025/190,G,Charmander,Fire,—
026/190,G,Charmeleon,Fire,—
027/190,G,Paldean Tauros,Fire,—
028/190,G,Entei,Fire,—
029/190,G,Oricorio,Fire,—
030/190,G,Fuecoco,Fire,—
031/190,G,Crocalor,Fire,—
032/190,G,Skeledirgeex,Fire,RR
033/190,G,Charcadet,Fire,—
034/190,G,Armarouge,Fire,—
035/190,G,Chi-Yuex,Fire,RR
036/190,G,Slowpoke,Water,—
037/190,G,Slowbro,Water,—
038/190,G,Staryu,Water,—
039/190,G,Starmie,Water,—
040/190,G,Paldean Tauros,Water,—
041/190,G,Quaxly,Water,—
042/190,G,Quaxwell,Water,—
043/190,G,Quaquavalex,Water,RR
044/190,G,Wiglett,Water,—
045/190,G,Wugtrio,Water,—
046/190,G,Finizen,Water,—
047/190,G,Palafin,Water,—
048/190,G,Veluza,Water,—
049/190,G,Dondozo,Water,—
050/190,G,Tatsugiri,Water,—
051/190,G,Frigibax,Water,—
052/190,G,Arctibax,Water,—
053/190,G,Baxcalibur,Water,—
054/190,G,Chien-Paoex,Water,RR
055/190,G,Pikachu,Lightning,—
056/190,G,Raichu,Lightning,—
057/190,G,Voltorb,Lightning,—
058/190,G,Electrode,Lightning,—
059/190,G,Shinx,Lightning,—
060/190,G,Luxio,Lightning,—
061/190,G,Luxray,Lightning,—
062/190,G,Pachirisu,Lightning,—
063/190,G,Thundurus,Lightning,—
064/190,G,Toxel,Lightning,—
065/190,G,Toxtricity,Lightning,—
066/190,G,Pawmi,Lightning,—
067/190,G,Pawmo,Lightning,—
068/190,G,Pawmot,Lightning,—
069/190,G,Wattrel,Lightning,—
070/190,G,Kilowattrel,Lightning,—
071/190,G,Miraidonex,Lightning,RR
072/190,G,Wigglytuff,Psychic,—
073/190,G,Abra,Psychic,—
074/190,G,Kadabra,Psychic,—
075/190,G,Alakazamex,Psychic,RR
076/190,G,Mewex,Psychic,RR
077/190,G,Cleffa,Psychic,—
078/190,G,Natu,Psychic,—
079/190,G,Xatu,Psychic,—
080/190,G,Ralts,Psychic,—
081/190,G,Kirlia,Psychic,—
082/190,G,Gardevoirex,Psychic,RR
083/190,G,Drifloon,Psychic,—
084/190,G,Drifblim,Psychic,—
085/190,G,Mime Jr.,Psychic,—
086/190,G,Spiritomb,Psychic,—
087/190,G,Klefki,Psychic,—
088/190,G,Mimikyu,Psychic,—
089/190,G,Fidough,Psychic,—
090/190,G,Dachsbun,Psychic,—
091/190,G,Ceruledge,Psychic,—
092/190,G,Rabsca,Psychic,—
093/190,G,Flittle,Psychic,—
094/190,G,Tinkatink,Psychic,—
095/190,G,Tinkatuff,Psychic,—
096/190,G,Tinkaton,Psychic,—
097/190,G,Greavard,Psychic,—
098/190,G,Houndstone,Psychic,—
099/190,G,Gimmighoul,Psychic,—
