No.,Mark,Card name,Type,Rarity
001/064,H,Joltik,Grass,C
002/064,H,Galvantula,Grass,U
003/064,H,Rowlet,Grass,C
004/064,H,Dartrix,Grass,C
005/064,H,Decidueye,Grass,U
006/064,H,Tapu Bulu,Grass,R
007/064,H,Houndour,Fire,C
008/064,H,Houndoom,Fire,C
009/064,H,Iron Moth,Fire,U
010/064,H,Horsea,Water,C
011/064,H,Seadra,Water,C
012/064,H,Kingdraex,Water,RR
013/064,H,Sneasel,Water,C
014/064,H,Weavile,Water,U
015/064,H,Revavroomex,Lightning,RR
016/064,H,Drowzee,Psychic,C
017/064,H,Hypno,Psychic,U
018/064,H,Duskull,Psychic,C
019/064,H,Dusclops,Psychic,C
020/064,H,Dusknoir,Psychic,R
021/064,H,Cresselia,Psychic,R
022/064,H,Sylveon,Psychic,U
023/064,H,Croagunk,Fighting,C
024/064,H,Toxicroak,Fighting,C
025/064,H,Bloodmoon Ursaluna,Fighting,R
026/064,H,Slither Wing,Fighting,U
027/064,H,Zubat,Darkness,C
028/064,H,Golbat,Darkness,C
029/064,H,Crobat,Darkness,U
030/064,H,Absol,Darkness,C
031/064,H,Zorua,Darkness,C
032/064,H,Zoroark,Darkness,R
033/064,H,Inkay,Darkness,C
034/064,H,Malamar,Darkness,U
035/064,H,Yveltal,Darkness,U
036/064,H,Okidogiex,Darkness,RR
037/064,H,Munkidoriex,Darkness,RR
038/064,H,Fezandipitiex,Darkness,RR
039/064,H,Pecharuntex,Darkness,RR
040/064,H,Genesect,Metal,U
041/064,H,Cufant,Metal,C
042/064,H,Copperajah,Metal,R
043/064,H,Varoom,Metal,C
044/064,H,Axew,Dragon,C
045/064,H,Fraxure,Dragon,C
046/064,H,Haxorus,Dragon,R
047/064,H,Kyurem,Dragon,U
048/064,H,Meowth,Colorless,C
049/064,H,Persian,Colorless,C
050/064,H,Eevee,Colorless,C
051/064,H,Furfrou,Colorless,C
052/064,H,Stufful,Colorless,C
053/064,H,Bewear,Colorless,C
054/064,H,Dangerous Laser,I,ACE
055/064,H,Poké Vital A,I,ACE
056/064,H,Night Stretcher,I,U
057/064,H,Binding Mochi,PT,U
058/064,H,Powerglass,PT,U
059/064,H,Colress's Tenacity,Su,U
060/064,H,Janine's Secret Art,Su,U
061/064,H,Cassiopeia,Su,U
062/064,H,Xerosic's Machinations,Su,U
063/064,H,Neutralization Zone,St,ACE
064/064,H,Academy at Night,St,U
065/064,H,Tapu Bulu,Grass,AR
066/064,H,Houndoom,Fire,AR
067/064,H,Horsea,Water,AR
068/064,H,Duskull,Psychic,AR
069/064,H,Dusclops,Psychic,AR
070/064,H,Dusknoir,Psychic,AR
071/064,H,Cresselia,Psychic,AR
072/064,H,Zorua,Darkness,AR
073/064,H,Cufant,Metal,AR
074/064,H,Fraxure,Dragon,AR
075/064,H,Persian,Colorless,AR
076/064,H,Bewear,Colorless,AR
077/064,H,Kingdraex,Water,SR
078/064,H,Revavroomex,Lightning,SR
079/064,H,Okidogiex,Darkness,SR
080/064,H,Munkidoriex,Darkness,SR
081/064,H,Fezandipitiex,Darkness,SR
082/064,H,Pecharuntex,Darkness,SR
083/064,H,Colress's Tenacity,Su,SR
084/064,H,Janine's Secret Art,Su,SR
085/064,H,Cassiopeia,Su,SR
086/064,H,Xerosic's Machinations,Su,SR
087/064,H,Okidogiex,Darkness,SAR
088/064,H,Munkidoriex,Darkness,SAR
089/064,H,Fezandipitiex,Darkness,SAR
090/064,H,Pecharuntex,Darkness,SAR
091/064,H,Cassiopeia,Su,SAR
092/064,H,Pecharuntex,Darkness,UR
093/064,G,Earthen Vessel,I,UR
094/064,H,Powerglass,PT,UR
