No.,Mark,Card name,Type,Rarity
001/063,I,Bulbasaur,Grass,C
002/063,I,Ivysaur,Grass,C
003/063,I,Mega Venusaurex,Grass,RR
004/063,I,Exeggcute,Grass,C
005/063,I,Exeggutor,Grass,U
006/063,I,Celebi,Grass,U
007/063,I,Seedot,Grass,C
008/063,I,Nuzleaf,Grass,C
009/063,I,Shiftry,Grass,U
010/063,I,Vulpix,Fire,C
011/063,I,Ninetales,Fire,U
012/063,I,Numel,Fire,C
013/063,I,Mega Cameruptex,Fire,RR
014/063,I,Volcanion,Fire,U
015/063,I,Scorbunny,Fire,C
016/063,I,Raboot,Fire,C
017/063,I,Cinderace,Fire,R
018/063,I,Corphish,Water,C
019/063,I,Gimmighoul,Psychic,C
020/063,I,Sandshrew,Fighting,C
021/063,I,Sandslash,Fighting,C
022/063,I,Onix,Fighting,C
023/063,I,Tyrogue,Fighting,C
024/063,I,Makuhita,Fighting,C
025/063,I,Hariyama,Fighting,R
026/063,I,Lunatone,Fighting,R
027/063,I,Solrock,Fighting,U
028/063,I,Riolu,Fighting,C
029/063,I,Mega Lucarioex,Fighting,RR
030/063,I,Croagunk,Fighting,C
031/063,I,Toxicroak,Fighting,C
032/063,I,Marshadow,Fighting,U
033/063,I,Stonjourner,Fighting,U
034/063,I,Nacli,Fighting,C
035/063,I,Naclstack,Fighting,C
036/063,I,Garganacl,Fighting,U
037/063,I,Crawdaunt,Darkness,U
038/063,I,Mega Absolex,Darkness,RR
039/063,I,Spiritomb,Darkness,U
040/063,I,Yveltal,Darkness,R
041/063,I,Nickit,Darkness,C
042/063,I,Thievul,Darkness,C
043/063,I,Shroodle,Darkness,C
044/063,I,Grafaiai,Darkness,C
045/063,I,Steelix,Metal,R
046/063,I,Mega Mawileex,Metal,RR
047/063,I,Dialga,Metal,R
048/063,I,Tinkatink,Metal,C
049/063,I,Tinkatuff,Metal,C
050/063,I,Tinkaton,Metal,U
051/063,I,Gholdengo,Metal,U
052/063,I,Spearow,Colorless,C
053/063,I,Fearow,Colorless,C
054/063,I,Miltank,Colorless,C
055/063,I,Yungoos,Colorless,C
056/063,I,Gumshoos,Colorless,U
057/063,I,Iron Defender,I,U
058/063,I,Premium Power Pro,I,U
059/063,I,Fighting Gong,I,U
060/063,I,Repel,I,U
061/063,I,Lt. Surge's Bargain,Su,U
062/063,I,Lillie's Determination,Su,U
063/063,I,Risky Ruins,St,U
064/063,I,Bulbasaur,Grass,AR
065/063,I,Ivysaur,Grass,AR
066/063,I,Exeggutor,Grass,AR
067/063,I,Vulpix,Fire,AR
068/063,I,Riolu,Fighting,AR
069/063,I,Marshadow,Fighting,AR
070/063,I,Garganacl,Fighting,AR
071/063,I,Spiritomb,Darkness,AR
072/063,I,Shroodle,Darkness,AR
073/063,I,Steelix,Metal,AR
074/063,I,Spearow,Colorless,AR
075/063,I,Gumshoos,Colorless,AR
076/063,I,Mega Venusaurex,Grass,SR
077/063,I,Mega Cameruptex,Fire,SR
078/063,I,Mega Lucarioex,Fighting,SR
079/063,I,Mega Absolex,Darkness,SR
080/063,I,Mega Mawileex,Metal,SR
081/063,I,Premium Power Pro,I,SR
082/063,I,Fighting Gong,I,SR
083/063,H,Night Stretcher,I,SR
084/063,I,Air Balloon,PT,SR
085/063,I,Lt. Surge's Bargain,Su,SR
086/063,I,Lillie's Determination,Su,SR
087/063,I,Mega Venusaurex,Grass,SAR
088/063,I,Mega Lucarioex,Fighting,SAR
089/063,I,Mega Absolex,Darkness,SAR
090/063,I,Lt. Surge's Bargain,Su,SAR
091/063,I,Lillie's Determination,Su,SAR
092/063,I,Mega Lucarioex,Fighting,MUR
