No.,Mark,Card name,Type,Rarity
001/081,J,Tropius,Grass,C
002/081,J,Grubbin,Grass,C
003/081,J,Fomantis,Grass,C
004/081,J,Lurantisex,Grass,RR
005/081,J,Poltchageist,Grass,C
006/081,J,Sinistcha,Grass,U
007/081,J,Heatran,Fire,U
008/081,J,Sizzlipede,Fire,C
009/081,J,Centiskorch,Fire,C
010/081,J,Charcadet,Fire,C
011/081,J,Armarouge,Fire,R
012/081,J,Goldeen,Water,C
013/081,J,Seaking,Water,U
014/081,J,Wailmer,Water,C
015/081,J,Wailordex,Water,RR
016/081,J,Relicanth,Water,U
017/081,J,Popplio,Water,C
018/081,J,Brionne,Water,C
019/081,J,Primarina,Water,R
020/081,J,Finizen,Water,C
021/081,J,Palafin,Water,U
022/081,J,Electrike,Lightning,C
023/081,J,Manectric,Lightning,U
024/081,J,Charjabug,Lightning,C
025/081,J,Vikavolt,Lightning,U
026/081,J,Mega Zeraoraex,Lightning,RR
027/081,J,Miraidon,Lightning,U
028/081,J,Slowpoke,Psychic,C
029/081,J,Slowbro,Psychic,U
030/081,J,Jynx,Psychic,C
031/081,J,Shuppet,Psychic,C
032/081,J,Banette,Psychic,U
033/081,J,Spiritomb,Psychic,R
034/081,J,Litwick,Psychic,C
035/081,J,Lampent,Psychic,C
036/081,J,Mega Chandelureex,Psychic,RR
037/081,J,Dhelmise,Psychic,U
038/081,J,Marshadow,Psychic,U
039/081,J,Annihilape,Psychic,U
040/081,J,Mankey,Fighting,C
041/081,J,Primeape,Fighting,C
042/081,J,Cranidos,Fighting,C
043/081,J,Rampardosex,Fighting,RR
044/081,J,Drilbur,Fighting,C
045/081,J,Koraidon,Fighting,U
046/081,J,Mega Darkraiex,Darkness,RR
047/081,J,Vullaby,Darkness,C
048/081,J,Mandibuzz,Darkness,C
049/081,J,Inkay,Darkness,C
050/081,J,Malamar,Darkness,U
051/081,J,Nickit,Darkness,C
052/081,J,Thievul,Darkness,U
053/081,J,Morpekoex,Darkness,RR
054/081,J,Zarude,Darkness,U
055/081,J,Maschiff,Darkness,C
056/081,J,Mabosstiff,Darkness,C
057/081,J,Chi-Yu,Darkness,R
058/081,J,Skarmory,Metal,C
059/081,J,Shieldon,Metal,C
060/081,J,Bastiodon,Metal,R
061/081,J,Bronzor,Metal,C
062/081,J,Bronzong,Metal,U
063/081,J,Mega Excadrillex,Metal,RR
064/081,J,Pikipek,Colorless,C
065/081,J,Trumbeak,Colorless,C
066/081,J,Toucannon,Colorless,U
067/081,J,Type: Null,Colorless,C
068/081,J,Silvally,Colorless,R
069/081,J,Bombirdier,Colorless,C
070/081,J,Dark Bell,I,U
071/081,J,Antique Skull Fossil,I,C
072/081,J,Antique Armor Fossil,I,C
073/081,J,Terrific Bomb,PT,U
074/081,J,Retry Badge,PT,U
075/081,J,Misty's Spirit,Su,U
076/081,J,Gladion's Showdown,Su,U
077/081,J,Rust Syndicate Grunt,Su,U
078/081,J,Gwynn,Su,U
079/081,J,Fossil Excavation Site,St,U
080/081,J,Volt Lightning Energy,Lightning E,R
081/081,J,Shadowy Darkness Energy,Darkness E,R
