legendary,baby,mythical,name,name_ja,num,gen,primary_type,secondary_type
false,false,false,Bulbasaur,フシギダネ,1,1,grass,poison
false,false,false,Ivysaur,フシギソウ,2,1,grass,poison
false,false,false,Venusaur,フシギバナ,3,1,grass,poison
false,false,false,Charmander,ヒトカゲ,4,1,fire,undefined
false,false,false,Charmeleon,リザード,5,1,fire,undefined
false,false,false,Charizard,リザードン,6,1,fire,flying
false,false,false,Squirtle,ゼニガメ,7,1,water,undefined
false,false,false,Wartortle,カメール,8,1,water,undefined
false,false,false,Blastoise,カメックス,9,1,water,undefined
false,false,false,Caterpie,キャタピー,10,1,bug,undefined
false,false,false,Metapod,トランセル,11,1,bug,undefined
false,false,false,Butterfree,バタフリー,12,1,bug,flying
false,false,false,Weedle,ビードル,13,1,bug,poison
false,false,false,Kakuna,コクーン,14,1,bug,poison
false,false,false,Beedrill,スピアー,15,1,bug,poison
false,false,false,Pidgey,ポッポ,16,1,normal,flying
false,false,false,Pidgeotto,ピジョン,17,1,normal,flying
false,false,false,Pidgeot,ピジョット,18,1,normal,flying
false,false,false,Rattata,コラッタ,19,1,normal,undefined
false,false,false,Raticate,ラッタ,20,1,normal,undefined
false,false,false,Spearow,オニスズメ,21,1,normal,flying
false,false,false,Fearow,オニドリル,22,1,normal,flying
false,false,false,Ekans,アーボ,23,1,poison,undefined
false,false,false,Arbok,アーボック,24,1,poison,undefined
false,false,false,Pikachu,ピカチュウ,25,1,electric,undefined
false,false,false,Raichu,ライチュウ,26,1,electric,undefined
false,false,false,Sandshrew,サンド,27,1,ground,undefined
false,false,false,Sandslash,サンドパン,28,1,ground,undefined
false,false,false,Nidoran♀,ニドラン♀,29,1,poison,undefined
false,false,false,Nidorina,ニドリーナ,30,1,poison,undefined
false,false,false,Nidoqueen,ニドクイン,31,1,poison,ground
false,false,false,Nidoran♂,ニドラン♂,32,1,poison,undefined
false,false,false,Nidorino,ニドリーノ,33,1,poison,undefined
false,false,false,Nidoking,ニドキング,34,1,poison,ground
false,false,false,Clefairy,ピッピ,35,1,fairy,undefined
false,false,false,Clefable,ピクシー,36,1,fairy,undefined
false,false,false,Vulpix,ロコン,37,1,fire,undefined
false,false,false,Ninetales,キュウコン,38,1,fire,undefined
false,false,false,Jigglypuff,プリン,39,1,normal,fairy
false,false,false,Wigglytuff,プクリン,40,1,normal,fairy
false,false,false,Zubat,ズバット,41,1,poison,flying
false,false,false,Golbat,ゴルバット,42,1,poison,flying
false,false,false,Oddish,ナゾノクサ,43,1,grass,poison
false,false,false,Gloom,クサイハナ,44,1,grass,poison
false,false,false,Vileplume,ラフレシア,45,1,grass,poison
false,false,false,Paras,パラス,46,1,bug,grass
false,false,false,Parasect,パラセクト,47,1,bug,grass
false,false,false,Venonat,コンパン,48,1,bug,poison
false,false,false,Venomoth,モルフォン,49,1,bug,poison
false,false,false,Diglett,ディグダ,50,1,ground,undefined
false,false,false,Dugtrio,ダグトリオ,51,1,ground,undefined
false,false,false,Meowth,ニャース,52,1,normal,undefined
false,false,false,Persian,ペルシアン,53,1,normal,undefined
false,false,false,Psyduck,コダック,54,1,water,undefined
false,false,false,Golduck,ゴルダック,55,1,water,undefined
false,false,false,Mankey,マンキー,56,1,fighting,undefined
false,false,false,Primeape,オコリザル,57,1,fighting,undefined
false,false,false,Growlithe,ガーディ,58,1,fire,undefined
false,false,false,Arcanine,ウインディ,59,1,fire,undefined
false,false,false,Poliwag,ニョロモ,60,1,water,undefined
false,false,false,Poliwhirl,ニョロゾ,61,1,water,undefined
false,false,false,Poliwrath,ニョロボン,62,1,water,fighting
false,false,false,Abra,ケーシィ,63,1,psychic,undefined
false,false,false,Kadabra,ユンゲラー,64,1,psychic,undefined
false,false,false,Alakazam,フーディン,65,1,psychic,undefined
false,false,false,Machop,ワンリキー,66,1,fighting,undefined
false,false,false,Machoke,ゴーリキー,67,1,fighting,undefined
false,false,false,Machamp,カイリキー,68,1,fighting,undefined
false,false,false,Bellsprout,マダツボミ,69,1,grass,poison
false,false,false,Weepinbell,ウツドン,70,1,grass,poison
false,false,false,Victreebel,ウツボット,71,1,grass,poison
false,false,false,Tentacool,メノクラゲ,72,1,water,poison
false,false,false,Tentacruel,ドククラゲ,73,1,water,poison
false,false,false,Geodude,イシツブテ,74,1,rock,ground
false,false,false,Graveler,ゴローン,75,1,rock,ground
false,false,false,Golem,ゴローニャ,76,1,rock,ground
false,false,false,Ponyta,ポニータ,77,1,fire,undefined
false,false,false,Rapidash,ギャロップ,78,1,fire,undefined
false,false,false,Slowpoke,ヤドン,79,1,water,psychic
false,false,false,Slowbro,ヤドラン,80,1,water,psychic
false,false,false,Magnemite,コイル,81,1,electric,steel
false,false,false,Magneton,レアコイル,82,1,electric,steel
false,false,false,Farfetch'd,カモネギ,83,1,normal,flying
false,false,false,Doduo,ドードー,84,1,normal,flying
false,false,false,Dodrio,ドードリオ,85,1,normal,flying
false,false,false,Seel,パウワウ,86,1,water,undefined
false,false,false,Dewgong,ジュゴン,87,1,water,ice
false,false,false,Grimer,ベトベター,88,1,poison,undefined
false,false,false,Muk,ベトベトン,89,1,poison,undefined
false,false,false,Shellder,シェルダー,90,1,water,undefined
false,false,false,Cloyster,パルシェン,91,1,water,ice
false,false,false,Gastly,ゴース,92,1,ghost,poison
false,false,false,Haunter,ゴースト,93,1,ghost,poison
false,false,false,Gengar,ゲンガー,94,1,ghost,poison
false,false,false,Onix,イワーク,95,1,rock,ground
false,false,false,Drowzee,スリープ,96,1,psychic,undefined
false,false,false,Hypno,スリーパー,97,1,psychic,undefined
false,false,false,Krabby,クラブ,98,1,water,undefined
false,false,false,Kingler,キングラー,99,1,water,undefined
false,false,false,Voltorb,ビリリダマ,100,1,electric,undefined
false,false,false,Electrode,マルマイン,101,1,electric,undefined
false,false,false,Exeggcute,タマタマ,102,1,grass,psychic
false,false,false,Exeggutor,ナッシー,103,1,grass,psychic
false,false,false,Cubone,カラカラ,104,1,ground,undefined
false,false,false,Marowak,ガラガラ,105,1,ground,undefined
false,false,false,Hitmonlee,サワムラー,106,1,fighting,undefined
false,false,false,Hitmonchan,エビワラー,107,1,fighting,undefined
false,false,false,Lickitung,ベロリンガ,108,1,normal,undefined
false,false,false,Koffing,ドガース,109,1,poison,undefined
false,false,false,Weezing,マタドガス,110,1,poison,undefined
false,false,false,Rhyhorn,サイホーン,111,1,ground,rock
false,false,false,Rhydon,サイドン,112,1,ground,rock
false,false,false,Chansey,ラッキー,113,1,normal,undefined
false,false,false,Tangela,モンジャラ,114,1,grass,undefined
false,false,false,Kangaskhan,ガルーラ,115,1,normal,undefined
false,false,false,Horsea,タッツー,116,1,water,undefined
false,false,false,Seadra,シードラ,117,1,water,undefined
false,false,false,Goldeen,トサキント,118,1,water,undefined
false,false,false,Seaking,アズマオウ,119,1,water,undefined
false,false,false,Staryu,ヒトデマン,120,1,water,undefined
false,false,false,Starmie,スターミー,121,1,water,psychic
false,false,false,Mr. Mime,バリヤード,122,1,psychic,undefined
false,false,false,Scyther,ストライク,123,1,bug,flying
false,false,false,Jynx,ルージュラ,124,1,ice,psychic
false,false,false,Electabuzz,エレブー,125,1,electric,undefined
false,false,false,Magmar,ブーバー,126,1,fire,undefined
false,false,false,Pinsir,カイロス,127,1,bug,undefined
false,false,false,Tauros,ケンタロス,128,1,normal,undefined
false,false,false,Magikarp,コイキング,129,1,water,undefined
false,false,false,Gyarados,ギャラドス,130,1,water,flying
false,false,false,Lapras,ラプラス,131,1,water,ice
false,false,false,Ditto,メタモン,132,1,normal,undefined
false,false,false,Eevee,イーブイ,133,1,normal,undefined
false,false,false,Vaporeon,シャワーズ,134,1,water,undefined
false,false,false,Jolteon,サンダース,135,1,electric,undefined
false,false,false,Flareon,ブースター,136,1,fire,undefined
false,false,false,Porygon,ポリゴン,137,1,normal,undefined
false,false,false,Omanyte,オムナイト,138,1,rock,water
false,false,false,Omastar,オムスター,139,1,rock,water
false,false,false,Kabuto,カブト,140,1,rock,water
false,false,false,Kabutops,カブトプス,141,1,rock,water
false,false,false,Aerodactyl,プテラ,142,1,rock,flying
false,false,false,Snorlax,カビゴン,143,1,normal,undefined
true,false,false,Articuno,フリーザー,144,1,ice,flying
true,false,false,Zapdos,サンダー,145,1,electric,flying
true,false,false,Moltres,ファイヤー,146,1,fire,flying
false,false,false,Dratini,ミニリュウ,147,1,dragon,undefined
false,false,false,Dragonair,ハクリュー,148,1,dragon,dragon
false,false,false,Dragonite,カイリュー,149,1,dragon,flying
true,false,false,Mewtwo,ミュウツー,150,1,psychic,undefined
false,false,true,Mew,ミュウ,151,1,psychic,undefined
false,false,false,Chikorita,チコリータ,152,2,grass,undefined
false,false,false,Bayleef,ベイリーフ,153,2,grass,undefined
false,false,false,Meganium,メガニウム,154,2,grass,undefined
false,false,false,Cyndaquil,ヒノアラシ,155,2,fire,undefined
false,false,false,Quilava,マグマラシ,156,2,fire,undefined
false,false,false,Typhlosion,バクフーン,157,2,fire,undefined
false,false,false,Totodile,ワニノコ,158,2,water,undefined
false,false,false,Croconaw,アリゲイツ,159,2,water,undefined
false,false,false,Feraligatr,オーダイル,160,2,water,undefined
false,false,false,Sentret,オタチ,161,2,normal,undefined
false,false,false,Furret,オオタチ,162,2,normal,undefined
false,false,false,Hoothoot,ホーホー,163,2,normal,flying
false,false,false,Noctowl,ヨルノズク,164,2,normal,flying
false,false,false,Ledyba,レディバ,165,2,bug,flying
false,false,false,Ledian,レディアン,166,2,bug,flying
false,false,false,Spinarak,イトマル,167,2,bug,poison
false,false,false,Ariados,アリアドス,168,2,bug,poison
false,false,false,Crobat,クロバット,169,2,poison,flying
false,false,false,Chinchou,チョンチー,170,2,water,electric
false,false,false,Lanturn,ランターン,171,2,water,electric
false,true,false,Pichu,ピチュー,172,2,electric,undefined
false,true,false,Cleffa,ピィ,173,2,fairy,undefined
false,true,false,Igglybuff,ププリン,174,2,normal,fairy
false,true,false,Togepi,トゲピー,175,2,fairy,undefined
false,false,false,Togetic,トゲチック,176,2,fairy,flying
false,false,false,Natu,ネイティ,177,2,psychic,flying
false,false,false,Xatu,ネイティオ,178,2,psychic,flying
false,false,false,Mareep,メリープ,179,2,electric,undefined
false,false,false,Flaaffy,モココ,180,2,electric,undefined
false,false,false,Ampharos,デンリュウ,181,2,electric,undefined
false,false,false,Bellossom,キレイハナ,182,2,grass,undefined
false,false,false,Marill,マリル,183,2,water,fairy
false,false,false,Azumarill,マリルリ,184,2,water,fairy
false,false,false,Sudowoodo,ウソッキー,185,2,rock,undefined
false,false,false,Politoed,ニョロトノ,186,2,water,undefined
