No.,Card name,Type,Rarity
001/088,Zubat,Grass,Common
002/088,Zubat,Grass,Common
003/088,Golbat,Grass,Common
004/088,Ledyba,Grass,Common
005/088,Ledyba,Grass,Common
006/088,Ledian,Grass,Rare
007/088,Ledian,Grass,Rare Holo
008/088,Crobat,Grass,Rare
009/088,Crobat,Grass,Rare Holo
010/088,Yanma,Grass,Common
011/088,Pineco,Grass,Common
012/088,Pineco,Grass,Common
013/088,Forretress,Grass,Common
014/088,Shuckle,Grass,Common
015/088,Heracross,Grass,Common
016/088,Flareon,Fire,Rare
017/088,Flareon,Fire,Rare Holo
018/088,Slugma,Fire,Common
019/088,Magcargo,Fire,Rare
020/088,Magcargo,Fire,Rare Holo
021/088,Poliwag,Water,Common
022/088,Poliwhirl,Water,Common
023/088,Staryu,Water,Common
024/088,Staryu,Water,Common
025/088,Starmie,Water,Common
026/088,Vaporeon,Water,Rare
027/088,Vaporeon,Water,Rare Holo
028/088,Omanyte,Water,Common
029/088,Omastar,Water,Uncommon
030/088,Politoed,Water,Rare
031/088,Politoed,Water,Rare Holo
032/088,Mantine,Water,Common
033/088,Pikachu,Lightning,Common
034/088,Raichu,Lightning,Rare
035/088,Raichu,Lightning,Rare Holo
036/088,Jolteon,Lightning,Rare
037/088,Jolteon,Lightning,Rare Holo
038/088,Raikou,Lightning,Rare
039/088,Raikou,Lightning,Rare Holo
040/088,Abra,Psychic,Common
041/088,Kadabra,Psychic,Common
042/088,Alakazam,Psychic,Rare
043/088,Alakazam,Psychic,Rare Holo
044/088,Starmie,Psychic,Rare
045/088,Starmie,Psychic,Rare Holo
046/088,Misdreavus,Psychic,Uncommon
047/088,Wobbuffet,Psychic,Uncommon
048/088,Girafarig,Psychic,Common
049/088,Sandshrew,Fighting,Common
050/088,Sandslash,Fighting,Common
051/088,Poliwrath,Fighting,Rare
052/088,Poliwrath,Fighting,Rare Holo
053/088,Rhyhorn,Fighting,Common
054/088,Rhydon,Fighting,Rare
055/088,Rhydon,Fighting,Rare Holo
056/088,Kabuto,Fighting,Common
057/088,Kabutops,Fighting,Rare
058/088,Kabutops,Fighting,Rare Holo
059/088,Aerodactyl,Fighting,Uncommon
060/088,Rattata,Colorless,Common
061/088,Raticate,Colorless,Common
062/088,Meowth,Colorless,Common
063/088,Persian,Colorless,Uncommon
064/088,Ditto,Colorless,Common
065/088,Eevee,Colorless,Common
066/088,Cleffa,Colorless,Common
067/088,Dunsparce,Colorless,Common
068/088,Snubbull,Colorless,Common
069/088,Granbull,Colorless,Common
070/088,Buried Fossil,Colorless,Common
071/088,Umbreon,Darkness,Rare
072/088,Umbreon,Darkness,Rare Holo
073/088,Murkrow,Darkness,Common
074/088,Forretress,Metal,Rare
075/088,Forretress,Metal,Rare Holo
076/088,Skarmory,Metal,Common
077/088,Hyper Potion,T,Uncommon
078/088,Desert Shaman,T [Su],Uncommon
079/088,Oracle,T [Su],Uncommon
080/088,Underground Expedition,T [Su],Uncommon
081/088,Crystal Shard,T [PT],Uncommon
082/088,Star Piece,T [PT],Uncommon
083/088,Mystery Plate α,T [TM],Uncommon
084/088,Mystery Plate β,T [TM],Uncommon
085/088,Mystery Plate γ,T [TM],Uncommon
086/088,Mystery Plate δ,T [TM],Uncommon
087/088,Underground Lake,T [St],Uncommon
088/088,Mirage Stadium,T [St],Uncommon
089/088,Golem,Colorless,Rare Holo
090/088,Kabutops,Colorless,Rare Holo
091/088,Ho-Oh,Colorless,Rare Holo
