No.,Card name,Type,Promotion
001/ADV-P,Kyogre ex,Water,"February 2003 CoroCoro Comic (January 2003)"
002/ADV-P,Groudon ex,Fighting,"CoroCoro Comic (January 2003)"
003/ADV-P,Treecko,Grass,"McDonald's promotion (January 17 - February 6, 2003)"
004/ADV-P,Torchic,Fire,"McDonald's promotion (January 17 - February 6, 2003)"
005/ADV-P,Mudkip,Water,"McDonald's promotion (January 17 - February 6, 2003)"
006/ADV-P,Latias,Colorless,"McDonald's promotion (January 17 - February 6, 2003)"
007/ADV-P,Latios,Colorless,"McDonald's promotion (January 17 - February 6, 2003)"
008/ADV-P,Grovyle,Grass,"Shogakukan Elementary School magazines (March-April 2003)"
009/ADV-P,Combusken,Fire,"Shogakukan Elementary School magazines (February 2003)"
010/ADV-P,Marshtomp,Water,"Shogakukan Elementary School magazines (February 2003)"
011/ADV-P,Kyogre ex,Water,"February 2003 CoroCoro Comic ticket exchange"
012/ADV-P,Groudon ex,Fighting,"February 2003 CoroCoro Comic ticket exchange"
013/ADV-P,Armaldo ex,Fighting,"May 2003 CoroCoro Comic (April 2003)"
014/ADV-P,Jirachi,Psychic,"June 2003 CoroCoro Comic (May 2003)"
015/ADV-P,Treecko,Grass,"7-Eleven Pokémon Fair campaign (June 25, 2003)"
016/ADV-P,Treecko,Grass,"7-Eleven Pokémon Fair campaign (June 25, 2003)"
017/ADV-P,Torchic,Fire,"7-Eleven Pokémon Fair campaign (June 25, 2003)"
018/ADV-P,Torchic,Fire,"7-Eleven Pokémon Fair campaign (June 25, 2003)"
019/ADV-P,Mudkip,Water,"7-Eleven Pokémon Fair campaign (June 25, 2003)"
020/ADV-P,Mudkip,Water,"7-Eleven Pokémon Fair campaign (June 25, 2003)"
021/ADV-P,Ludicolo,Water,"7-Eleven Pokémon Fair campaign (June 25, 2003)"
022/ADV-P,Ludicolo,Water,"7-Eleven Pokémon Fair campaign (June 25, 2003)"
023/ADV-P,Pikachu,Lightning,"7-Eleven Pokémon Fair campaign (June 25, 2003)"
024/ADV-P,Pikachu,Lightning,"7-Eleven Pokémon Fair campaign (June 25, 2003)"
025/ADV-P,Jirachi,Psychic,"7-Eleven Pokémon Fair campaign 'secret card' (June 25, 2003)"
026/ADV-P,Groudon,Fighting,"7-Eleven Pokémon Fair campaign (June 25, 2003)"
027/ADV-P,Groudon,Fighting,"7-Eleven Pokémon Fair campaign (June 25, 2003)"
028/ADV-P,Meowth,Colorless,"7-Eleven Pokémon Fair campaign (June 25, 2003)"
029/ADV-P,Meowth,Colorless,"7-Eleven Pokémon Fair campaign (June 25, 2003)"
030/ADV-P,Whismur,Colorless,"7-Eleven Pokémon Fair campaign (June 25, 2003)"
031/ADV-P,Whismur,Colorless,"7-Eleven Pokémon Fair campaign (June 25, 2003)"
032/ADV-P,Flygon,Colorless,"7-Eleven Pokémon Fair campaign (June 25, 2003)"
033/ADV-P,Flygon,Colorless,"7-Eleven Pokémon Fair campaign (June 25, 2003)"
034/ADV-P,Absol,Darkness,"7-Eleven Pokémon Fair campaign (June 25, 2003)"
035/ADV-P,Absol,Darkness,"7-Eleven Pokémon Fair campaign (June 25, 2003)"
036/ADV-P,Ash's Treecko,Grass,"Shogakukan Elementary School magazines (September 2003)"
037/ADV-P,May's Torchic,Fire,"Shogakukan Elementary School magazines (September 2003)"
038/ADV-P,Brock's Mudkip,Water,"Shogakukan Elementary School magazines (September 2003)"
039/ADV-P,Butler's Kirlia,Psychic,"Pokémon Card Gym Official Start Lottery"
040/ADV-P,Forina's Absol,Darkness,"Pokémon Card Gym Official Start Lottery"
041/ADV-P,Chimecho,Psychic,"Battle Road Summer 2003: Point Get Battle prize"
042/ADV-P,Multi Energy,Colorless E,"Battle Road Summer 2003: Point Get Battle prize"
043/ADV-P,Oran Berry,T [PT],"Battle Road Autumn 2003 participation card"
044/ADV-P,Metang,Metal,"Pokémon Wonderland Vol. 2004 (December 20, 2003)"
045/ADV-P,Beldum,Metal,"Shogakukan Elementary School magazines (February 2004)"
046/ADV-P,Sceptile,Grass,"McDonald's promotion (January 23 - February 5, 2004)"
047/ADV-P,Blaziken,Fire,"McDonald's promotion (January 23 - February 5, 2004)"
048/ADV-P,Swampert,Water,"McDonald's promotion (January 23 - February 5, 2004)"
049/ADV-P,Plusle,Lightning,"McDonald's promotion (January 23 - February 5, 2004)"
050/ADV-P,Minun,Lightning,"McDonald's promotion (January 23 - February 5, 2004)"
051/ADV-P,Bulbasaur,Grass,"Meiji Chocolate (February 24, 2004)"
052/ADV-P,Charmander,Fire,"Meiji Chocolate (February 24, 2004)"
053/ADV-P,Charmeleon,Fire,"Meiji Chocolate (February 24, 2004)"
054/ADV-P,Charizard,Fire,"Meiji Chocolate (February 24, 2004)"
055/ADV-P,Squirtle,Water,"Meiji Chocolate (February 24, 2004)"
056/ADV-P,Psyduck,Water,"Meiji Chocolate (February 24, 2004)"
057/ADV-P,Pikachu,Lightning,"Meiji Chocolate (February 24, 2004)"
058/ADV-P,Raichu,Lightning,"Meiji Chocolate (February 24, 2004)"
059/ADV-P,Slowpoke,Psychic,"Meiji Chocolate (February 24, 2004)"
060/ADV-P,Cubone,Fighting,"Meiji Chocolate (February 24, 2004)"
061/ADV-P,Jigglypuff,Colorless,"Meiji Chocolate (February 24, 2004)"
062/ADV-P,Meowth,Colorless,"Meiji Chocolate (February 24, 2004)"
063/ADV-P,Metang,Metal,"World Hobby Fair 2004"
