No.,Card name,Type,Rarity
001/053,Seedot,Grass,Common
002/053,Nuzleaf,Grass,Uncommon
003/053,Shiftry,Grass,Rare Holo
004/053,Volbeat,Grass,Rare
005/053,Illumise,Grass,Rare
006/053,Cacnea,Grass,Uncommon
007/053,Cacturne,Grass,Rare Holo
008/053,Seviper,Grass,Rare Holo
009/053,Lileep,Grass,Uncommon
010/053,Cradily,Grass,Rare Holo
011/053,Cyndaquil,Fire,Common
012/053,Quilava,Fire,Rare
013/053,Typhlosion ex,Fire,Rare Holo ex
014/053,Psyduck,Water,Common
015/053,Golduck,Water,Rare
016/053,Marill,Water,Common
017/053,Azumarill,Water,Rare
018/053,Lotad,Water,Common
019/053,Lombre,Water,Rare
020/053,Ludicolo,Water,Rare Holo
021/053,Wailord ex,Water,Rare Holo ex
022/053,Pikachu,Lightning,Common
023/053,Raichu ex,Lightning,Rare Holo ex
024/053,Pichu,Lightning,Rare
025/053,Natu,Psychic,Common
026/053,Xatu,Psychic,Rare
027/053,Wobbuffet,Psychic,Rare
028/053,Gardevoir ex,Psychic,Rare Holo ex
029/053,Lunatone,Psychic,Rare Holo
030/053,Duskull,Psychic,Uncommon
031/053,Dusclops,Psychic,Rare Holo
032/053,Wynaut,Psychic,Uncommon
033/053,Sandshrew,Fighting,Common
034/053,Sandslash,Fighting,Rare
035/053,Trapinch,Fighting,Common
036/053,Solrock,Fighting,Rare Holo
037/053,Baltoy,Fighting,Uncommon
038/053,Anorith,Fighting,Rare
039/053,Armaldo,Fighting,Rare Holo
040/053,Zigzagoon,Colorless,Common
041/053,Azurill,Colorless,Uncommon
042/053,Zangoose,Colorless,Rare Holo
043/053,Kecleon,Colorless,Rare
044/053,Sableye,Darkness,Rare Holo
045/053,Mawile,Metal,Rare Holo
046/053,Aggron ex,Metal,Rare Holo ex
047/053,Claw Fossil,T,Common
048/053,Root Fossil,T,Common
049/053,Double Full Heal,T,Uncommon
050/053,Rare Candy,T,Uncommon
051/053,Lanette's Net Search,T [Su],Uncommon
052/053,Wally's Training,T [Su],Uncommon
053/053,Multi Energy,Rainbow E,Rare
