No.,Card,Type,Quantity
004/033,Team Aqua's Corphish,Water,1×
005/033,Team Aqua's Corphish,Water,1×
006/033,Team Aqua's Crawdaunt,Water,1×
007/033,Team Aqua's Spheal,Water,2×
010/033,Team Aqua's Sealeo,Water,1×
012/033,Team Aqua's Walrein,WaterDarkness,1×
014/033,Raikou ex,Lightning,1×
017/033,Team Aqua's Electrike,Lightning,1×
018/033,Team Aqua's Electrike,Lightning,1×
019/033,Team Aqua's Manectric,Lightning,1×
020/033,Team Aqua's Poochyena,Darkness,1×
023/033,Team Aqua's Mightyena,Darkness,1×
024/033,Potion,T,1×
025/033,Double Full Heal,T,1×
027/033,Team Aqua Schemer,T [Su],1×
028/033,Team Aqua Conspirator,T [Su],2×
030/033,Team Aqua Belt,T [PT],1×
031/033,Team Aqua Technical Machine 01,T [TM],1×
—,Water Energy,Water E,5×
—,Lightning Energy,Lightning E,4×
—,Darkness Energy,Darkness E,1×
