No.,Card,Type,Quantity
001/018,Seedot,Grass,1×
002/018,Nuzleaf,Grass,1×
003/018,Shiftry,Grass,1×
004/018,Shroomish,Grass,1×
005/018,Breloom,Grass,1×
006/018,Electabuzz,Lightning,1×
007/018,Elekid,Lightning,1×
008/018,Trapinch,Fighting,1×
009/018,Spearow,Colorless,1×
010/018,Fearow,Colorless,1×
011/018,Latios ex,Colorless,1×
012/018,Aron,Metal,1×
013/018,Lairon,Metal,1×
014/018,Potion,T,1×
015/018,Double Full Heal,T,1×
016/018,Master Ball,T,1×
017/018,Lady Outing,T [Su],1×
018/018,Professor Birch,T [Su],1×
—,Grass Energy,Grass E,4×
—,Lightning Energy,Lightning E,4×
—,Fighting Energy,Fighting E,2×
—,Metal Energy,Metal E,2×
