No.,Card name,Type,Rarity
001/106,Oddish,Grass,Common
002/106,Gloom,Grass,Common
003/106,Scyther,Grass,Rare
004/106,Meganium,Grass,Rare Holo
005/106,Spinarak,Grass,Common
006/106,Ariados,Grass,Rare Holo
007/106,Bellossom,Grass,Rare Holo
008/106,Sunkern,Grass,Common
009/106,Sunflora,Grass,Rare Holo
010/106,Yanma,Grass,Uncommon
011/106,Pineco,Grass,Common
012/106,Shuckle,Grass,Rare
013/106,Flareon,Fire,Rare Holo
014/106,Typhlosion,Fire,Rare Holo
015/106,Slugma,Fire,Common
016/106,Magcargo,Fire,Rare
017/106,Houndour,Fire,Common
018/106,Houndoom,Fire,Rare Holo
019/106,Entei Star,Fire,ShinyRare Holo
020/106,Ho-Oh ex,Fire,Rare Holo ex
021/106,Poliwag,Water,Common
022/106,Poliwhirl,Water,Common
023/106,Slowbro,Water,Rare Holo
024/106,Jynx,Water,Rare
025/106,Vaporeon,Water,Rare Holo
026/106,Feraligatr,Water,Rare Holo
027/106,Politoed ex,Water,Rare Holo ex
028/106,Corsola,Water,Rare
029/106,Remoraid,Water,Common
030/106,Octillery,Water,Rare Holo
031/106,Smoochum,Water,Rare
032/106,Suicune Star,Water,ShinyRare Holo
033/106,Electabuzz,Lightning,Rare
034/106,Jolteon,Lightning,Rare Holo
035/106,Mareep,Lightning,Common
036/106,Flaaffy,Lightning,Common
037/106,Ampharos,Lightning,Rare Holo
038/106,Elekid,Lightning,Rare
039/106,Raikou Star,Lightning,ShinyRare Holo
040/106,Slowpoke,Psychic,Common
041/106,Espeon ex,Psychic,Rare Holo ex
042/106,Slowking,Psychic,Rare Holo
043/106,Unown,Psychic,Uncommon
044/106,Unown,Psychic,Common
045/106,Unown,Psychic,Uncommon
046/106,Unown,Psychic,Uncommon
047/106,Unown,Psychic,Uncommon
048/106,Unown,Psychic,Common
049/106,Unown,Psychic,Uncommon
050/106,Unown,Psychic,Uncommon
051/106,Unown,Psychic,Uncommon
052/106,Unown,Psychic,Uncommon
053/106,Unown,Psychic,Common
054/106,Unown,Psychic,Uncommon
055/106,Unown,Psychic,Uncommon
056/106,Unown,Psychic,Common
057/106,Unown,Psychic,Common
058/106,Unown,Psychic,Common
059/106,Unown,Psychic,Uncommon
060/106,Unown,Psychic,Uncommon
061/106,Unown,Psychic,Common
062/106,Unown,Psychic,Uncommon
063/106,Unown,Psychic,Uncommon
064/106,Unown,Psychic,Common
065/106,Unown,Psychic,Common
066/106,Unown,Psychic,Uncommon
067/106,Unown,Psychic,Uncommon
068/106,Poliwrath,Fighting,Rare Holo
069/106,Onix,Fighting,Common
070/106,Hitmonlee,Fighting,Rare
071/106,Hitmonchan,Fighting,Rare
072/106,Sudowoodo,Fighting,Rare
073/106,Gligar,Fighting,Uncommon
074/106,Tyrogue,Fighting,Rare
075/106,Hitmontop,Fighting,Rare
076/106,Larvitar,Fighting,Common
077/106,Pupitar,Fighting,Common
078/106,Chansey,Colorless,Rare
079/106,Eevee,Colorless,Common
080/106,Porygon,Colorless,Common
081/106,Cleffa,Colorless,Rare
082/106,Aipom,Colorless,Uncommon
083/106,Teddiursa,Colorless,Common
084/106,Ursaring,Colorless,Rare Holo
085/106,Porygon2,Colorless,Rare Holo
086/106,Stantler,Colorless,Rare
087/106,Smeargle,Colorless,Rare
088/106,Miltank,Colorless,Uncommon
089/106,Blissey ex,Colorless,Rare Holo ex
090/106,Lugia ex,Colorless,Rare Holo ex
091/106,Umbreon ex,Darkness,Rare Holo ex
092/106,Murkrow,Darkness,Rare
093/106,Tyranitar ex,Darkness,Rare Holo ex
094/106,Forretress,Metal,Rare Holo
095/106,Steelix ex,Metal,Rare Holo ex
096/106,Scizor ex,Metal,Rare Holo ex
097/106,Professor Elm's Training Method,T [Su],Uncommon
098/106,Mary's Request,T [Su],Uncommon
099/106,Solid Rage,T [PT],Uncommon
100/106,Sitrus Berry,T [PT],Uncommon
101/106,Energy Root,T [PT],Uncommon
102/106,Curse Powder,T [PT],Uncommon
103/106,Fluffy Berry,T [PT],Uncommon
104/106,Protective Orb,T [PT],Uncommon
105/106,Cyclone Energy,Colorless E,Uncommon
106/106,Warp Energy,Colorless E,Uncommon
