No.,Card name,Type,Rarity
001/075,Bulbasaur,Grass,Common
002/075,Ivysaur,Grass,Uncommon
003/075,Venusaur,Grass,Rare Holo
004/075,Celebi Star,Grass,ShinyRare Holo
005/075,Treecko,Grass,Common
006/075,Grovyle,Grass,Rare
007/075,Seedot,Grass,Common
008/075,Gulpin,Grass,Uncommon
009/075,Swalot,Grass,Rare Holo
010/075,Cacnea,Grass,Uncommon
011/075,Charmander,Fire,Common
012/075,Charmeleon,Fire,Uncommon
013/075,Torchic,Fire,Common
014/075,Ludicolo δ,Fire,Rare Holo
015/075,Numel,Fire,Common
016/075,Camerupt,Fire,Rare Holo
017/075,Kingler δ,FireMetal,Rare
018/075,Squirtle,Water,Common
019/075,Wartortle,Water,Uncommon
020/075,Krabby,Water,Uncommon
021/075,Mudkip,Water,Common
022/075,Marshtomp,Water,Rare
023/075,Swampert ex,Water,Rare Holo ex
024/075,Lotad,Water,Common
025/075,Lombre,Water,Rare
026/075,Wingull,Water,Common
027/075,Luvdisc,Water,Rare Holo
028/075,Fearow δ,Lightning,Rare
029/075,Pelipper δ,Lightning,Rare
030/075,Electrike,Lightning,Common
031/075,Manectric,Lightning,Rare Holo
032/075,Charizard δ,LightningMetal,Rare Holo
033/075,Alakazam Star,Psychic,ShinyRare Holo
034/075,Sceptile ex δ,Psychic,Rare Holo ex
035/075,Spoink,Psychic,Common
036/075,Grumpig,Psychic,Rare Holo
037/075,Shuppet,Psychic,Uncommon
038/075,Banette,Psychic,Rare Holo
039/075,Duskull,Psychic,Common
040/075,Dusclops,Psychic,Rare
041/075,Jirachi ex,Psychic,Rare Holo ex
042/075,Diglett,Fighting,Common
043/075,Dugtrio,Fighting,Rare Holo
044/075,Combusken,Fighting,Rare
045/075,Blaziken ex,Fighting,Rare Holo ex
046/075,Meditite,Fighting,Common
047/075,Medicham,Fighting,Rare
048/075,Cacturne δ,Fighting,Rare
049/075,Blastoise δ,FightingMetal,Rare Holo
050/075,Spearow,Colorless,Common
051/075,Jigglypuff,Colorless,Common
052/075,Wigglytuff,Colorless,Rare Holo
053/075,Tauros,Colorless,Rare Holo
054/075,Igglybuff,Colorless,Rare
055/075,Whismur,Colorless,Common
056/075,Loudred,Colorless,Rare
057/075,Exploud ex,Colorless,Rare Holo ex
058/075,Skitty,Colorless,Uncommon
059/075,Delcatty ex,Colorless,Rare Holo ex
060/075,Nuzleaf,Darkness,Rare
061/075,Shiftry ex,Darkness,Rare Holo ex
062/075,Sableye,Darkness,Rare Holo
063/075,Mawile,Metal,Rare Holo
064/075,Aron,Metal,Uncommon
065/075,Lairon,Metal,Rare
066/075,Aggron ex,Metal,Rare Holo ex
067/075,Windstorm,T,Uncommon
068/075,Castaway,T [Su],Uncommon
069/075,Memory Berry,T [PT],Uncommon
070/075,Mysterious Shard,T [PT],Uncommon
071/075,Crystal Shard,T [PT],Uncommon
072/075,Cessation Crystal,T [PT],Uncommon
073/075,Crystal Beach,T [St],Uncommon
074/075,Holon Circle,T [St],Uncommon
075/075,Double Rainbow Energy,Rainbow E,Uncommon
