No.,Card name,Type,Rarity
—,Heracross,Grass,Uncommon
—,Wurmple,Grass,Common
—,Silcoon,Grass,Uncommon
—,Beautifly,Grass,Rare
—,Cascoon,Grass,Uncommon
—,Dustox,Grass,Rare
—,Seedot,Grass,Common
—,Budew,Grass,Uncommon
—,Roselia,Grass,Common
—,Roserade,Grass,Rare Holo
—,Turtwig,Grass,Common
—,Grotle,Grass,Uncommon
—,Torterra,Grass,Rare Holo
—,Combee,Grass,Common
—,Vespiquen,Grass,Rare
—,Cherubi,Grass,Common
—,Cherrim,Grass,Uncommon
—,Carnivine,Grass,Rare
—,Torterra LV.X,Grass,Rare Holo LV.X
—,Ponyta,Fire,Common
—,Rapidash,Fire,Uncommon
—,Chimchar,Fire,Common
—,Monferno,Fire,Uncommon
—,Infernape,Fire,Rare Holo
—,Infernape LV.X,Fire,Rare Holo LV.X
—,Goldeen,Water,Common
—,Seaking,Water,Uncommon
—,Marill,Water,Common
—,Azumarill,Water,Rare
—,Mantyke,Water,Uncommon
—,Piplup,Water,Common
—,Prinplup,Water,Uncommon
—,Empoleon,Water,Rare Holo
—,Buizel,Water,Common
—,Floatzel,Water,Rare
—,Palkia,Water,Rare Holo
—,Manaphy,Water,Rare Holo
—,Empoleon LV.X,Water,Rare Holo LV.X
—,Elekid,Lightning,Uncommon
—,Electabuzz,Lightning,Common
—,Electivire,Lightning,Rare Holo
—,Shinx,Lightning,Common
—,Luxio,Lightning,Uncommon
—,Luxray,Lightning,Rare Holo
—,Pachirisu,Lightning,Rare
—,Gastly,Psychic,Common
—,Haunter,Psychic,Uncommon
—,Gengar,Psychic,Rare
—,Mime Jr.,Psychic,Uncommon
—,Misdreavus,Psychic,Common
—,Mismagius,Psychic,Rare Holo
—,Unown A,Psychic,Uncommon
—,Unown B,Psychic,Uncommon
—,Unown C,Psychic,Uncommon
—,Unown D,Psychic,Uncommon
—,Wynaut,Psychic,Rare
—,Wobbuffet,Psychic,Rare
—,Duskull,Psychic,Common
—,Dusclops,Psychic,Uncommon
—,Dusknoir,Psychic,Rare Holo
—,Drifloon,Psychic,Uncommon
—,Drifblim,Psychic,Rare
—,Skorupi,Psychic,Common
—,Drapion,Psychic,Rare
—,Machop,Fighting,Common
—,Machoke,Fighting,Uncommon
—,Machamp,Fighting,Rare
—,Onix,Fighting,Common
—,Rhyhorn,Fighting,Common
—,Rhydon,Fighting,Uncommon
—,Rhyperior,Fighting,Rare Holo
—,Bonsly,Fighting,Uncommon
—,Meditite,Fighting,Common
—,Medicham,Fighting,Uncommon
—,Riolu,Fighting,Uncommon
—,Lucario,Fighting,Rare Holo
—,Hippopotas,Fighting,Uncommon
—,Hippowdon,Fighting,Rare
—,Sneasel,Darkness,Common
—,Weavile,Darkness,Uncommon
—,Nuzleaf,Darkness,Uncommon
—,Shiftry,Darkness,Rare Holo
—,Magnemite,Metal,Common
—,Magneton,Metal,Uncommon
—,Magnezone,Metal,Rare Holo
—,Steelix,Metal,Rare
—,Cleffa,Colorless,Uncommon
—,Clefairy,Colorless,Common
—,Clefable,Colorless,Rare
—,Munchlax,Colorless,Rare
—,Snorlax,Colorless,Uncommon
—,Hoothoot,Colorless,Common
—,Noctowl,Colorless,Uncommon
—,Azurill,Colorless,Uncommon
—,Starly,Colorless,Common
—,Staravia,Colorless,Uncommon
—,Staraptor,Colorless,Rare Holo
—,Bidoof,Colorless,Common
—,Bibarel,Colorless,Uncommon
—,Buneary,Colorless,Common
—,Lopunny,Colorless,Rare
—,Glameow,Colorless,Common
—,Purugly,Colorless,Rare
—,Chatot,Colorless,Common
—,Energy Restore,T,Uncommon
—,Energy Switch,T,Uncommon
—,Energy Search,T,Uncommon
—,Potion,T,Uncommon
—,Super Scoop Up,T,Uncommon
—,Double Full Heal,T,Uncommon
—,PlusPower,T,Uncommon
—,Switch,T,Uncommon
—,Pokédex HANDY910is,T,Uncommon
—,Poké Ball,T,Uncommon
—,Night Pokémon Center,T,Uncommon
—,Warp Point,T,Uncommon
—,Professor Rowan,Su,Uncommon
—,Rival,Su,Uncommon
—,Speed Stadium,St,Uncommon
