No.,Card name,Type,Rarity
—,Paras,Grass,Common
—,Parasect,Grass,Uncommon
—,Exeggcute,Grass,Common
—,Exeggutor,Grass,Rare
—,Chikorita,Grass,Common
—,Bayleef,Grass,Uncommon
—,Meganium,Grass,Rare Holo
—,Spinarak,Grass,Common
—,Ariados,Grass,Rare
—,Celebi,Grass,Rare Holo
—,Surskit,Grass,Common
—,Masquerain,Grass,Uncommon
—,Tropius,Grass,Uncommon
—,Kricketot,Grass,Common
—,Kricketune,Grass,Rare
—,Snover,Grass,Common
—,Abomasnow,Grass,Rare
—,Vulpix,Fire,Common
—,Ninetales,Fire,Rare
—,Magby,Fire,Uncommon
—,Magmar,Fire,Common
—,Magmortar,Fire,Rare Holo
—,Cyndaquil,Fire,Common
—,Quilava,Fire,Uncommon
—,Typhlosion,Fire,Rare Holo
—,Magmortar LV.X,Fire,Rare Holo LV.X
—,Seel,Water,Common
—,Dewgong,Water,Uncommon
—,Magikarp,Water,Common
—,Gyarados,Water,Rare
—,Totodile,Water,Common
—,Croconaw,Water,Uncommon
—,Feraligatr,Water,Rare Holo
—,Remoraid,Water,Common
—,Octillery,Water,Uncommon
—,Mantine,Water,Rare
—,Barboach,Water,Common
—,Whiscash,Water,Rare
—,Snorunt,Water,Common
—,Glalie,Water,Rare
—,Spheal,Water,Common
—,Sealeo,Water,Uncommon
—,Walrein,Water,Rare
—,Finneon,Water,Common
—,Lumineon,Water,Rare Holo
—,Buizel,Water,Common
—,Pichu,Lightning,Uncommon
—,Pikachu,Lightning,Common
—,Raichu,Lightning,Rare Holo
—,Electrike,Lightning,Common
—,Manectric,Lightning,Rare
—,Shinx,Lightning,Common
—,Electivire LV.X,Lightning,Rare Holo LV.X
—,Nidoran♀,Psychic,Common
—,Nidorina,Psychic,Uncommon
—,Nidoqueen,Psychic,Rare
—,Zubat,Psychic,Common
—,Golbat,Psychic,Uncommon
—,Crobat,Psychic,Rare
—,Abra,Psychic,Common
—,Alakazam,Psychic,Rare Holo
—,Mr. Mime,Psychic,Rare
—,Unown E,Psychic,Uncommon
—,Unown I,Psychic,Rare
—,Unown M,Psychic,Uncommon
—,Unown T,Psychic,Uncommon
—,Chingling,Psychic,Uncommon
—,Chimecho,Psychic,Rare
—,Croagunk,Psychic,Common
—,Toxicroak,Psychic,Rare
—,Uxie,Psychic,Rare Holo
—,Mesprit,Psychic,Rare Holo
—,Azelf,Psychic,Rare Holo
—,Sandshrew,Fighting,Common
—,Sandslash,Fighting,Uncommon
—,Geodude,Fighting,Common
—,Graveler,Fighting,Uncommon
—,Sudowoodo,Fighting,Rare
—,Larvitar,Fighting,Common
—,Pupitar,Fighting,Uncommon
—,Cranidos,Fighting,Uncommon
—,Rampardos,Fighting,Rare Holo
—,Lucario LV.X,Fighting,Rare Holo LV.X
—,Doduo,Colorless,Common
—,Dodrio,Colorless,Uncommon
—,Happiny,Colorless,Uncommon
—,Chansey,Colorless,Common
—,Blissey,Colorless,Rare Holo
—,Dunsparce,Colorless,Uncommon
—,Aipom,Colorless,Common
—,Ambipom,Colorless,Rare Holo
—,Teddiursa,Colorless,Common
—,Ursaring,Colorless,Rare
—,Slakoth,Colorless,Common
—,Vigoroth,Colorless,Uncommon
—,Slaking,Colorless,Rare
—,Girafarig,Colorless,Uncommon
—,Gible,Colorless,Common
—,Gabite,Colorless,Uncommon
—,Garchomp,Colorless,Rare Holo
—,Bidoof,Colorless,Common
—,Murkrow,Darkness,Common
—,Honchkrow,Darkness,Rare Holo
—,Tyranitar,Darkness,Rare Holo
—,Aron,Metal,Common
—,Lairon,Metal,Uncommon
—,Aggron,Metal,Rare Holo
—,Shieldon,Metal,Uncommon
—,Bastiodon,Metal,Rare Holo
—,Bronzor,Metal,Common
—,Bronzong,Metal,Rare Holo
—,Quick Ball,T,Uncommon
—,Dusk Ball,T,Uncommon
—,Night Maintenance,T,Uncommon
—,Fossil Excavator,Su,Uncommon
—,Team Galactic's Wager,Su,Uncommon
—,Bebe's Search,Su,Uncommon
—,Lake Boundary,St,Uncommon
—,Skull Fossil,T,Common
—,Armor Fossil,T,Common
—,Darkness Energy,Darkness E,Uncommon
—,Metal Energy,Metal E,Uncommon
—,Multi Energy,Rainbow E,Uncommon
