No.,Card name,Type,Rarity
001/053,Snivy,Grass,C
002/053,Servine,Grass,U
003/053,Serperior,Grass,R
004/053,Pansage,Grass,C
005/053,Simisage,Grass,C
006/053,Petilil,Grass,C
007/053,Lilligant,Grass,U
008/053,Maractus,Grass,C
009/053,Darumaka,Fire,C
010/053,Darmanitan,Fire,U
011/053,Oshawott,Water,C
012/053,Dewott,Water,U
013/053,Samurott,Water,R
014/053,Panpour,Water,C
015/053,Simipour,Water,C
016/053,Alomomola,Water,C
017/053,Joltik,Lightning,C
018/053,Galvantula,Lightning,U
019/053,Thundurus,Lightning,R
020/053,Zekrom,Lightning,R
021/053,Venipede,Psychic,C
022/053,Whirlipede,Psychic,U
023/053,Scolipede,Psychic,U
024/053,Sigilyph,Psychic,C
025/053,Solosis,Psychic,C
026/053,Duosion,Psychic,U
027/053,Reuniclus,Psychic,R
028/053,Timburr,Fighting,C
029/053,Gurdurr,Fighting,U
030/053,Throh,Fighting,C
031/053,Sandile,Fighting,C
032/053,Krokorok,Fighting,U
033/053,Krookodile,Fighting,R
034/053,Purrloin,Darkness,C
035/053,Liepard,Darkness,U
036/053,Zorua,Darkness,C
037/053,Zoroark,Darkness,R
038/053,Ferroseed,Metal,C
039/053,Ferrothorn,Metal,U
040/053,Patrat,Colorless,C
041/053,Watchog,Colorless,C
042/053,Lillipup,Colorless,C
043/053,Herdier,Colorless,U
044/053,Stoutland,Colorless,U
045/053,Audino,Colorless,C
046/053,Rufflet,Colorless,U
047/053,Braviary,Colorless,U
048/053,Revive,I,U
049/053,Great Ball,I,U
050/053,Full Heal,I,U
051/053,PlusPower,I,U
052/053,Pokémon Catcher,I,U
053/053,Cheren,Su,U
054/053,Thundurus,Lightning,SR
055/053,Zekrom,Lightning,SR
056/053,Pikachu,Lightning,UR
