No.,Mark,Card name,Type,Rarity
001/066,B,Yanma,Grass,C
002/066,B,Yanmega,Grass,C
003/066,B,Roselia,Grass,C
004/066,B,Roserade,Grass,U
005/066,B,Turtwig,Grass,C
006/066,B,Turtwig,Grass,C
007/066,B,Grotle,Grass,C
008/066,B,Torterra,Grass,R
009/066,B,Cherubi,Grass,C
010/066,B,Cherrim,Grass,U
011/066,B,Carnivine,Grass,C
012/066,B,LeafeonGX,Grass,RR
013/066,B,Mow Rotom,Grass,U
014/066,B,Shaymin,Grass,R
015/066,B,Magmar,Fire,C
016/066,B,Magmortar,Fire,R
017/066,B,Chimchar,Fire,C
018/066,B,Chimchar,Fire,C
019/066,B,Monferno,Fire,C
020/066,B,Infernape,Fire,R
021/066,B,Heat Rotom,Fire,U
022/066,B,Salandit,Fire,C
023/066,B,Salazzle,Fire,U
024/066,B,Turtonator,Fire,C
025/066,B,Murkrow,Darkness,C
026/066,B,Honchkrow,Darkness,U
027/066,B,Sneasel,Darkness,C
028/066,B,Weavile,Darkness,R
029/066,B,Stunky,Darkness,C
030/066,B,Skuntank,Darkness,C
031/066,B,Darkrai Prism Star,Darkness,PR
032/066,B,Alolan Diglett,Metal,C
033/066,B,Alolan Dugtrio,Metal,C
034/066,B,Magnemite,Metal,C
035/066,B,Magnemite,Metal,C
036/066,B,Magneton,Metal,C
037/066,B,Magnezone,Metal,R
038/066,B,Shieldon,Metal,U
039/066,B,Bastiodon,Metal,R
040/066,B,Bronzor,Metal,C
041/066,B,Bronzong,Metal,U
042/066,B,Heatran,Metal,R
043/066,B,Solgaleo Prism Star,Metal,PR
044/066,B,Dusk Mane NecrozmaGX,Metal,RR
045/066,B,DialgaGX,Dragon,RR
046/066,B,Lickitung,Colorless,C
047/066,B,Lickilicky,Colorless,U
048/066,B,Eevee,Colorless,C
049/066,B,Glameow,Colorless,C
050/066,B,Purugly,Colorless,C
051/066,B,Fan Rotom,Colorless,U
052/066,B,Oranguru,Colorless,C
053/066,A,Potion,I,U
054/066,B,Pal Pad,I,C
055/066,B,Unidentified Fossil,I,C
056/066,A,Nest Ball,I,U
057/066,A,Pokémon Catcher,I,U
058/066,B,Missing Clover,I,C
059/066,B,Cyrus Prism Star,Su,PR
060/066,B,Gardenia,Su,U
061/066,B,Pokémon Fan Club,Su,U
062/066,B,Mars,Su,U
063/066,A,Lillie,Su,U
064/066,B,Mt. Coronet,St,U
065/066,A,Double Colorless Energy,Colorless E,U
066/066,B,Unit Energy GrassFireWater,Colorless E,U
067/066,B,LeafeonGX,Grass,SR
068/066,B,Dusk Mane NecrozmaGX,Metal,SR
069/066,B,DialgaGX,Dragon,SR
070/066,B,Gardenia,Su,SR
071/066,B,Pokémon Fan Club,Su,SR
072/066,B,Mars,Su,SR
073/066,B,LeafeonGX,Grass,HR
074/066,B,Dusk Mane NecrozmaGX,Metal,HR
075/066,B,DialgaGX,Dragon,HR
076/066,A,Peeking Red Card,I,UR
077/066,B,Missing Clover,I,UR
078/066,B,Unit Energy GrassFireWater,Colorless E,UR
