No.,Mark,Card name,Type,Rarity
001/050,B,Turtwig,Grass,—
002/050,B,Grotle,Grass,—
003/050,B,Snover,Grass,—
004/050,B,Abomasnow,Grass,—
005/050,B,Chimchar,Fire,—
006/050,B,Monferno,Fire,—
007/050,B,Heatran,Fire,—
008/050,B,Piplup,Water,—
009/050,B,Prinplup,Water,—
010/050,B,PalkiaGX,Water,RR
011/050,B,Dewpider,Water,—
012/050,B,Araquanid,Water,—
013/050,B,Magnemite,Lightning,—
014/050,B,Magneton,Lightning,—
015/050,B,Magnezone,Lightning,—
016/050,B,Xurkitree,Lightning,—
017/050,B,Rotom,Psychic,—
018/050,B,Uxie,Psychic,—
019/050,B,Mesprit,Psychic,—
020/050,B,Azelf,Psychic,—
021/050,B,Dawn Wings Necrozma,Psychic,—
022/050,B,Poipole,Psychic,—
023/050,B,NaganadelGX,Psychic,RR
024/050,B,Torterra,Fighting,—
025/050,B,Infernape,Fighting,—
026/050,B,Gible,Fighting,—
027/050,B,Gabite,Fighting,—
028/050,B,Garchomp,Fighting,—
029/050,B,Riolu,Fighting,—
030/050,B,LucarioGX,Fighting,RR
031/050,B,Croagunk,Fighting,—
032/050,B,Toxicroak,Fighting,—
033/050,B,Buzzwole,Fighting,—
034/050,B,Empoleon,Metal,—
035/050,B,DialgaGX,Metal,RR
036/050,B,Dusk Mane Necrozma,Metal,—
037/050,B,Arceus Prism Star,Colorless,PR
038/050,A,Aqua Patch,I,—
039/050,A,Enhanced Hammer,I,—
040/050,A,Super Scoop Up,I,—
041/050,B,Beast Ring,I,—
042/050,B,Metal Frying Pan,I,—
043/050,A,Choice Band,I,—
044/050,B,Ultra Recon Squad,Su,—
045/050,B,Looker,Su,—
046/050,B,Crasher Wake,Su,—
047/050,B,Ultra Space,St,—
048/050,B,Beast Energy Prism Star,Colorless E,PR
049/050,B,Unit Energy GrassFireWater,Colorless E,—
050/050,B,Unit Energy LightningPsychicMetal,Colorless E,—
051/050,B,PalkiaGX,Water,SR
052/050,B,NaganadelGX,Psychic,SR
053/050,B,LucarioGX,Fighting,SR
054/050,B,DialgaGX,Metal,SR
055/050,B,Ultra Recon Squad,Su,SR
056/050,B,Crasher Wake,Su,SR
057/050,B,PalkiaGX,Water,HR
058/050,B,NaganadelGX,Psychic,HR
059/050,B,LucarioGX,Fighting,HR
060/050,B,DialgaGX,Metal,HR
061/050,A,Energy Recycler,I,UR
062/050,B,Beast Ring,I,UR
063/050,B,Metal Frying Pan,I,UR
—,—,Fighting Energy,Fighting E,None
—,—,Lightning Energy,Lightning E,None
—,—,Metal Energy,Metal E,None
—,—,Psychic Energy,Psychic E,None
—,—,Water Energy,Water E,None
