No.,Mark,Card name,Type,Rarity
001/053,B,Charmander,Fire,C
002/053,B,Charmeleon,Fire,U
003/053,B,Charizard,Fire,R
004/053,B,Victini Prism Star,Fire,PR
005/053,B,Darumaka,Fire,C
006/053,B,Darmanitan,Fire,C
007/053,B,Heatmor,Fire,C
008/053,B,ReshiramGX,Fire,RR
009/053,B,Salandit,Fire,C
010/053,B,Salazzle,Fire,C
011/053,B,Horsea,Water,C
012/053,B,Horsea,Water,C
013/053,B,Seadra,Water,C
014/053,B,KingdraGX,Water,RR
015/053,B,Magikarp,Water,C
016/053,B,Gyarados,Water,R
017/053,B,Lapras,Water,C
018/053,B,Wooper,Water,C
019/053,B,Quagsire,Water,U
020/053,B,Corsola,Water,C
021/053,B,Feebas,Water,C
022/053,B,Milotic,Water,U
023/053,B,Wishiwashi,Water,C
024/053,B,Trapinch,Fighting,C
025/053,B,Dratini,Dragon,C
026/053,B,Dratini,Dragon,C
027/053,B,Dragonair,Dragon,C
028/053,B,DragoniteGX,Dragon,RR
029/053,B,Vibrava,Dragon,C
030/053,B,Flygon,Dragon,U
031/053,B,Altaria,Dragon,R
032/053,B,Druddigon,Dragon,U
033/053,B,Zekrom,Dragon,R
034/053,B,Kyurem,Dragon,R
035/053,B,White KyuremGX,Dragon,RR
036/053,B,Zygarde,Dragon,U
037/053,B,Turtonator,Dragon,U
038/053,B,Drampa,Dragon,U
039/053,B,Jangmo-o,Dragon,C
040/053,B,Hakamo-o,Dragon,C
041/053,B,Kommo-o,Dragon,R
042/053,B,Swablu,Colorless,C
043/053,A,Aqua Patch,I,U
044/053,B,Switch Raft,I,U
045/053,B,Fiery Flint,I,U
046/053,B,Dragon Talon,I,C
047/053,A,Kiawe,Su,U
048/053,B,Blaine's Last Stand,Su,R
049/053,B,Zinnia,Su,U
050/053,B,Lance Prism Star,Su,PR
051/053,B,Wela Volcano Park,St,U
052/053,A,Devoured Field,St,U
053/053,A,Brooklet Hill,St,U
054/053,B,ReshiramGX,Fire,SR
055/053,B,KingdraGX,Water,SR
056/053,B,DragoniteGX,Dragon,SR
057/053,B,White KyuremGX,Dragon,SR
058/053,B,Blaine's Last Stand,Su,SR
059/053,B,Zinnia,Su,SR
060/053,B,ReshiramGX,Fire,HR
061/053,B,KingdraGX,Water,HR
062/053,B,DragoniteGX,Dragon,HR
063/053,B,White KyuremGX,Dragon,HR
064/053,B,Switch Raft,I,UR
065/053,B,Fiery Flint,I,UR
066/053,B,Dragon Talon,I,UR
