No.,Mark,Card name,Type,Rarity
001/060,B,Pinsir,Grass,C
002/060,B,Shuckle,Grass,U
003/060,B,Wurmple,Grass,C
004/060,B,Cascoon,Grass,C
005/060,B,Dustox,Grass,U
006/060,B,VirizionGX,Grass,RR
007/060,B,Skiddo,Grass,C
008/060,B,Gogoat,Grass,C
009/060,B,Tapu Bulu,Grass,R
010/060,B,Moltres,Fire,U
011/060,B,Slugma,Fire,C
012/060,B,MagcargoGX,Fire,RR
013/060,B,Heatran,Fire,R
014/060,B,Victini,Fire,U
015/060,B,Litleo,Fire,C
016/060,B,Pyroar,Fire,C
017/060,B,Lapras,Water,U
018/060,B,Suicune,Water,R
019/060,B,Cubchoo,Water,C
020/060,B,Beartic,Water,U
021/060,B,White Kyurem,Water,R
022/060,B,Popplio,Water,C
023/060,B,Brionne,Water,C
024/060,B,Primarina,Water,U
025/060,B,Bruxish,Water,C
026/060,B,Electabuzz,Lightning,C
027/060,B,Electivire,Lightning,U
028/060,B,Pachirisu,Lightning,C
029/060,B,Blitzle,Lightning,C
030/060,B,Zebstrika,Lightning,U
031/060,B,Stunfisk,Lightning,C
032/060,B,Tapu Koko,Lightning,R
033/060,B,ZeraoraGX,Lightning,RR
034/060,B,Onix,Fighting,C
035/060,B,Alolan Diglett,Metal,C
036/060,B,Alolan Dugtrio,Metal,C
037/060,B,Steelix,Metal,U
038/060,B,Dialga,Metal,R
039/060,B,Durant,Metal,C
040/060,B,Cobalion,Metal,R
041/060,B,GenesectGX,Metal,RR
042/060,B,Magearna,Metal,C
043/060,B,Ditto Prism Star,Colorless,PR
044/060,B,Kecleon,Colorless,C
045/060,A,Energy Switch,I,U
046/060,B,Electropower,I,U
047/060,B,Custom Catcher,I,C
048/060,A,Super Scoop Up,I,U
049/060,A,Ultra Ball,I,U
050/060,A,Switch,I,U
051/060,A,Pokémon Catcher,I,U
052/060,B,Mixed Herbs,I,C
053/060,B,Counter Gain,I,U
054/060,A,Choice Band,I,U
055/060,B,Kahili,Su,C
056/060,B,Sightseer,Su,C
057/060,B,Judge,Su,U
058/060,B,Thunder Mountain Prism Star,St,PR
059/060,A,Double Colorless Energy,Colorless E,U
060/060,B,Unit Energy GrassFireWater,Colorless E,U
061/060,B,VirizionGX,Grass,SR
062/060,B,MagcargoGX,Fire,SR
063/060,B,ZeraoraGX,Lightning,SR
064/060,B,GenesectGX,Metal,SR
065/060,B,Kahili,Su,SR
066/060,B,Judge,Su,SR
067/060,B,VirizionGX,Grass,HR
068/060,B,MagcargoGX,Fire,HR
069/060,B,ZeraoraGX,Lightning,HR
070/060,B,GenesectGX,Metal,HR
071/060,B,Electropower,I,UR
072/060,B,Custom Catcher,I,UR
073/060,B,Counter Gain,I,UR
