No.,Mark,Card name,Type,Rarity
001/049,C,Oddish,Grass,C
002/049,C,Gloom,Grass,C
003/049,C,VileplumeGX,Grass,RR
004/049,C,Slugma,Fire,C
005/049,C,Magcargo,Fire,U
006/049,C,Torkoal,Fire,U
007/049,C,Sneasel,Water,C
008/049,C,Weavile,Water,U
009/049,C,Piplup,Water,C
010/049,C,Prinplup,Water,C
011/049,C,Empoleon,Water,U
012/049,C,Tympole,Water,C
013/049,C,Wishiwashi,Water,R
014/049,C,Dewpider,Water,C
015/049,C,Araquanid,Water,C
016/049,C,Pikachu,Lightning,C
017/049,C,Raichu,Lightning,U
018/049,C,Magnemite,Lightning,C
019/049,C,Magneton,Lightning,R
020/049,C,Solgaleo & LunalaTag Team GX,Psychic,RR
021/049,C,Koffing,Psychic,C
022/049,C,Weezing,Psychic,U
023/049,C,Natu,Psychic,C
024/049,C,Xatu,Psychic,U
025/049,C,Ralts,Psychic,C
026/049,C,Kirlia,Psychic,C
027/049,C,Gallade,Psychic,R
028/049,C,Mimikyu,Psychic,C
029/049,C,Onix,Fighting,C
030/049,C,Drilbur,Fighting,C
031/049,C,Excadrill,Fighting,R
032/049,C,Palpitoad,Fighting,C
033/049,C,Seismitoad,Fighting,U
034/049,C,Steelix,Metal,R
035/049,C,Clefairy,Fairy,U
036/049,C,Reshiram & ZekromTag Team GX,Dragon,RR
037/049,C,Lillipup,Colorless,C
038/049,C,Herdier,Colorless,C
039/049,C,Stoutland,Colorless,R
040/049,C,Type: Null,Colorless,C
041/049,C,SilvallyGX,Colorless,RR
042/049,C,Lana's Fishing Rod,I,U
043/049,C,Lillie's Poké Doll,I,U
044/049,C,Will,Su,U
045/049,C,N's Resolve,Su,U
046/049,C,Roxie,Su,U
047/049,C,Rosa,Su,R
048/049,C,Clay,Su,U
049/049,C,Lillie's Full Force,Su,U
050/049,C,Torkoal,Fire,CHR
051/049,C,Weavile,Water,CHR
052/049,C,Piplup,Water,CHR
053/049,C,Wishiwashi,Water,CHR
054/049,C,Pikachu,Lightning,CHR
055/049,C,Magnemite,Lightning,CHR
056/049,C,Koffing,Psychic,CHR
057/049,C,Gallade,Psychic,CHR
058/049,C,Mimikyu,Psychic,CHR
059/049,C,Excadrill,Fighting,CHR
060/049,C,Steelix,Metal,CHR
061/049,C,Stoutland,Colorless,CHR
062/049,C,VileplumeGX,Grass,SR
063/049,C,Solgaleo & LunalaTag Team GX,Psychic,SR
064/049,C,Reshiram & ZekromTag Team GX,Dragon,SR
065/049,C,SilvallyGX,Colorless,SR
066/049,C,N's Resolve,Su,SR
067/049,C,Rosa,Su,SR
068/049,C,Lillie's Full Force,Su,SR
069/049,C,VileplumeGX,Grass,HR
070/049,C,Solgaleo & LunalaTag Team GX,Psychic,HR
071/049,C,Reshiram & ZekromTag Team GX,Dragon,HR
072/049,C,SilvallyGX,Colorless,HR
073/049,C,Lana's Fishing Rod,I,UR
074/049,C,Lillie's Poké Doll,I,UR
075/049,C,Power Plant,St,UR
