No.,Mark,Card name,Type,Rarity
001/067,E,SuicuneV,Water,RR
002/067,E,Lotad,Water,C
003/067,E,Lombre,Water,C
004/067,E,Ludicolo,Water,R
005/067,E,Panpour,Water,C
006/067,E,Simipour,Water,C
007/067,E,Clauncher,Water,C
008/067,E,Clawitzer,Water,C
009/067,E,Eiscue,Water,U
010/067,E,Jigglypuff,Psychic,C
011/067,E,Wigglytuff,Psychic,C
012/067,E,Galarian Articuno,Psychic,R
013/067,E,Wobbuffet,Psychic,U
014/067,E,Sigilyph,Psychic,C
015/067,E,GolurkV,Psychic,RR
016/067,E,Pumpkaboo,Psychic,C
017/067,E,Gourgeist,Psychic,U
018/067,E,Hitmonchan,Fighting,C
019/067,E,Galarian Zapdos,Fighting,R
020/067,E,Gligar,Fighting,C
021/067,E,Gliscor,Fighting,C
022/067,E,Makuhita,Fighting,C
023/067,E,Hariyama,Fighting,U
024/067,E,LycanrocV,Fighting,RR
025/067,E,LycanrocVMAX,Fighting,RRR
026/067,E,Galarian Moltres,Darkness,R
027/067,E,Absol,Darkness,U
028/067,E,Croagunk,Darkness,C
029/067,E,Toxicroak,Darkness,U
030/067,E,GarbodorV,Darkness,RR
031/067,E,GarbodorVMAX,Darkness,RRR
032/067,E,Nickit,Darkness,C
033/067,E,Thievul,Darkness,U
034/067,E,Galarian Meowth,Metal,C
035/067,E,Galarian Perrserker,Metal,U
036/067,E,Skarmory,Metal,C
037/067,E,Klefki,Metal,C
038/067,E,Cufant,Metal,C
039/067,E,Copperajah,Metal,U
040/067,E,Altaria,Dragon,U
041/067,E,Dialga,Dragon,R
042/067,E,Deino,Dragon,C
043/067,E,Zweilous,Dragon,C
044/067,E,Hydreigon,Dragon,R
045/067,E,Kyurem,Dragon,R
046/067,E,NoivernV,Dragon,RR
047/067,E,Drampa,Dragon,U
048/067,E,DuraludonV,Dragon,RR
049/067,E,DuraludonVMAX,Dragon,RRR
050/067,E,Slakoth,Colorless,C
051/067,E,Vigoroth,Colorless,C
052/067,E,Slaking,Colorless,R
053/067,E,Swablu,Colorless,C
054/067,E,Wooloo,Colorless,C
055/067,E,Dubwool,Colorless,C
056/067,E,Escape Rope,I,U
057/067,D,Evolution Incense,I,U
058/067,E,Switching Cups,I,U
059/067,E,Rescue Carrier,I,U
060/067,E,Digging Gloves,I,U
061/067,E,Single Strike Scroll of the Fanged Dragon,I,U
062/067,E,Full Face Guard,I,U
063/067,E,Raihan,Su,U
064/067,E,Schoolgirl,Su,C
065/067,E,Copycat,Su,C
066/067,E,Crystal Cave,St,U
067/067,D,Twin Energy,Colorless E,U
068/067,E,SuicuneV,Water,SR
069/067,E,GolurkV,Psychic,SR
070/067,E,GolurkV,Psychic,SR
071/067,E,LycanrocV,Fighting,SR
072/067,E,GarbodorV,Darkness,SR
073/067,E,NoivernV,Dragon,SR
074/067,E,NoivernV,Dragon,SR
075/067,E,DuraludonV,Dragon,SR
076/067,E,DuraludonV,Dragon,SR
077/067,E,Raihan,Su,SR
078/067,E,Schoolgirl,Su,SR
079/067,E,Copycat,Su,SR
080/067,E,LycanrocVMAX,Fighting,HR
081/067,E,GarbodorVMAX,Darkness,HR
082/067,E,DuraludonVMAX,Dragon,HR
083/067,E,DuraludonVMAX,Dragon,HR
084/067,E,Raihan,Su,HR
085/067,E,Schoolgirl,Su,HR
086/067,E,Copycat,Su,HR
087/067,E,Cresselia,Psychic,UR
088/067,E,Full Face Guard,I,UR
089/067,E,Crystal Cave,St,UR
090/067,—,Metal Energy,Metal E,UR
