No.,Mark,Card name,Type,Rarity
001/184,E,Weedle,Grass,—
002/184,E,Kakuna,Grass,—
003/184,E,Beedrill,Grass,—
004/184,E,KricketuneV,Grass,RR
005/184,E,Cherubi,Grass,—
006/184,E,Cherrim,Grass,—
007/184,E,Snover,Grass,—
008/184,E,Abomasnow,Grass,—
009/184,E,Blipbug,Grass,—
010/184,D,OrbeetleV,Grass,RR
011/184,D,OrbeetleVMAX,Grass,RRR
012/184,D,Applin,Grass,—
013/184,D,Flapple,Grass,—
014/184,E,Zarude,Grass,—
015/184,D,Charmander,Fire,—
016/184,D,Charmeleon,Fire,—
017/184,D,Charizard,Fire,—
018/184,D,Flareon,Fire,—
019/184,E,BlazikenV,Fire,RR
020/184,E,BlazikenVMAX,Fire,RRR
021/184,E,Castform Sunny Form,Fire,—
022/184,D,CentiskorchV,Fire,RR
023/184,D,CentiskorchVMAX,Fire,RRR
024/184,E,Horsea,Water,—
025/184,E,Seadra,Water,—
026/184,E,Kingdra,Water,—
027/184,E,Galarian Mr. Mime,Water,—
028/184,E,Galarian Mr. Rime,Water,—
029/184,D,Vaporeon,Water,—
030/184,E,Remoraid,Water,—
031/184,E,Octillery,Water,—
032/184,E,Castform Rainy Form,Water,—
033/184,E,Castform Snowy Form,Water,—
034/184,E,Snorunt,Water,—
035/184,E,Froslass,Water,—
036/184,E,Sobble,Water,—
037/184,E,Drizzile,Water,—
038/184,E,Inteleon,Water,—
039/184,D,Snom,Water,—
040/184,D,Frosmoth,Water,—
041/184,E,Eiscue,Water,—
042/184,E,Rapid Strike Urshifu,Water,—
043/184,E,Ice Rider CalyrexV,Water,RR
044/184,E,Ice Rider CalyrexVMAX,Water,RRR
045/184,D,PikachuV,Lightning,RR
046/184,D,PikachuVMAX,Lightning,RRR
047/184,D,Voltorb,Lightning,—
048/184,D,Electrode,Lightning,—
049/184,D,Jolteon,Lightning,—
050/184,D,Zapdos,Lightning,—
051/184,E,Mareep,Lightning,—
052/184,E,Flaaffy,Lightning,—
053/184,E,Zekrom,Lightning,—
054/184,E,ZeraoraV,Lightning,RR
055/184,D,BoltundV,Lightning,RR
056/184,E,MorpekoV-UNION,Lightning,RRR
057/184,E,MorpekoV-UNION,Lightning,RRR
058/184,E,MorpekoV-UNION,Lightning,RRR
059/184,E,MorpekoV-UNION,Lightning,RRR
060/184,E,Galarian ArticunoV,Psychic,RR
061/184,E,Ralts,Psychic,—
062/184,E,Kirlia,Psychic,—
063/184,E,Gardevoir,Psychic,—
064/184,E,Shuppet,Psychic,—
065/184,E,Banette,Psychic,—
066/184,D,Duskull,Psychic,—
067/184,D,Dusclops,Psychic,—
068/184,D,Dusknoir,Psychic,—
069/184,E,Cresselia,Psychic,—
070/184,D,Sigilyph,Psychic,—
071/184,E,Inkay,Psychic,—
072/184,E,Malamar,Psychic,—
073/184,E,Dedenne,Psychic,—
074/184,E,SylveonV,Psychic,RR
075/184,E,SylveonVMAX,Psychic,RRR
076/184,E,MimikyuV,Psychic,RR
077/184,E,MimikyuVMAX,Psychic,RRR
078/184,E,Dottler,Psychic,—
079/184,E,Orbeetle,Psychic,—
080/184,E,Milcery,Psychic,—
081/184,E,Alcremie,Psychic,—
082/184,E,Shadow Rider CalyrexV,Psychic,RR
083/184,E,Shadow Rider CalyrexVMAX,Psychic,RRR
084/184,E,Galarian ZapdosV,Fighting,RR
085/184,E,Gallade,Fighting,—
086/184,E,Rockruff,Fighting,—
087/184,E,Lycanroc,Fighting,—
088/184,E,Passimian,Fighting,—
089/184,E,Falinks,Fighting,—
090/184,E,Stonjourner,Fighting,—
091/184,E,Kubfu,Fighting,—
092/184,E,Single Strike UrshifuV,Fighting,RR
093/184,E,Single Strike UrshifuVMAX,Fighting,RRR
094/184,E,Rapid Strike UrshifuV,Fighting,RR
095/184,E,Rapid Strike UrshifuVMAX,Fighting,RRR
096/184,E,Galarian MoltresV,Darkness,RR
097/184,D,Spinarak,Darkness,—
098/184,D,Ariados,Darkness,—
099/184,D,CrobatV,Darkness,RR
100/184,E,UmbreonV,Darkness,RR
101/184,E,UmbreonVMAX,Darkness,RRR
102/184,E,Houndour,Darkness,—
103/184,E,Houndoom,Darkness,—
104/184,D,Galarian Zigzagoon,Darkness,—
105/184,D,Galarian Linoone,Darkness,—
106/184,D,Galarian Obstagoon,Darkness,—
107/184,E,Spiritomb,Darkness,—
108/184,D,Hoopa,Darkness,—
109/184,D,EternatusV,Darkness,RR
110/184,D,EternatusVMAX,Darkness,RRR
111/184,E,Single Strike Urshifu,Darkness,—
112/184,E,Bronzor,Metal,—
113/184,E,Bronzong,Metal,—
114/184,E,Cobalion,Metal,—
115/184,E,CorviknightV,Metal,RR
116/184,E,CorviknightVMAX,Metal,RRR
117/184,D,ZacianV,Metal,RR
118/184,D,ZamazentaV,Metal,RR
119/184,E,RayquazaV,Dragon,RR
120/184,E,RayquazaVMAX,Dragon,RRR
121/184,E,Druddigon,Dragon,—
122/184,E,DuraludonV,Dragon,RR
123/184,E,DuraludonVMAX,Dragon,RRR
124/184,E,Tauros,Colorless,—
125/184,E,Eevee,Colorless,—
126/184,D,Snorlax,Colorless,—
127/184,E,BlisseyV,Colorless,RR
128/184,E,Castform,Colorless,—
129/184,D,Oranguru,Colorless,—
130/184,E,Escape Rope,I,—
131/184,E,Fan of Waves,I,—
132/184,E,Welcoming Lantern,I,—
133/184,D,Scoop Up Net,I,—
134/184,E,Urn of Vitality,I,—
135/184,E,Fog Crystal,I,—
136/184,D,Turbo Patch,I,—
137/184,D,Capacious Bucket,I,—
138/184,D,Tool Scrapper,I,—
139/184,D,Ordinary Rod,I,—
140/184,E,Echoing Horn,I,—
141/184,E,Level Ball,I,—
142/184,E,Cleansing Gloves,I,—
143/184,D,Cape of Toughness,I,—
144/184,E,Hunting Gloves,I,—
145/184,D,Air Balloon,I,—
146/184,D,Telescopic Sight,I,—
147/184,D,Memory Capsule,I,—
148/184,E,Acerola's Premonition,Su,—
149/184,E,Friends in Galar,Su,—
150/184,E,Raihan,Su,—
151/184,E,Klara,Su,—
152/184,E,Korrina's Focus,Su,—
153/184,E,Bruno,Su,—
154/184,D,Leon,Su,—
155/184,D,Bird Keeper,Su,—
156/184,E,Peony,Su,—
157/184,E,Adventurer's Discovery,Su,—
158/184,D,Boss's Orders,Su,—
159/184,E,Café Master,Su,—
160/184,D,Marnie,Su,—
161/184,E,Melony,Su,—
162/184,E,Cheryl,Su,—
163/184,E,Gloria,Su,—
164/184,D,Nessa,Su,—
165/184,D,Rose,Su,—
166/184,E,Tower of Darkness,St,—
167/184,E,Path to the Peak,St,—
168/184,E,Old Cemetery,St,—
169/184,D,Turffield Stadium,St,—
170/184,E,Tower of Waters,St,—
171/184,D,Aromatic Grass Energy,Grass E,—
172/184,D,Heat Fire Energy,Fire E,—
173/184,D,Wash Water Energy,Water E,—
174/184,D,Speed Lightning Energy,Lightning E,—
175/184,D,Horror Psychic Energy,Psychic E,—
176/184,D,Stone Fighting Energy,Fighting E,—
177/184,D,Hiding Darkness Energy,Darkness E,—
178/184,D,Coating Metal Energy,Metal E,—
179/184,D,Powerful Colorless Energy,Colorless E,—
180/184,E,Single Strike Energy,Fighting E,—
181/184,D,Aurora Energy,Rainbow E,—
182/184,D,Capture Energy,Colorless E,—
183/184,D,Twin Energy,Colorless E,—
184/184,E,Rapid Strike Energy,Fighting E,—
185/184,E,Abomasnow,Grass,CHR
186/184,D,Flapple,Grass,CHR
187/184,D,Charizard,Fire,CHR
188/184,D,Flareon,Fire,CHR
189/184,D,Vaporeon,Water,CHR
